# VP04   2013-10-18_11-05-20
# Elapsed time of measurement: 572 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 15,   14,  1, 1,   15.04,    9.25,  -30.65,    7.69,   12.00,    1.57,    0.55,    4.74
101,   14,  2, 1,   14.93,    9.71,  -30.87,   11.25,    9.00,    2.78,    0.43,    3.88
  4,   14,  3, 1,   14.88,    9.37,  -30.52,   11.75,   15.00,    1.29,    0.66,    5.86
 71,   14,  4, 1,   14.78,    9.06,  -30.51,   35.95,    9.00,   -1.69,    0.65,    9.82
110,   14,  5, 1,   15.02,    9.47,  -30.61,   37.48,    4.00,   -3.71,    0.31,    3.85
 92,   28,  6, 1,   15.32,   10.01,  -30.67,   12.87,   20.00,    1.16,    0.39,    5.83
 90,   28,  7, 1,   15.23,   10.72,  -31.20,  -17.57,  -15.00,    4.30,    0.33,    2.82
 87,   28,  8, 1,   15.87,   10.85,  -30.66,  -10.96,   -9.00,    1.69,    0.37,    3.76
 82,   28,  9, 1,   14.87,   10.05,  -31.02,  -10.23,    1.00,    3.61,    0.40,    3.88
 30,   28, 10, 1,   14.85,    9.74,  -30.61,    7.01,   25.00,    2.35,    0.38,    9.19
 29,   56, 11, 1,   15.47,    9.78,  -30.86,   -8.11,   -3.00,    3.52,    0.22,    5.11
 78,   56, 12, 1,   14.81,   10.46,  -30.83,  -10.58,   -8.00,    2.46,    0.28,    7.87
105,   56, 13, 1,   14.67,    9.81,  -30.88,    9.70,   18.00,    2.34,    0.92,    5.68
103,   56, 14, 1,   14.86,    9.95,  -31.00,    0.21,    7.00,    3.58,    0.19,    4.27
 17,   56, 15, 1,   15.51,    9.58,  -30.62,  -12.40,    0.00,    2.30,    0.50,   11.72
 24, 1456, 16, 1,   15.57,    9.63,  -30.67,    4.86,   11.00,    1.69,    0.09,    5.77
 80, 1456, 17, 1,   15.70,   10.41,  -31.10,  -17.22,  -11.00,    3.53,    0.07,    6.73
 60, 1456, 18, 1,   14.15,    9.91,  -30.86,   -4.38,   -8.00,    3.88,    0.14,    8.16
 47, 1456, 19, 1,   15.57,    9.86,  -30.85,   -1.58,    4.00,    2.50,    0.11,    1.92
  9, 1456, 20, 1,   14.99,    8.98,  -30.68,    3.65,   11.00,    2.34,    0.20,    2.05
  5,    0, 21, 1,   15.36,    9.47,  -30.82,  -10.65,   -5.70,    2.92,    0.12,    3.40
 75,    0, 22, 1,   15.42,   10.10,  -30.96,   -6.80,   -5.70,    2.77,    0.18,    3.87
 48,   14,  1, 1,   15.72,    9.84,  -30.78,    6.03,   12.00,    2.98,    0.36,    2.74
 25,   14,  2, 1,   15.37,    9.65,  -30.61,   10.57,    9.00,    2.19,    0.23,    4.96
 98,   14,  3, 1,   14.67,    9.58,  -30.82,   23.14,   15.00,    0.36,    0.59,    3.91
 85,   14,  4, 1,   15.63,    9.64,  -30.33,   31.37,    9.00,   -2.82,    0.83,   18.84
 43,   14,  5, 1,   14.37,    8.13,  -30.32,   46.61,    4.00,   -6.06,    0.26,   11.80
 81,   28,  6, 1,   15.24,    9.29,  -30.74,   17.76,   20.00,    0.18,    0.32,    4.01
 74,   28,  7, 1,   14.80,   10.35,  -31.05,  -19.77,  -15.00,    3.26,    0.20,    3.86
 83,   28,  8, 1,   15.34,   10.14,  -31.13,  -19.05,   -9.00,    3.80,    0.52,    3.80
 14,   28,  9, 1,   15.05,    9.25,  -30.86,  -11.31,    1.00,    3.42,    0.22,    1.90
 23,   28, 10, 1,   15.35,    9.67,  -30.56,    8.69,   25.00,    0.96,    0.16,    5.23
 73,   56, 11, 1,   15.50,   10.23,  -30.86,   -4.48,   -3.00,    2.60,    0.21,    3.87
  2,   56, 12, 1,   15.63,    9.36,  -30.85,  -14.16,   -8.00,    2.74,    0.24,    4.10
 57,   56, 13, 1,   14.79,    9.74,  -30.51,   12.62,   18.00,    0.53,    0.65,    4.77
 12,   56, 14, 1,   15.19,    9.21,  -30.81,   -5.37,    7.00,    3.61,    0.22,    4.84
 34,   56, 15, 1,   15.45,   10.23,  -30.84,  -11.65,    0.00,    3.81,    0.66,    5.02
 36, 1456, 16, 1,   15.31,    9.41,  -30.68,    6.34,   11.00,    3.16,    0.05,    3.88
 44, 1456, 17, 1,   15.88,   10.15,  -31.00,  -20.75,  -11.00,    3.19,    0.10,    4.81
 35, 1456, 18, 1,   14.99,    9.86,  -30.70,   -8.75,   -8.00,    2.73,    0.14,    5.95
 84, 1456, 19, 1,   15.38,   10.14,  -30.83,   -1.12,    4.00,    2.69,    0.08,    8.44
 54, 1456, 20, 1,   15.11,    9.72,  -30.92,   -2.59,   11.00,    4.82,    0.14,    3.69
 45,    0, 21, 1,   15.68,   10.15,  -30.93,   -8.34,   -5.70,    2.98,    0.14,    4.52
 20,    0, 22, 1,   15.56,    9.64,  -30.78,   -9.52,   -5.70,    3.73,    0.16,    4.71
107,   14,  1, 1,   14.80,    9.80,  -30.82,   12.06,   12.00,    1.82,    0.15,    4.26
 61,   14,  2, 1,   14.67,    9.57,  -30.64,   18.01,    9.00,    1.49,    0.30,    4.00
 26,   14,  3, 1,   14.88,    9.35,  -30.56,   20.44,   15.00,    0.59,    0.84,    3.98
 76,   14,  4, 1,   15.59,    9.81,  -30.34,   24.58,    9.00,   -0.36,    0.66,    7.79
 51,   14,  5, 1,   14.36,    8.71,  -30.49,   42.50,    4.00,   -1.85,    0.24,    7.87
