# VP05   2013-11-11_09-33-29
# Elapsed time of measurement: 403 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 15,   14,  1, 1,   14.16,    2.72,  -26.56,   -0.35,   13.00,   -0.52,    0.09,    2.08
 53,   14,  2, 1,   14.38,    2.20,  -26.59,   -2.84,   -1.00,   -1.34,    0.13,    2.54
 10,   14,  3, 1,   14.28,    2.74,  -26.51,    6.59,    8.00,   -0.76,    0.19,    2.51
 77,   14,  4, 1,   13.46,    2.33,  -26.43,    0.81,    7.00,   -1.43,    0.27,    1.14
 90,   14,  5, 1,   13.40,    2.04,  -26.22,   30.94,   22.00,   -0.38,    0.18,    4.27
117,   14,  6, 1,   12.87,   -0.19,  -25.98,  107.58,   30.00,  -14.70,    0.71,    4.55
 97,   28,  7, 1,   13.18,    2.33,  -26.48,  -12.81,   -9.00,   -0.28,    0.09,    2.28
130,   28,  8, 1,   12.99,    2.22,  -26.42,  -11.96,    2.00,   -0.25,    0.14,    1.92
121,   28,  9, 1,   13.19,    2.34,  -26.31,    0.68,   12.00,   -1.01,    0.16,    2.98
 70,   28, 10, 1,   12.70,    1.94,  -26.60,  -31.17,   -5.00,    1.10,    0.15,    4.03
  8,   28, 11, 1,   13.68,    2.81,  -26.71,  -21.87,   12.00,    0.34,    0.15,    2.52
 88,   28, 12, 1,   13.61,    2.54,  -26.22,   19.04,   24.00,   -0.40,    0.25,    4.08
 35,   56, 13, 1,   14.41,    2.26,  -26.62,  -17.84,   -6.00,   -1.89,    0.08,    3.13
 44,   56, 14, 1,   14.31,    2.03,  -26.62,   -5.98,    1.00,   -0.95,    0.16,    2.17
 14,   56, 15, 1,   14.07,    2.68,  -26.62,   -4.78,    9.00,   -0.36,    0.07,    3.24
 24,   56, 16, 1,   14.38,    2.47,  -26.56,    4.92,   15.00,   -0.68,    0.10,    3.24
106,   56, 17, 1,   13.29,    2.88,  -26.36,  -10.04,   -4.00,   -1.15,    0.27,    3.64
124,   56, 18, 1,   13.10,    2.37,  -26.38,   -6.60,   13.00,   -0.67,    0.13,    3.87
127, 1456, 19, 1,   12.93,    2.31,  -26.43,  -17.20,  -11.00,   -0.40,    0.09,    1.79
 83, 1456, 20, 1,   13.37,    2.48,  -26.45,   -5.43,   11.00,   -0.72,    0.09,    2.82
 67, 1456, 21, 1,   13.32,    1.59,  -26.51,    5.29,   17.00,   -0.66,    0.09,    2.92
100, 1456, 22, 1,   13.11,    2.54,  -26.50,  -21.73,   -7.00,   -1.00,    0.09,    1.99
 64, 1456, 23, 1,   13.26,    2.16,  -26.53,  -12.29,    3.00,   -0.81,    0.13,    4.45
 41, 1456, 24, 1,   14.28,    1.94,  -26.64,   -7.31,   14.00,   -0.88,    0.06,    1.30
120,    0, 25, 1,   13.05,    2.53,  -26.38,  -11.52,   -5.70,   -0.83,    0.05,    2.24
114,    0, 26, 1,   13.14,    2.53,  -26.44,  -15.15,   -5.70,   -0.23,    0.12,    2.11
116,   14,  1, 1,   13.31,    2.47,  -26.35,    4.63,   13.00,    0.11,    0.10,    3.03
 25,   14,  2, 1,   14.29,    2.28,  -26.61,   -1.95,   -1.00,   -0.54,    0.10,    3.37
107,   14,  3, 1,   13.34,    2.45,  -26.33,   10.44,    8.00,   -0.54,    0.11,    3.26
 60,   14,  4, 1,   13.42,    1.52,  -26.46,    5.56,    7.00,   -1.41,    0.37,    1.87
122,   14,  5, 1,   13.29,    2.20,  -26.12,   24.74,   22.00,   -0.79,    0.18,    2.90
 54,   14,  6, 1,   13.90,    1.32,  -26.26,  103.35,   30.00,   -9.56,    1.03,    4.98
111,   28,  7, 1,   13.19,    2.64,  -26.43,  -16.60,   -9.00,   -0.58,    0.10,    3.78
119,   28,  8, 1,   13.17,    2.45,  -26.37,   -7.59,    2.00,   -1.32,    0.13,    1.85
 49,   28,  9, 1,   14.29,    2.21,  -26.54,   -3.41,   12.00,   -0.78,    0.13,    2.04
 18,   28, 10, 1,   14.23,    2.70,  -26.69,  -21.84,   -5.00,   -2.02,    0.25,    2.92
 28,   28, 11, 1,   14.36,    2.18,  -26.66,  -18.84,   12.00,   -1.65,    0.21,    2.83
  6,   28, 12, 1,   13.91,    2.80,  -26.65,  -18.24,   24.00,   -0.12,    0.16,    4.02
 23,   56, 13, 1,   14.28,    2.39,  -26.65,  -10.18,   -6.00,   -0.92,    0.18,    3.42
 55,   56, 14, 1,   13.05,    2.41,  -26.56,  -10.98,    1.00,   -0.69,    0.08,    1.98
 91,   56, 15, 1,   13.24,    2.33,  -26.41,    0.04,    9.00,    0.12,    0.12,    2.13
 11,   56, 16, 1,   14.20,    2.84,  -26.52,   -0.06,   15.00,   -0.63,    0.12,    3.14
 80,   56, 17, 1,   13.26,    2.72,  -26.48,  -20.62,   -4.00,   -2.00,    0.18,    2.99
126,   56, 18, 1,   13.03,    2.26,  -26.41,  -12.20,   13.00,   -0.66,    0.07,    2.31
 22, 1456, 19, 1,   14.18,    2.31,  -26.65,  -17.40,  -11.00,   -0.74,    0.03,    2.25
 86, 1456, 20, 1,   13.39,    2.60,  -26.40,    0.03,   11.00,   -0.36,    0.23,    1.42
125, 1456, 21, 1,   13.29,    2.04,  -26.26,   14.78,   17.00,   -1.27,    0.21,    1.89
 42, 1456, 22, 1,   14.22,    1.97,  -26.67,  -18.82,   -7.00,   -0.73,    0.04,    2.09
118, 1456, 23, 1,   13.31,    2.74,  -26.28,    0.92,    3.00,   -1.55,    0.09,    5.39
 33, 1456, 24, 1,   14.46,    2.23,  -26.61,   -8.10,   14.00,   -1.64,    0.09,    3.53
 38,    0, 25, 1,   14.44,    2.31,  -26.62,  -14.97,   -5.70,   -2.00,    0.05,    2.86
 87,    0, 26, 1,   13.19,    2.57,  -26.45,  -12.21,   -5.70,   -0.12,    0.06,    3.71
 98,   14,  1, 1,   13.23,    2.40,  -26.40,    5.63,   13.00,    0.37,    0.07,    2.23
 99,   14,  2, 1,   13.17,    2.34,  -26.45,   -5.46,   -1.00,    0.05,    0.05,    1.83
 59,   14,  3, 1,   13.34,    1.54,  -26.45,    6.29,    8.00,   -1.05,    0.24,    2.26
128,   14,  4, 1,   13.09,    2.19,  -26.35,    1.06,    7.00,   -0.21,    0.23,    2.10
 12,   14,  5, 1,   14.27,    2.60,  -26.40,   28.36,   22.00,   -0.01,    0.14,    9.37
 72,   14,  6, 1,   12.79,   -0.35,  -26.01,  106.66,   30.00,  -14.86,    0.77,    4.14
 75,   28,  7, 1,   13.33,    2.64,  -26.46,  -19.28,   -9.00,   -2.04,    0.08,    2.32
 31,   28,  8, 1,   14.40,    2.22,  -26.62,   -8.88,    2.00,   -1.35,    0.08,    2.44
  7,   28,  9, 1,   13.97,    2.71,  -26.64,   -5.09,   12.00,    0.31,    0.29,    2.49
 81,   28, 10, 1,   13.43,    2.96,  -26.39,  -30.09,   -5.00,   -3.66,    0.16,    5.44
 43,   28, 11, 1,   14.06,    2.02,  -26.70,  -24.90,   12.00,   -0.44,    0.21,    3.56
108,   28, 12, 1,   13.01,    2.56,  -26.47,  -18.28,   24.00,   -0.53,    0.11,    6.16
 37,   56, 13, 1,   14.44,    2.37,  -26.60,  -14.92,   -6.00,   -2.04,    0.11,    2.12
105,   56, 14, 1,   13.24,    2.97,  -26.37,   -8.59,    1.00,   -1.16,    0.23,    2.53
 84,   56, 15, 1,   13.38,    2.46,  -26.45,  -13.45,    9.00,   -1.23,    0.01,    4.32
 56,   56, 16, 1,   13.30,    2.23,  -26.48,    8.39,   15.00,   -1.04,    0.21,    2.48
 96,   56, 17, 1,   13.19,    2.75,  -26.43,  -19.26,   -4.00,   -1.16,    0.19,    4.21
  5,   56, 18, 1,   14.23,    3.05,  -26.51,    8.28,   13.00,   -0.49,    0.04,    8.34
 32, 1456, 19, 1,   14.39,    2.32,  -26.65,  -19.48,  -11.00,   -1.98,    0.12,    2.07
 34, 1456, 20, 1,   14.53,    2.19,  -26.58,   -0.73,   11.00,   -1.75,    0.06,    3.21
 62, 1456, 21, 1,   13.42,    1.36,  -26.46,    8.38,   17.00,   -1.60,    0.11,    1.13
 13, 1456, 22, 1,   13.72,    3.08,  -26.63,  -24.93,   -7.00,   -0.90,    0.05,    2.57
 29, 1456, 23, 1,   14.62,    2.52,  -26.54,   -0.21,    3.00,   -2.13,    0.07,    4.03
 40, 1456, 24, 1,   14.27,    1.94,  -26.65,   -7.11,   14.00,   -0.76,    0.06,    2.17
102,    0, 25, 1,   13.28,    3.17,  -26.37,  -12.67,   -5.70,   -2.25,    0.14,    2.79
 52,    0, 26, 1,   14.30,    2.15,  -26.62,  -13.26,   -5.70,   -1.38,    0.05,    2.85
 48,   14,  1, 1,   14.31,    2.16,  -26.58,    5.80,   13.00,   -0.65,    0.09,    2.22
  9,   14,  2, 1,   13.98,    2.70,  -26.63,   -2.91,   -1.00,    0.21,    0.09,    2.84
 65,   14,  3, 1,   13.52,    1.98,  -26.46,    3.66,    8.00,   -1.45,    0.23,    2.07
 57,   14,  4, 1,   13.46,    1.99,  -26.44,    3.50,    7.00,   -1.64,    0.34,    5.03
129,   14,  5, 1,   13.24,    2.19,  -26.19,   25.60,   22.00,   -0.25,    0.37,    2.26
101,   14,  6, 1,   12.84,   -1.59,  -25.80,  108.54,   30.00,  -19.39,    0.31,    3.92
 58,   28,  7, 1,   13.14,    2.05,  -26.56,  -14.25,   -9.00,   -0.33,    0.08,    2.13
 51,   28,  8, 1,   14.28,    2.28,  -26.61,   -7.95,    2.00,   -1.26,    0.15,    2.36
113,   28,  9, 1,   13.11,    2.54,  -26.39,   -2.30,   12.00,    0.75,    0.26,    2.64
 73,   28, 10, 1,   12.84,    2.91,  -26.48,  -35.22,   -5.00,   -1.50,    0.14,    4.10
 39,   28, 11, 1,   13.85,    2.06,  -26.69,  -28.97,   12.00,    0.29,    0.25,    5.08
 17,   28, 12, 1,   14.30,    2.30,  -26.68,  -14.75,   24.00,   -1.42,    0.13,    5.95
 19,   56, 13, 1,   14.35,    2.57,  -26.62,  -13.23,   -6.00,   -1.59,    0.25,    2.52
 21,   56, 14, 1,   14.34,    2.37,  -26.60,   -3.58,    1.00,   -0.85,    0.42,    2.42
 27,   56, 15, 1,   14.47,    2.30,  -26.58,   -3.07,    9.00,   -1.41,    0.13,    2.62
 36,   56, 16, 1,   14.45,    2.52,  -26.51,    5.56,   15.00,   -1.03,    0.10,    3.26
 95,   56, 17, 1,   13.03,    2.59,  -26.45,  -22.11,   -4.00,   -0.63,    0.14,    3.02
 16,   56, 18, 1,   14.26,    2.69,  -26.56,  -11.06,   13.00,   -1.50,    0.11,    5.41
  4, 1456, 19, 1,   13.88,    3.25,  -26.65,  -19.12,  -11.00,   -0.79,    0.11,    2.13
115, 1456, 20, 1,   13.24,    2.62,  -26.37,    1.24,   11.00,    0.47,    0.11,    4.04
 61, 1456, 21, 1,   13.34,    1.36,  -26.48,    8.51,   17.00,   -1.27,    0.10,    1.88
 89, 1456, 22, 1,   13.05,    2.57,  -26.48,  -20.60,   -7.00,   -0.48,    0.10,    2.24
 69, 1456, 23, 1,   13.07,    1.92,  -26.56,   -7.08,    3.00,    0.67,    0.19,    3.35
123, 1456, 24, 1,   13.13,    2.17,  -26.39,  -10.70,   14.00,   -0.98,    0.06,    2.24
 93,    0, 25, 1,   13.25,    2.39,  -26.46,  -13.86,   -5.70,   -0.76,    0.03,    2.31
103,    0, 26, 1,   13.31,    3.28,  -26.34,  -11.86,   -5.70,   -2.26,    0.05,    1.01
 82,   14,  1, 1,   13.60,    2.65,  -26.34,    5.67,   13.00,   -1.24,    0.11,    3.60
 74,   14,  2, 1,   13.35,    2.62,  -26.42,   -3.62,   -1.00,   -1.25,    0.08,    3.03
 79,   14,  3, 1,   13.41,    1.89,  -26.44,    3.88,    8.00,   -1.08,    0.21,    2.75
 76,   14,  4, 1,   13.47,    2.30,  -26.41,    1.05,    7.00,   -1.46,    0.31,    2.19
 78,   14,  5, 1,   13.61,    1.89,  -26.26,   21.06,   22.00,   -1.90,    0.26,    3.10
  2,   14,  6, 1,   12.81,    0.03,  -26.32,  106.30,   30.00,  -16.09,    0.34,    5.25
 45,   28,  7, 1,   14.21,    2.11,  -26.66,  -17.38,   -9.00,   -0.93,    0.04,    2.37
 68,   28,  8, 1,   13.16,    1.81,  -26.57,  -12.46,    2.00,   -0.00,    0.06,    2.12
 63,   28,  9, 1,   13.40,    1.60,  -26.51,   -1.59,   12.00,   -1.28,    0.20,    1.86
109,   28, 10, 1,   12.62,    2.83,  -26.46,  -30.82,   -5.00,   -0.26,    0.17,    3.59
 50,   28, 11, 1,   14.15,    2.20,  -26.66,  -15.64,   12.00,   -0.80,    0.32,    2.53
 66,   28, 12, 1,   12.93,    1.91,  -26.61,  -20.41,   24.00,    0.64,    0.14,    3.85
 92,   56, 13, 1,   13.30,    2.38,  -26.44,  -13.69,   -6.00,   -1.01,    0.18,    1.97
 26,   56, 14, 1,   14.40,    2.29,  -26.59,   -7.34,    1.00,   -1.28,    0.05,    2.27
  1,   56, 15, 1,   13.44,    2.47,  -26.68,  -10.46,    9.00,   -0.24,    0.16,    3.73
 94,   56, 16, 1,   13.38,    2.57,  -26.35,    8.30,   15.00,   -0.03,    0.24,    4.20
104,   56, 17, 1,   13.37,    3.16,  -26.32,  -12.37,   -4.00,   -2.29,    0.05,    3.27
 47,   56, 18, 1,   14.20,    2.33,  -26.60,   -7.44,   13.00,   -0.62,    0.07,    4.40
 71, 1456, 19, 1,   13.28,    2.01,  -26.56,  -15.82,  -11.00,   -0.42,    0.10,    2.49
 85, 1456, 20, 1,   13.45,    2.69,  -26.38,    2.83,   11.00,   -0.45,    0.02,    2.31
 30, 1456, 21, 1,   14.56,    2.11,  -26.51,   12.04,   17.00,   -1.52,    0.14,    2.85
 20, 1456, 22, 1,   14.21,    2.80,  -26.60,  -24.42,   -7.00,   -1.88,    0.05,    3.28
 46, 1456, 23, 1,   14.34,    2.17,  -26.59,   -3.64,    3.00,   -1.06,    0.13,    4.91
112, 1456, 24, 1,   13.16,    2.59,  -26.42,   -7.32,   14.00,    0.31,    0.05,    5.31
110,    0, 25, 1,   13.34,    2.60,  -26.41,  -11.79,   -5.70,   -1.25,    0.04,    2.34
  3,    0, 26, 1,   13.84,    3.24,  -26.65,  -11.96,   -5.70,    0.02,    0.06,    3.21
