# VP07   2013-10-24_17-09-44
# Elapsed time of measurement: 496 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 57,   14,  1, 1,   16.64,   11.20,  -28.52,   10.93,   19.00,   -2.14,    0.22,    3.21
 29,   14,  2, 1,   17.97,   11.28,  -28.03,   29.59,   13.87,   -1.07,    0.66,    5.16
 67,   14,  3, 1,   16.30,   10.43,  -28.71,    7.45,   -4.95,   -1.89,    0.46,    4.17
  1,   14,  4, 1,   16.33,    9.62,  -29.04,   -4.97,   -6.20,   -1.67,    0.11,    4.26
 98,   14,  5, 1,   16.46,    9.04,  -29.00,   -0.53,   -1.75,   -5.29,    0.20,    4.32
 11,   28,  6, 1,   15.94,   11.09,  -28.61,   -1.36,    0.00,    0.33,    0.33,    2.99
 60,   28,  7, 1,   16.03,   10.76,  -28.73,   -4.00,    1.87,   -2.58,    0.19,    5.42
 73,   28,  8, 1,   15.78,   10.21,  -28.93,  -14.43,    2.05,   -3.13,    0.16,    4.32
 50,   28,  9, 1,   14.76,   11.02,  -28.55,  -28.29,  -10.20,   -3.24,    0.27,    5.28
108,   28, 10, 1,   16.12,    9.03,  -29.09,  -17.93,    0.25,   -5.22,    0.17,    6.17
 70,   56, 11, 1,   15.69,   10.09,  -28.92,  -17.44,  -11.00,   -2.60,    0.21,    4.09
 92,   56, 12, 1,   15.56,    9.66,  -29.09,  -29.72,  -22.13,   -4.77,    0.47,    7.15
 47,   56, 13, 1,   15.26,   11.65,  -28.38,  -21.55,  -14.95,   -5.01,    0.60,    2.87
103,   56, 14, 1,   16.17,    9.41,  -28.89,   -5.89,   14.80,   -4.51,    0.51,    3.93
 19,   56, 15, 1,   16.87,   11.12,  -28.45,    8.71,   17.25,   -1.12,    0.74,    4.51
 96, 1456, 16, 1,   16.12,    9.19,  -29.02,  -17.20,  -11.00,   -4.58,    0.04,    6.17
 25, 1456, 17, 1,   17.18,   11.26,  -28.30,   16.68,   -1.13,   -0.79,    0.11,    2.70
 87, 1456, 18, 1,   15.93,    9.25,  -29.04,  -16.87,  -11.95,   -3.93,    0.05,    3.15
 46, 1456, 19, 1,   15.18,   11.55,  -28.50,  -20.22,  -19.20,   -4.13,    0.06,    1.94
  7, 1456, 20, 1,   16.28,   11.24,  -28.50,    8.70,   14.25,    2.57,    0.19,    4.05
 23,    0, 21, 1,   16.49,   10.91,  -28.55,   -6.78,   -5.70,   -4.00,    0.14,    4.19
110,    0, 22, 1,   16.09,    8.88,  -29.06,   -9.17,   -5.70,   -3.61,    0.02,    3.26
 32,   14,  1, 1,   17.71,   11.10,  -28.22,   21.16,   19.00,   -3.22,    0.34,    3.52
 91,   14,  2, 1,   16.71,    9.98,  -28.62,   12.44,   13.87,   -4.14,    0.52,    7.15
 34,   14,  3, 1,   17.70,   11.39,  -28.19,   20.39,   -4.95,   -3.01,    1.03,    3.84
 13,   14,  4, 1,   16.19,   11.24,  -28.52,   -3.39,   -6.20,   -1.95,    0.05,    4.29
 36,   14,  5, 1,   17.01,   11.19,  -28.77,   19.10,   -1.75,   -1.50,    0.75,    4.93
 69,   28,  6, 1,   16.02,   10.06,  -28.90,   -3.86,    0.00,   -1.84,    0.10,    4.20
 24,   28,  7, 1,   16.25,   10.80,  -28.60,   -0.56,    1.87,   -1.23,    0.30,    4.22
 10,   28,  8, 1,   15.92,   11.25,  -28.48,   -3.91,    2.05,   -0.24,    0.22,    3.15
 99,   28,  9, 1,   16.25,    9.15,  -29.00,  -26.89,  -10.20,   -6.31,    0.10,    4.35
 97,   28, 10, 1,   15.99,    9.11,  -29.16,  -23.42,    0.25,   -4.78,    0.36,    4.40
106,   56, 11, 1,   16.38,    9.06,  -29.00,  -14.19,  -11.00,   -5.37,    0.47,    4.20
  6,   56, 12, 1,   15.79,   10.03,  -28.89,  -24.75,  -22.13,   -5.10,    0.34,    4.41
 37,   56, 13, 1,   15.60,   11.40,  -28.56,  -15.86,  -14.95,   -4.06,    0.05,    5.31
 80,   56, 14, 1,   15.96,    9.76,  -28.85,    1.63,   14.80,   -1.72,    0.30,    6.25
 28,   56, 15, 1,   17.51,   11.37,  -28.03,   19.52,   17.25,   -1.81,    0.16,    5.20
 76, 1456, 16, 1,   15.76,    9.93,  -28.95,  -16.40,  -11.00,   -3.41,    0.03,    7.32
 88, 1456, 17, 1,   16.04,    9.38,  -28.98,   -9.30,   -1.13,   -3.64,    0.04,    4.38
 15, 1456, 18, 1,   15.95,   11.00,  -28.58,   -8.71,  -11.95,   -2.11,    0.05,    3.33
102, 1456, 19, 1,   16.26,    8.96,  -29.07,  -25.70,  -19.20,   -6.25,    0.07,    4.02
 43, 1456, 20, 1,   16.52,   11.75,  -28.41,    5.61,   14.25,   -3.05,    0.06,    7.22
  3,    0, 21, 1,   16.07,    9.72,  -29.06,   -8.50,   -5.70,   -1.19,    0.21,    1.82
 20,    0, 22, 1,   16.41,   10.89,  -28.57,   -3.14,   -5.70,   -2.68,    0.24,    4.91
 26,   14,  1, 1,   17.68,   11.17,  -28.32,   22.13,   19.00,   -2.10,    0.37,    3.56
 78,   14,  2, 1,   16.18,    9.92,  -28.79,   10.09,   13.87,   -1.66,    0.51,    5.92
 75,   14,  3, 1,   15.82,   10.20,  -28.83,    0.09,   -4.95,   -1.19,    0.19,    2.31
 16,   14,  4, 1,   16.75,   11.23,  -28.36,    7.91,   -6.20,   -0.71,    0.46,    4.29
  8,   14,  5, 1,   16.42,   11.43,  -28.42,   13.88,   -1.75,    3.40,    0.24,    3.26
 94,   28,  6, 1,   16.37,    9.40,  -28.90,   -8.33,    0.00,   -5.59,    0.24,    4.18
 44,   28,  7, 1,   15.98,   11.64,  -28.50,   -2.58,    1.87,   -2.58,    0.15,    6.35
 71,   28,  8, 1,   15.76,   10.17,  -28.93,  -10.79,    2.05,   -2.18,    0.28,    5.33
104,   28,  9, 1,   16.08,    9.21,  -29.01,  -28.65,  -10.20,   -6.09,    0.26,    4.28
 86,   28, 10, 1,   15.88,    9.20,  -29.11,  -24.12,    0.25,   -4.57,    0.42,    4.10
 64,   56, 11, 1,   15.71,   10.37,  -28.83,  -13.51,  -11.00,   -2.77,    0.07,    4.31
100,   56, 12, 1,   16.34,    9.06,  -29.06,  -21.20,  -22.13,   -6.65,    0.35,    6.24
 30,   56, 13, 1,   15.56,   10.52,  -28.78,  -18.02,  -14.95,   -3.26,    0.34,    5.15
 79,   56, 14, 1,   16.00,    9.73,  -28.88,    3.02,   14.80,   -1.82,    0.65,    3.51
 89,   56, 15, 1,   16.05,    9.46,  -28.92,   -6.32,   17.25,   -3.59,    0.44,    2.84
 93, 1456, 16, 1,   15.98,    9.46,  -28.97,  -19.82,  -11.00,   -4.79,    0.02,    4.21
 95, 1456, 17, 1,   16.50,    9.54,  -28.86,    3.39,   -1.13,   -4.81,    0.15,    4.12
 42, 1456, 18, 1,   15.60,   11.48,  -28.59,  -10.12,  -11.95,   -2.79,    0.07,    6.10
 12, 1456, 19, 1,   15.94,   11.05,  -28.61,  -19.71,  -19.20,   -6.39,    0.12,    6.26
105, 1456, 20, 1,   16.78,    9.22,  -28.91,    3.02,   14.25,   -6.38,    0.04,    4.30
 65,    0, 21, 1,   15.76,   10.39,  -28.85,  -10.43,   -5.70,   -2.52,    0.06,    4.09
 18,    0, 22, 1,   16.19,   11.11,  -28.55,   -4.88,   -5.70,   -2.30,    0.09,    1.87
