# VP08   2013-11-06_18-34-05
# Elapsed time of measurement: 756 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 25,   14,  1, 1,   14.89,    6.12,  -24.07,   15.16,   12.00,   -1.44,    0.26,    6.94
 15,   14,  2, 1,   17.14,    9.07,  -21.81,   31.69,    4.60,   -6.40,    0.12,    6.32
 45,   14,  3, 1,   11.81,    2.56,  -24.60,   23.65,    6.25,    0.71,    0.19,    9.10
 92,   14,  4, 1,   13.00,    7.07,  -24.36,   26.76,   -4.99,   -5.79,    0.60,   21.99
 80,   14,  5, 1,   13.03,    4.65,  -25.31,   37.68,  -17.10,   -2.45,    0.22,    8.24
 78,   28,  6, 1,   21.91,   14.30,  -22.09,   30.60,   20.00,  -10.48,    0.54,    4.13
 13,   28,  7, 1,   15.38,   12.03,  -20.90,  -12.87,  -19.40,  -10.08,    0.30,   13.93
 55,   28,  8, 1,   15.34,    4.94,  -24.61,  -17.00,  -17.75,    1.26,    0.21,    3.78
 42,   28,  9, 1,   13.73,    3.79,  -24.90,   -7.72,  -11.99,    4.29,    0.11,    7.22
 60,   28, 10, 1,   13.82,    3.90,  -24.79,    1.05,    6.90,    0.75,    0.51,    5.05
 31,   56, 11, 1,   13.65,    6.07,  -24.55,   -3.79,   -3.00,    1.02,    0.20,    3.98
 75,   56, 12, 1,   17.04,   10.44,  -21.85,   -6.23,  -12.40,  -10.17,    0.26,    6.92
 30,   56, 13, 1,   13.59,    5.15,  -24.64,   14.52,    9.25,    1.87,    0.22,    5.44
 98,   56, 14, 1,   14.97,    5.50,  -24.88,  -12.85,   -5.99,    1.19,    0.27,    4.42
  8,   56, 15, 1,   15.16,    2.58,  -25.02,  -16.21,  -17.10,    7.04,    0.13,    5.46
 59, 1456, 16, 1,   13.01,    2.95,  -24.75,   16.73,   11.00,   -0.09,    0.06,    2.94
102, 1456, 17, 1,   15.33,    8.57,  -23.87,  -10.51,  -15.40,   -3.30,    0.05,    5.06
 52, 1456, 18, 1,   16.67,    6.57,  -23.92,   -6.82,  -16.75,   -4.83,    0.12,   11.84
  5, 1456, 19, 1,   14.90,    3.27,  -24.99,    2.75,   -8.99,    4.16,    0.06,    7.76
 29, 1456, 20, 1,   14.08,    6.06,  -24.49,   -4.73,   -6.10,    0.01,    0.08,    6.76
 36,    0, 21, 1,   15.03,    9.30,  -23.01,   -1.91,   -5.70,   -4.11,    0.07,    1.89
 65,    0, 22, 1,   15.69,    4.98,  -24.51,   -2.55,   -5.70,   -1.50,    0.22,    9.71
 39,   14,  1, 1,   13.38,    6.71,  -24.22,   14.46,   12.00,   -2.17,    0.25,    7.73
 82,   14,  2, 1,   11.84,    5.09,  -25.20,   36.15,    4.60,    0.40,    0.10,    4.80
 12,   14,  3, 1,   12.02,    2.97,  -24.81,   21.67,    6.25,    3.52,    0.35,    7.91
  9,   14,  4, 1,   16.23,    9.43,  -22.47,    4.35,   -4.99,   -5.29,    0.31,   32.93
 56,   14,  5, 1,   15.26,    7.09,  -23.50,   12.12,  -17.10,   -2.53,    0.36,    4.42
 51,   28,  6, 1,   12.68,    3.59,  -24.61,   27.68,   20.00,   -0.80,    0.12,    7.20
 22,   28,  7, 1,   14.57,    4.96,  -24.77,  -15.91,  -19.40,    1.02,    0.18,    2.76
 85,   28,  8, 1,   15.18,    4.74,  -25.21,   -5.82,  -17.75,    3.39,    0.43,    5.96
 17,   28,  9, 1,   14.82,    5.09,  -24.85,  -10.98,  -11.99,    1.70,    0.41,    5.75
 19,   28, 10, 1,   14.63,    4.05,  -24.82,    6.11,    6.90,    3.94,    0.23,    3.94
 43,   56, 11, 1,   13.12,    1.83,  -24.80,    3.42,   -3.00,    6.65,    0.28,    8.74
 79,   56, 12, 1,   18.48,   15.94,  -23.34,   -8.85,  -12.40,   -7.44,    0.53,    6.07
 61,   56, 13, 1,   13.22,    3.81,  -24.58,   17.35,    9.25,   -1.17,    0.11,    5.33
 32,   56, 14, 1,   13.83,    6.54,  -24.35,   -2.95,   -5.99,   -0.23,    0.29,    4.92
 37,   56, 15, 1,   14.48,    7.40,  -24.09,  -14.96,  -17.10,   -2.34,    0.11,    5.42
108, 1456, 16, 1,   16.41,    8.76,  -22.95,   19.89,   11.00,   -9.20,    0.17,    3.17
 84, 1456, 17, 1,   16.34,    9.27,  -24.24,   -5.48,  -15.40,   -4.36,    0.07,    7.47
 70, 1456, 18, 1,   15.70,    1.34,  -24.80,  -10.30,  -16.75,    5.41,    0.11,    6.15
105, 1456, 19, 1,   15.24,    3.36,  -24.98,   -4.25,   -8.99,    1.33,    0.05,    3.14
 72, 1456, 20, 1,   15.34,    1.80,  -24.93,  -11.64,   -6.10,    5.63,    0.10,    5.02
100,    0, 21, 1,   14.06,    6.25,  -24.68,   -3.13,   -5.70,    0.61,    0.18,    3.83
  6,    0, 22, 1,   14.59,    1.19,  -24.89,    1.40,   -5.70,    5.21,    0.06,    5.21
 67,   14,  1, 1,   11.88,    2.39,  -24.61,   19.57,   12.00,    0.91,    0.17,    8.10
 71,   14,  2, 1,   11.54,    2.29,  -24.70,   24.76,    4.60,    1.45,    0.08,   12.14
 97,   14,  3, 1,   13.92,    4.50,  -24.73,   18.28,    6.25,   -1.12,    0.39,    7.38
109,   14,  4, 1,   15.85,    8.21,  -23.29,   20.35,   -4.99,   -9.20,    0.41,    8.14
 91,   14,  5, 1,   11.63,    4.70,  -24.80,   38.11,  -17.10,   -6.40,    0.27,   14.73
 11,   28,  6, 1,   13.85,    4.75,  -24.45,   21.30,   20.00,   -2.83,    0.24,   10.93
 87,   28,  7, 1,   15.89,    3.10,  -25.17,  -14.03,  -19.40,    6.98,    0.45,   10.57
 46,   28,  8, 1,   14.99,    2.45,  -24.93,  -12.36,  -17.75,    5.03,    0.20,    7.21
 18,   28,  9, 1,   14.90,    4.67,  -24.85,  -10.41,  -11.99,    1.90,    0.16,    2.13
 76,   28, 10, 1,   16.79,    8.02,  -23.24,    7.65,    6.90,   -6.72,    0.24,    5.10
 44,   56, 11, 1,   13.00,    1.94,  -24.80,    2.71,   -3.00,    7.17,    0.12,    8.36
 54,   56, 12, 1,   15.80,    5.12,  -24.62,   -9.23,  -12.40,    0.60,    0.27,    3.70
 57,   56, 13, 1,   12.65,    2.97,  -24.69,   16.75,    9.25,    1.26,    0.22,    8.80
 38,   56, 14, 1,   14.87,    6.58,  -24.24,    1.54,   -5.99,    0.22,    0.36,    5.19
 41,   56, 15, 1,   14.85,    5.33,  -24.54,  -13.85,  -17.10,    0.06,    0.23,    6.98
107, 1456, 16, 1,   16.55,    8.75,  -22.87,   20.76,   11.00,   -9.65,    0.11,    3.70
  3, 1456, 17, 1,   15.58,    8.82,  -23.07,   -5.55,  -15.40,   -5.72,    0.06,    6.94
 89, 1456, 18, 1,   15.44,    3.31,  -25.16,   -9.96,  -16.75,    6.35,    0.10,    5.03
 86, 1456, 19, 1,   15.05,    3.08,  -25.22,   -4.06,   -8.99,    5.17,    0.03,    3.80
 83, 1456, 20, 1,   15.22,    3.66,  -25.31,   -7.13,   -6.10,    6.81,    0.07,    6.93
 24,    0, 21, 1,   14.30,    3.91,  -24.93,   -2.58,   -5.70,    4.81,    0.07,    3.12
104,    0, 22, 1,   16.54,    9.20,  -23.23,   -2.02,   -5.70,   -6.81,    0.12,    3.79
 68,   14,  1, 1,   12.13,    2.69,  -24.58,   18.26,   12.00,    0.58,    0.11,    4.37
 74,   14,  2, 1,   15.23,    7.09,  -23.27,   31.42,    4.60,   -9.82,    0.15,   14.12
106,   14,  3, 1,   12.93,    3.68,  -24.84,   21.68,    6.25,   -0.41,    0.35,    3.88
  2,   14,  4, 1,   14.15,    5.20,  -24.26,   17.20,   -4.99,   -2.40,    0.32,    8.24
 81,   14,  5, 1,   11.48,    5.42,  -25.32,   41.63,  -17.10,    0.18,    0.15,    5.37
 28,   28,  6, 1,   12.76,    5.57,  -24.53,   22.66,   20.00,    1.06,    0.28,    4.71
 50,   28,  7, 1,   15.78,    1.55,  -24.87,  -14.92,  -19.40,    5.37,    0.32,    7.55
 26,   28,  8, 1,   14.51,    5.06,  -24.63,  -16.20,  -17.75,    0.59,    0.26,    5.86
110,   28,  9, 1,   16.30,    7.22,  -24.27,   -9.85,  -11.99,   -4.16,    0.20,    5.31
  7,   28, 10, 1,   13.40,    1.48,  -24.73,    7.58,    6.90,    4.20,    0.34,    7.78
 96,   56, 11, 1,   15.35,    8.14,  -23.86,    4.57,   -3.00,   -5.27,    0.16,    8.52
 73,   56, 12, 1,   15.21,    1.61,  -24.82,   -3.73,  -12.40,    3.10,    0.27,    9.14
 77,   56, 13, 1,   20.75,   15.21,  -22.50,   17.91,    9.25,   -8.42,    0.61,    7.06
 21,   56, 14, 1,   14.74,    3.85,  -24.74,    0.43,   -5.99,    2.83,    0.42,    4.02
 47,   56, 15, 1,   14.95,    1.83,  -24.83,  -11.83,  -17.10,    5.96,    0.26,    3.98
 90, 1456, 16, 1,   14.16,    6.24,  -24.56,   24.03,   11.00,   -5.97,    0.07,   11.97
 93, 1456, 17, 1,   15.46,    7.88,  -24.20,   -7.06,  -15.40,   -4.59,    0.05,    6.88
 95, 1456, 18, 1,   15.91,    9.43,  -23.38,   -6.72,  -16.75,   -6.67,    0.11,    5.99
103, 1456, 19, 1,   14.88,    4.05,  -25.06,   -6.31,   -8.99,    3.31,    0.07,    3.90
 10, 1456, 20, 1,   15.68,    6.22,  -24.15,    2.30,   -6.10,   -4.10,    0.08,   11.41
 63,    0, 21, 1,   17.84,    9.13,  -22.54,   -1.89,   -5.70,   -8.40,    0.10,    5.80
 27,    0, 22, 1,   14.41,    4.54,  -24.77,   -1.46,   -5.70,    3.87,    0.14,    5.96
  1,   14,  1, 1,   16.77,   10.13,  -21.73,   17.18,   12.00,   -7.97,    0.21,   12.12
 16,   14,  2, 1,   17.66,    9.47,  -21.34,   32.88,    4.60,   -7.07,    0.08,    4.42
 14,   14,  3, 1,   16.30,    6.11,  -23.74,   19.37,    6.25,   -3.05,    0.53,    5.82
 64,   14,  4, 1,   11.74,    2.73,  -24.57,   32.80,   -4.99,   -3.15,    0.22,    9.03
 94,   14,  5, 1,   13.76,    4.61,  -24.60,   41.31,  -17.10,   -6.96,    0.21,    7.54
 40,   28,  6, 1,   12.40,    5.69,  -24.51,   27.99,   20.00,   -0.77,    0.16,    6.02
 33,   28,  7, 1,   14.67,    5.18,  -24.79,  -16.36,  -19.40,    3.92,    0.12,    5.31
