# VP10   2013-10-31_18-18-10
# Elapsed time of measurement: 324 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 78,   14,  1, 1,   18.93,    7.56,  -24.60,   12.79,   12.00,   -6.53,    0.29,    2.97
 26,   14,  2, 1,   19.27,    9.22,  -23.96,    7.58,    4.60,   -6.13,    0.54,    2.60
 65,   14,  3, 1,   21.79,    9.86,  -21.91,   30.02,    6.25,   -8.17,    0.46,    6.63
 87,   14,  4, 1,   19.76,    8.03,  -23.88,   21.77,   -4.99,   -7.44,    0.44,    3.87
 58,   14,  5, 1,   21.72,    7.76,  -23.18,   47.52,  -17.10,   -1.52,    0.19,    4.10
 68,   28,  6, 1,   20.83,    9.78,  -22.50,   23.57,   20.00,   -8.82,    0.24,    3.15
 90,   28,  7, 1,   17.18,    6.57,  -25.31,  -15.93,  -19.40,   -6.56,    0.56,    2.34
106,   28,  8, 1,   17.63,    7.24,  -24.96,   -6.26,  -17.75,   -7.50,    0.21,    2.30
 61,   28,  9, 1,   17.58,    9.19,  -24.47,  -11.48,  -11.99,   -8.55,    0.24,    2.81
 39,   28, 10, 1,   18.52,    8.31,  -24.57,   -1.76,    6.90,   -7.54,    0.29,    3.90
 97,   56, 11, 1,   18.00,    6.99,  -24.91,    0.04,   -3.00,   -6.85,    0.21,    1.23
 99,   56, 12, 1,   17.68,    7.38,  -24.87,   -4.56,  -12.40,   -7.01,    0.29,    2.16
 31,   56, 13, 1,   19.20,    9.74,  -23.55,    5.92,    9.25,   -6.48,    0.39,    2.93
  1,   56, 14, 1,   18.32,    7.56,  -25.38,   -3.03,   -5.99,   -5.40,    0.04,    2.33
  5,   56, 15, 1,   18.11,    7.81,  -25.20,  -15.20,  -17.10,   -7.95,    0.31,    2.04
 83, 1456, 16, 1,   19.98,    8.76,  -23.43,   17.81,   11.00,   -9.60,    0.02,    2.34
 43, 1456, 17, 1,   17.81,    8.58,  -24.58,  -11.00,  -15.40,   -8.87,    0.05,    3.08
 29, 1456, 18, 1,   17.69,    6.73,  -25.52,  -12.94,  -16.75,   -4.76,    0.22,    2.44
  7, 1456, 19, 1,   18.36,    7.25,  -25.46,   -6.45,   -8.99,   -6.47,    0.11,    3.01
 44, 1456, 20, 1,   18.34,   10.14,  -23.40,   -5.03,   -6.10,  -10.66,    0.07,    2.53
 85,    0, 21, 1,   17.21,    3.88,  -25.83,   -9.87,   -5.70,   -2.08,    0.08,    2.25
 92,    0, 22, 1,   17.25,    4.59,  -25.72,   -6.74,   -5.70,   -2.98,    0.11,    2.15
 69,   14,  1, 1,   19.59,    8.93,  -23.63,   12.46,   12.00,   -9.63,    0.35,    2.55
