# VP11   2013-10-28_18-33-41
# Elapsed time of measurement: 421 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 72,   14,  1, 1,   22.56,    7.45,  -26.80,    3.24,   12.00,   -8.79,    0.40,    2.11
 52,   14,  2, 1,   18.15,    4.01,  -26.51,   -9.24,    9.00,   -3.73,    0.70,    4.32
 19,   14,  3, 1,   17.79,    4.15,  -26.47,    0.69,   15.00,   -2.79,    0.21,    3.04
 88,   14,  4, 1,    2.82,    4.59,  -25.37,  159.40,    9.00,  -33.59,    0.12,    6.29
 87,   14,  5, 1,   27.66,    6.86,  -26.26, -133.90,    4.00,    9.55,    0.72,    6.51
105,   28,  6, 1,   14.94,    1.06,  -25.89,  -31.83,   20.00,    2.94,    0.17,    1.56
 67,   28,  7, 1,   22.46,    4.96,  -26.25,  -69.20,  -15.00,   -1.35,    0.45,    5.40
 51,   28,  8, 1,   17.51,    2.00,  -26.16,  -55.05,   -9.00,    1.90,    0.13,    6.09
 22,   28,  9, 1,   17.53,    3.05,  -26.44,  -32.29,    1.00,   -1.38,    0.08,    1.50
 31,   28, 10, 1,   17.74,    3.65,  -26.53,   -1.11,   25.00,   -2.20,    0.14,    3.19
103,   56, 11, 1,   15.26,    0.44,  -25.81,  -36.59,   -3.00,    3.25,    0.24,    4.69
  9,   56, 12, 1,   17.34,    2.07,  -26.37,  -40.70,   -8.00,    1.68,    0.11,    2.37
 32,   56, 13, 1,   17.85,    3.67,  -26.54,    2.54,   18.00,   -2.92,    0.40,    1.73
 33,   56, 14, 1,   17.83,    3.41,  -26.50,  -21.67,    7.00,   -3.06,    0.30,    2.01
 56,   56, 15, 1,   18.19,    4.44,  -26.44,    0.87,    0.00,   -3.78,    0.28,    2.15
 13, 1456, 16, 1,   18.67,    4.32,  -26.35,   13.70,   11.00,   -7.09,    0.11,    5.02
 76, 1456, 17, 1,   22.56,    6.59,  -26.69,  -42.71,  -11.00,   -9.72,    0.09,    2.12
 83, 1456, 18, 1,   24.61,    5.76,  -26.15,  -93.53,   -8.00,    2.09,    0.08,    6.60
 37, 1456, 19, 1,   17.56,    3.62,  -26.50,  -19.24,    4.00,   -1.34,    0.08,    2.30
  3, 1456, 20, 1,   17.90,    3.44,  -26.49,  -23.14,   11.00,   -3.80,    0.04,    5.34
 93,    0, 21, 1,   16.18,    0.43,  -25.89,  -42.57,   -5.70,    4.12,    0.02,    1.82
 58,    0, 22, 1,   17.73,    3.68,  -26.48,  -18.35,   -5.70,   -1.38,    0.06,    3.97
 71,   14,  1, 1,   22.93,    7.67,  -26.74,   11.10,   12.00,   -9.85,    0.49,    2.60
 86,   14,  2, 1,   26.67,    3.98,  -25.84,  -95.61,    9.00,   10.65,    0.14,   14.03
 46,   14,  3, 1,   17.90,    3.84,  -26.47,   -5.45,   15.00,   -2.73,    0.14,    3.41
 41,   14,  4, 1,   17.87,    3.50,  -26.52,  -21.42,    9.00,   -3.38,    0.18,    3.08
 40,   14,  5, 1,   17.89,    3.84,  -26.46,  -21.48,    4.00,   -4.21,    0.36,    2.86
 23,   28,  6, 1,   18.76,    3.31,  -26.21,   37.29,   20.00,   -9.43,    0.20,    2.77
 55,   28,  7, 1,   17.74,    3.53,  -26.42,  -26.08,  -15.00,   -1.78,    0.28,    2.11
 96,   28,  8, 1,   14.13,    3.72,  -25.52,   39.54,   -9.00,   -0.94,    0.04,    3.61
  4,   28,  9, 1,   17.41,    3.12,  -26.46,  -33.33,    1.00,   -1.50,    0.16,    2.77
 45,   28, 10, 1,   17.79,    3.15,  -26.51,  -29.04,   25.00,   -2.54,    0.08,    2.93
 20,   56, 11, 1,   18.09,    3.86,  -26.50,  -18.53,   -3.00,   -5.26,    0.11,    2.08
 36,   56, 12, 1,   17.36,    2.83,  -26.34,  -42.56,   -8.00,   -0.31,    0.26,    4.29
 29,   56, 13, 1,   18.44,    4.05,  -26.37,   -5.60,   18.00,   -5.80,    0.24,    2.00
 79,   56, 14, 1,   22.31,    5.39,  -26.54,  -59.85,    7.00,   -4.92,    0.12,    3.19
107,   56, 15, 1,   16.04,    1.40,  -25.65,   39.60,    0.00,  -11.23,    0.23,    2.24
 18, 1456, 16, 1,   19.00,    3.96,  -26.29,   17.86,   11.00,   -9.42,    0.14,    3.03
 10, 1456, 17, 1,   17.41,    2.15,  -26.25,  -51.45,  -11.00,    0.95,    0.09,    5.18
  6, 1456, 18, 1,   17.31,    2.51,  -26.31,  -43.47,   -8.00,    0.70,    0.08,    3.71
 60, 1456, 19, 1,   18.24,    4.52,  -26.44,   -6.38,    4.00,   -4.16,    0.02,    2.33
