# VP01   2013-10-29_19-44-09
# Elapsed time of measurement: 220 s
# Localization experiment - number of sources
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, number_of_sources, elapsed_time
 74,   14,  1, 1,    1.00,    3.28
 29,   14,  2, 1,    2.00,    6.36
 38,   14,  3, 1,    2.00,    5.42
 75,   14,  4, 1,    2.00,    1.62
  4,   14,  5, 1,    2.00,    2.04
 39,   28,  6, 1,    1.00,    1.84
 49,   28,  7, 1,    1.00,    2.02
 20,   28,  8, 1,    1.00,    2.16
 27,   28,  9, 1,    2.00,    1.79
 52,   28, 10, 1,    2.00,    8.15
 15,   56, 11, 1,    1.00,    1.82
 35,   56, 12, 1,    1.00,    1.89
 50,   56, 13, 1,    1.00,    2.92
  5,   56, 14, 1,    1.00,    1.82
 22,   56, 15, 1,    1.00,    1.93
 57, 1456, 16, 1,    1.00,    2.40
 33, 1456, 17, 1,    1.00,    1.78
 24, 1456, 18, 1,    1.00,    2.59
 31, 1456, 19, 1,    1.00,    1.55
 72, 1456, 20, 1,    1.00,    2.18
 84,    0, 21, 1,    1.00,    2.17
 42,   14,  1, 1,    1.00,    1.63
 62,   14,  2, 1,    1.00,    1.40
 37,   14,  3, 1,    2.00,    3.49
 12,   14,  4, 1,    2.00,    3.09
 13,   14,  5, 1,    2.00,    1.94
 34,   28,  6, 1,    1.00,    4.05
 82,   28,  7, 1,    1.00,    1.33
 56,   28,  8, 1,    1.00,    2.02
  2,   28,  9, 1,    1.00,    7.91
 58,   28, 10, 1,    1.00,    1.43
 36,   56, 11, 1,    1.00,    1.51
 30,   56, 12, 1,    1.00,    1.93
 68,   56, 13, 1,    1.00,    1.93
 16,   56, 14, 1,    1.00,    1.75
 65,   56, 15, 1,    2.00,    6.21
 54, 1456, 16, 1,    1.00,    2.12
  6, 1456, 17, 1,    1.00,    2.00
 64, 1456, 18, 1,    1.00,    1.89
 51, 1456, 19, 1,    1.00,    2.64
 67, 1456, 20, 1,    2.00,    4.47
 18,    0, 21, 1,    1.00,    1.81
 19,   14,  1, 1,    1.00,    2.00
  7,   14,  2, 1,    1.00,    2.83
 63,   14,  3, 1,    2.00,    4.61
 55,   14,  4, 1,    2.00,    1.72
 80,   14,  5, 1,    2.00,    1.67
 66,   28,  6, 1,    1.00,    2.07
 11,   28,  7, 1,    1.00,    2.97
 69,   28,  8, 1,    1.00,    3.14
 40,   28,  9, 1,    1.00,    1.84
 17,   28, 10, 1,    1.00,    1.80
 32,   56, 11, 1,    1.00,    1.77
 21,   56, 12, 1,    1.00,    1.92
 77,   56, 13, 1,    1.00,    1.94
 44,   56, 14, 1,    1.00,    1.95
 81,   56, 15, 1,    1.00,    1.91
 47, 1456, 16, 1,    1.00,    2.36
  1, 1456, 17, 1,    1.00,    3.37
 25, 1456, 18, 1,    1.00,    1.37
 70, 1456, 19, 1,    1.00,    1.69
 10, 1456, 20, 1,    1.00,    3.01
 71,    0, 21, 1,    1.00,    1.19
  8,   14,  1, 1,    1.00,    1.44
 60,   14,  2, 1,    1.00,    5.68
 79,   14,  3, 1,    2.00,    5.07
 83,   14,  4, 1,    2.00,    2.61
 59,   14,  5, 1,    2.00,    1.53
 28,   28,  6, 1,    1.00,    2.22
 78,   28,  7, 1,    1.00,    3.00
 76,   28,  8, 1,    1.00,    1.93
 26,   28,  9, 1,    2.00,    4.61
 43,   28, 10, 1,    1.00,    2.96
 46,   56, 11, 1,    1.00,    2.89
 61,   56, 12, 1,    1.00,    1.50
 14,   56, 13, 1,    1.00,    1.84
 48,   56, 14, 1,    1.00,    2.95
 53,   56, 15, 1,    1.00,    2.06
 73, 1456, 16, 1,    1.00,    2.25
 41, 1456, 17, 1,    1.00,    1.27
 45, 1456, 18, 1,    1.00,    2.00
 23, 1456, 19, 1,    1.00,    2.82
  9, 1456, 20, 1,    1.00,    4.11
  3,    0, 21, 1,    1.00,    1.59
