# VP02   2013-11-07_11-18-59
# Elapsed time of measurement: 171 s
# Localization experiment - number of sources
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, number_of_sources, elapsed_time
 84,   14,  1, 1,    1.00,    2.29
 82,   14,  2, 1,    1.00,    2.88
 48,   14,  3, 1,    1.00,    1.96
 21,   14,  4, 1,    1.00,    2.08
 36,   14,  5, 1,    1.00,    1.77
  3,   28,  6, 1,    1.00,    2.23
 78,   28,  7, 1,    1.00,    6.08
 27,   28,  8, 1,    1.00,    1.74
 22,   28,  9, 1,    1.00,    1.46
 25,   28, 10, 1,    1.00,    1.60
 49,   56, 11, 1,    1.00,    1.95
  6,   56, 12, 1,    1.00,    1.53
 26,   56, 13, 1,    1.00,    1.88
 76,   56, 14, 1,    1.00,    1.93
 81,   56, 15, 1,    1.00,    1.96
 63, 1456, 16, 1,    1.00,    2.04
 64, 1456, 17, 1,    1.00,    2.70
 18, 1456, 18, 1,    1.00,    1.74
 59, 1456, 19, 1,    1.00,    3.78
 46, 1456, 20, 1,    1.00,    2.04
 66,    0, 21, 1,    1.00,    1.77
 41,   14,  1, 1,    1.00,    1.68
 11,   14,  2, 1,    1.00,    1.81
 67,   14,  3, 1,    1.00,    1.88
 38,   14,  4, 1,    1.00,    1.51
 57,   14,  5, 1,    1.00,    2.39
 70,   28,  6, 1,    1.00,    2.03
 47,   28,  7, 1,    1.00,    1.92
 75,   28,  8, 1,    1.00,    1.76
 77,   28,  9, 1,    1.00,    1.35
 62,   28, 10, 1,    1.00,    3.28
 80,   56, 11, 1,    1.00,    1.75
 71,   56, 12, 1,    1.00,    1.60
  1,   56, 13, 1,    1.00,    1.82
 17,   56, 14, 1,    1.00,    2.11
 31,   56, 15, 1,    1.00,    2.16
 35, 1456, 16, 1,    1.00,    1.51
  7, 1456, 17, 1,    1.00,    1.94
 55, 1456, 18, 1,    1.00,    4.31
 68, 1456, 19, 1,    1.00,    3.42
 32, 1456, 20, 1,    1.00,    2.15
 12,    0, 21, 1,    1.00,    1.36
 58,   14,  1, 1,    1.00,    1.96
 16,   14,  2, 1,    1.00,    1.48
 44,   14,  3, 1,    1.00,    2.10
 74,   14,  4, 1,    1.00,    1.92
 14,   14,  5, 1,    1.00,    1.80
  4,   28,  6, 1,    1.00,    1.14
 13,   28,  7, 1,    1.00,    1.44
 33,   28,  8, 1,    1.00,    1.30
 20,   28,  9, 1,    1.00,    1.41
 24,   28, 10, 1,    1.00,    1.92
 61,   56, 11, 1,    1.00,    2.51
 51,   56, 12, 1,    1.00,    1.63
 73,   56, 13, 1,    1.00,    1.54
 10,   56, 14, 1,    1.00,    1.79
 19,   56, 15, 1,    1.00,    1.78
 30, 1456, 16, 1,    1.00,    1.62
 65, 1456, 17, 1,    1.00,    1.49
 69, 1456, 18, 1,    1.00,    2.17
 43, 1456, 19, 1,    1.00,    2.20
 60, 1456, 20, 1,    1.00,    2.22
 83,    0, 21, 1,    1.00,    1.49
 39,   14,  1, 1,    1.00,    2.02
 40,   14,  2, 1,    1.00,    2.48
 56,   14,  3, 1,    1.00,    1.83
 79,   14,  4, 1,    1.00,    2.10
 45,   14,  5, 1,    1.00,    2.08
 34,   28,  6, 1,    1.00,    1.16
 15,   28,  7, 1,    1.00,    1.41
 72,   28,  8, 1,    1.00,    1.79
 54,   28,  9, 1,    1.00,    1.90
 29,   28, 10, 1,    1.00,    2.22
 42,   56, 11, 1,    1.00,    2.28
  8,   56, 12, 1,    1.00,    1.63
 23,   56, 13, 1,    1.00,    1.64
  9,   56, 14, 1,    1.00,    2.00
  2,   56, 15, 1,    1.00,    2.05
  5, 1456, 16, 1,    1.00,    2.00
 50, 1456, 17, 1,    1.00,    2.05
 37, 1456, 18, 1,    1.00,    1.55
 28, 1456, 19, 1,    1.00,    3.12
 52, 1456, 20, 1,    1.00,    1.93
 53,    0, 21, 1,    1.00,    1.59
