# VP03   2013-11-06_16-40-34
# Elapsed time of measurement: 172 s
# Localization experiment - number of sources
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, number_of_sources, elapsed_time
 10,   14,  1, 1,    1.00,    1.29
 80,   14,  2, 1,    1.00,    1.37
 22,   14,  3, 1,    1.00,    1.94
 74,   14,  4, 1,    1.00,    3.36
  6,   14,  5, 1,    2.00,    2.88
 36,   28,  6, 1,    1.00,    2.16
 59,   28,  7, 1,    1.00,    1.53
 82,   28,  8, 1,    1.00,    1.79
 61,   28,  9, 1,    1.00,    1.64
 50,   28, 10, 1,    2.00,    3.17
 21,   56, 11, 1,    1.00,    2.03
 52,   56, 12, 1,    1.00,    1.45
 47,   56, 13, 1,    1.00,    1.98
 13,   56, 14, 1,    1.00,    1.96
 81,   56, 15, 1,    1.00,    1.44
 51, 1456, 16, 1,    1.00,    1.23
 56, 1456, 17, 1,    1.00,    1.62
 83, 1456, 18, 1,    1.00,    2.88
 24, 1456, 19, 1,    1.00,    2.12
 27, 1456, 20, 1,    1.00,    2.09
 38,    0, 21, 1,    1.00,    1.77
 67,   14,  1, 1,    1.00,    2.11
 62,   14,  2, 1,    1.00,    1.30
 84,   14,  3, 1,    1.00,    2.44
 79,   14,  4, 1,    2.00,    2.17
 58,   14,  5, 1,    2.00,    2.15
  9,   28,  6, 1,    1.00,    1.76
 26,   28,  7, 1,    1.00,    1.74
 31,   28,  8, 1,    1.00,    1.25
 39,   28,  9, 1,    1.00,    1.88
 40,   28, 10, 1,    1.00,    1.80
 46,   56, 11, 1,    1.00,    1.87
 15,   56, 12, 1,    1.00,    1.53
 33,   56, 13, 1,    1.00,    2.13
 41,   56, 14, 1,    1.00,    1.90
  5,   56, 15, 1,    1.00,    1.97
 32, 1456, 16, 1,    1.00,    1.77
 25, 1456, 17, 1,    1.00,    2.19
 65, 1456, 18, 1,    1.00,    1.98
 18, 1456, 19, 1,    1.00,    1.40
  3, 1456, 20, 1,    1.00,    1.59
 35,    0, 21, 1,    1.00,    1.75
 45,   14,  1, 1,    1.00,    1.69
 76,   14,  2, 1,    1.00,    1.76
 42,   14,  3, 1,    1.00,    1.79
 20,   14,  4, 1,    2.00,    2.66
 37,   14,  5, 1,    2.00,    2.49
 44,   28,  6, 1,    1.00,    1.87
 30,   28,  7, 1,    1.00,    1.77
 23,   28,  8, 1,    1.00,    2.05
 28,   28,  9, 1,    1.00,    1.75
  4,   28, 10, 1,    1.00,    2.98
 72,   56, 11, 1,    1.00,    2.68
  7,   56, 12, 1,    1.00,    1.37
 64,   56, 13, 1,    1.00,    1.55
 17,   56, 14, 1,    1.00,    1.49
 75,   56, 15, 1,    1.00,    1.24
 78, 1456, 16, 1,    1.00,    1.33
 71, 1456, 17, 1,    1.00,    1.14
 77, 1456, 18, 1,    1.00,    1.38
 53, 1456, 19, 1,    1.00,    1.32
  8, 1456, 20, 1,    1.00,    1.38
 43,    0, 21, 1,    1.00,    1.76
 60,   14,  1, 1,    1.00,    1.28
 54,   14,  2, 1,    1.00,    2.58
 14,   14,  3, 1,    1.00,    2.14
 11,   14,  4, 1,    2.00,    2.69
 73,   14,  5, 1,    2.00,    2.80
 49,   28,  6, 1,    1.00,    1.91
 66,   28,  7, 1,    1.00,    2.31
 69,   28,  8, 1,    1.00,    1.54
  2,   28,  9, 1,    1.00,    2.80
 16,   28, 10, 1,    1.00,    1.80
  1,   56, 11, 1,    1.00,    4.91
 19,   56, 12, 1,    1.00,    1.44
 57,   56, 13, 1,    1.00,    1.68
 55,   56, 14, 1,    1.00,    1.62
 29,   56, 15, 1,    1.00,    1.68
 48, 1456, 16, 1,    1.00,    1.78
 34, 1456, 17, 1,    1.00,    2.02
 70, 1456, 18, 1,    1.00,    1.38
 12, 1456, 19, 1,    1.00,    1.81
 68, 1456, 20, 1,    1.00,    1.87
 63,    0, 21, 1,    1.00,    1.23
