# VP05   2013-11-08_17-26-09
# Elapsed time of measurement: 182 s
# Localization experiment - number of sources
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, number_of_sources, elapsed_time
 81,   14,  1, 1,    1.00,    2.56
 32,   14,  2, 1,    1.00,    2.32
 30,   14,  3, 1,    1.00,    1.68
  6,   14,  4, 1,    1.00,    2.30
 25,   14,  5, 1,    2.00,    2.99
  3,   28,  6, 1,    1.00,    1.58
 77,   28,  7, 1,    1.00,    1.98
 66,   28,  8, 1,    1.00,    1.54
 35,   28,  9, 1,    1.00,    2.13
 63,   28, 10, 1,    2.00,    2.41
 19,   56, 11, 1,    1.00,    1.36
 55,   56, 12, 1,    1.00,    1.53
 47,   56, 13, 1,    1.00,    1.96
 16,   56, 14, 1,    1.00,    2.94
  4,   56, 15, 1,    2.00,    3.42
 39, 1456, 16, 1,    1.00,    1.99
 68, 1456, 17, 1,    1.00,    1.83
  9, 1456, 18, 1,    1.00,    2.15
 14, 1456, 19, 1,    1.00,    2.24
  2, 1456, 20, 1,    1.00,    1.54
 45,    0, 21, 1,    1.00,    2.24
 79,   14,  1, 1,    1.00,    3.13
 83,   14,  2, 1,    1.00,    1.78
 26,   14,  3, 1,    1.00,    1.79
 48,   14,  4, 1,    1.00,    2.12
 11,   14,  5, 1,    1.00,    3.08
 31,   28,  6, 1,    1.00,    1.85
  8,   28,  7, 1,    1.00,    2.91
 54,   28,  8, 1,    1.00,    1.53
 70,   28,  9, 1,    1.00,    1.70
 23,   28, 10, 1,    2.00,    2.47
 12,   56, 11, 1,    1.00,    2.05
 75,   56, 12, 1,    1.00,    2.34
 20,   56, 13, 1,    1.00,    1.58
 28,   56, 14, 1,    1.00,    2.03
  5,   56, 15, 1,    1.00,    2.29
 72, 1456, 16, 1,    1.00,    1.87
 76, 1456, 17, 1,    1.00,    2.00
 10, 1456, 18, 1,    1.00,    1.59
 52, 1456, 19, 1,    1.00,    1.67
 22, 1456, 20, 1,    1.00,    1.89
 46,    0, 21, 1,    1.00,    1.49
 59,   14,  1, 1,    1.00,    2.05
 57,   14,  2, 1,    1.00,    3.35
 41,   14,  3, 1,    1.00,    2.59
 82,   14,  4, 1,    1.00,    2.47
 43,   14,  5, 1,    1.00,    2.73
 84,   28,  6, 1,    1.00,    1.86
 38,   28,  7, 1,    1.00,    2.02
 33,   28,  8, 1,    1.00,    2.42
 65,   28,  9, 1,    1.00,    1.63
 44,   28, 10, 1,    1.00,    2.13
 21,   56, 11, 1,    1.00,    1.66
 27,   56, 12, 1,    1.00,    1.98
  7,   56, 13, 1,    1.00,    1.57
 17,   56, 14, 1,    1.00,    1.62
 67,   56, 15, 1,    1.00,    1.69
 53, 1456, 16, 1,    1.00,    1.57
 36, 1456, 17, 1,    1.00,    2.34
 62, 1456, 18, 1,    1.00,    3.00
 15, 1456, 19, 1,    1.00,    1.49
 42, 1456, 20, 1,    1.00,    2.01
 51,    0, 21, 1,    1.00,    1.79
 34,   14,  1, 1,    1.00,    2.10
 37,   14,  2, 1,    1.00,    2.27
 60,   14,  3, 1,    1.00,    5.11
 49,   14,  4, 1,    1.00,    1.65
 71,   14,  5, 1,    1.00,    2.91
 56,   28,  6, 1,    1.00,    1.67
 69,   28,  7, 1,    1.00,    1.67
 13,   28,  8, 1,    1.00,    2.10
 40,   28,  9, 1,    1.00,    1.83
  1,   28, 10, 1,    1.00,    2.16
 58,   56, 11, 1,    1.00,    2.49
 29,   56, 12, 1,    1.00,    1.89
 18,   56, 13, 1,    1.00,    1.56
 64,   56, 14, 1,    1.00,    1.92
 73,   56, 15, 1,    1.00,    2.01
 80, 1456, 16, 1,    1.00,    3.01
 78, 1456, 17, 1,    1.00,    1.86
 50, 1456, 18, 1,    1.00,    2.40
 74, 1456, 19, 1,    1.00,    1.78
 61, 1456, 20, 1,    1.00,    4.96
 24,    0, 21, 1,    1.00,    1.91
