# VP01   2013-02-20_14-08-08
# Elapsed time of measurement: 171 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 53,  14,  1, 1,   16.43,   -1.32,  -22.39,    6.62,   12.00,    2.13,    0.32,    2.03
 63,  14,  2, 1,   16.14,   -1.04,  -22.18,   -3.02,    4.60,    0.81,    0.35,    1.52
 49,  14,  3, 1,   15.91,   -1.62,  -22.36,    0.21,    6.25,    2.49,    0.61,    1.65
 68,  14,  4, 1,   15.89,   -1.69,  -22.20,  -14.16,   -4.99,   -1.31,    0.41,    1.55
 43,  14,  5, 1,   15.78,   -1.85,  -22.06,  -21.86,  -17.10,   -3.56,    0.05,    2.14
 84,  28,  6, 1,   16.80,   -1.01,  -22.34,   11.62,   20.00,    2.50,    0.22,    2.36
 14,  28,  7, 1,   16.08,   -2.32,  -22.18,  -21.95,  -19.40,   -4.40,    0.48,    1.68
 35,  28,  8, 1,   15.80,   -1.96,  -22.00,  -26.64,  -17.75,   -5.64,    0.23,    1.97
 16,  28,  9, 1,   15.87,   -2.22,  -22.23,  -18.40,  -11.99,   -2.66,    0.41,    1.33
 77,  28, 10, 1,   16.05,   -1.23,  -22.14,   -7.27,    6.90,   -0.47,    0.16,    2.40
 78,  56, 11, 1,   16.01,   -1.10,  -22.02,  -10.27,   -3.00,   -1.40,    0.22,    1.89
 83,  56, 12, 1,   15.96,   -1.56,  -22.03,  -20.43,  -12.40,   -3.97,    0.25,    1.65
 59,  56, 13, 1,   16.24,   -1.26,  -22.22,   -0.80,    9.25,    0.74,    0.04,    2.26
 64,  56, 14, 1,   15.91,   -1.39,  -22.03,  -17.80,   -5.99,   -3.30,    0.37,    2.02
 38,  56, 15, 1,   15.58,   -2.10,  -21.96,  -30.44,  -17.10,   -5.26,    0.20,    2.35
 61,   0, 16, 1,   15.96,   -1.50,  -22.12,  -13.13,   -5.70,   -1.62,    0.07,    1.49
 69,   0, 17, 1,   16.03,   -1.45,  -22.19,   -7.22,   -5.70,   -0.21,    0.07,    1.82
 41,  14,  1, 1,   16.27,   -1.33,  -22.30,    1.83,   12.00,    1.82,    0.38,    2.04
 47,  14,  2, 1,   16.12,   -1.24,  -22.21,   -2.58,    4.60,    0.98,    0.36,    1.64
  4,  14,  3, 1,   16.36,   -2.13,  -22.48,    0.01,    6.25,    0.23,    0.44,    1.58
 66,  14,  4, 1,   15.73,   -2.15,  -22.22,  -20.54,   -4.99,   -2.09,    0.13,    4.05
 15,  14,  5, 1,   15.83,   -2.46,  -22.11,  -30.74,  -17.10,   -6.15,    0.12,    4.37
 81,  28,  6, 1,   16.94,   -1.08,  -22.31,   12.00,   20.00,    1.48,    0.25,    2.73
 45,  28,  7, 1,   15.73,   -1.37,  -21.86,  -20.94,  -19.40,   -3.88,    0.14,    3.18
 25,  28,  8, 1,   16.02,   -2.23,  -22.14,  -27.04,  -17.75,   -5.59,    0.34,    2.01
 65,  28,  9, 1,   15.77,   -1.33,  -21.82,  -24.54,  -11.99,   -5.38,    0.17,    2.29
  1,  28, 10, 1,   16.39,   -2.35,  -22.44,   -5.57,    6.90,   -1.08,    0.35,    2.27
 29,  56, 11, 1,   16.19,   -1.82,  -22.36,   -6.40,   -3.00,   -0.67,    0.20,    2.03
 60,  56, 12, 1,   15.92,   -1.78,  -22.10,  -21.42,  -12.40,   -3.56,    0.19,    2.19
 74,  56, 13, 1,   16.32,   -1.47,  -22.31,   -1.29,    9.25,    0.12,    0.53,    2.26
 37,  56, 14, 1,   15.86,   -1.78,  -22.08,  -20.61,   -5.99,   -3.39,    0.07,    2.33
 13,  56, 15, 1,   15.99,   -2.30,  -22.19,  -23.29,  -17.10,   -4.33,    0.46,    1.76
