# VP01   2013-02-20_13-56-42
# Elapsed time of measurement: 282 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 67,  14,  1, 1,   17.06,   -1.03,  -22.40,    7.61,   13.00,    0.95,    0.12,    1.96
 63,  14,  2, 1,   16.01,   -1.41,  -22.24,  -16.62,   -1.00,   -2.41,    0.20,    2.52
 80,  14,  3, 1,   16.35,   -1.11,  -22.21,  -12.05,    8.00,   -2.73,    0.21,    2.97
 95,  14,  4, 1,   15.89,   -1.33,  -22.09,  -21.46,    7.00,   -3.76,    0.13,    3.19
 96,  14,  5, 1,   16.16,   -1.03,  -22.20,  -12.52,   22.00,   -2.15,    0.17,    2.93
 50,  14,  6, 1,   16.08,   -1.32,  -22.24,  -12.06,   30.00,   -1.30,    0.15,    2.13
 26,  28,  7, 1,   16.16,   -1.66,  -22.36,  -14.97,   -9.00,   -2.17,    0.06,    2.20
 36,  28,  8, 1,   16.33,   -1.55,  -22.34,  -12.21,    2.00,   -2.43,    0.19,    2.80
 24,  28,  9, 1,   16.16,   -1.66,  -22.41,  -12.20,   12.00,   -1.05,    0.15,    2.81
 38,  28, 10, 1,   15.66,   -2.08,  -22.07,  -34.33,   -5.00,   -6.74,    0.12,    2.47
 23,  28, 11, 1,   15.75,   -2.30,  -22.27,  -30.34,   12.00,   -3.80,    0.18,    2.31
 90,  28, 12, 1,   16.03,   -1.62,  -22.21,  -19.54,   24.00,   -3.20,    0.13,    2.09
 59,  56, 13, 1,   16.31,   -1.36,  -22.31,  -10.03,   -6.00,   -1.40,    0.09,    2.54
 35,  56, 14, 1,   16.30,   -1.71,  -22.41,  -11.44,    1.00,   -1.85,    0.23,    2.18
 54,  56, 15, 1,   16.07,   -1.14,  -22.17,  -14.57,    9.00,   -2.34,    0.11,    1.77
 94,  56, 16, 1,   16.11,   -1.24,  -22.19,  -15.65,   15.00,   -2.85,    0.45,    1.70
 88,  56, 17, 1,   15.26,   -2.29,  -21.95,  -39.62,   -4.00,   -6.15,    0.16,    3.17
 72,  56, 18, 1,   15.69,   -1.89,  -22.05,  -33.99,   13.00,   -6.06,    0.24,    2.44
 47,   0, 19, 1,   16.32,   -1.18,  -22.28,   -7.45,   -5.70,   -0.76,    0.13,    1.83
 45,   0, 20, 1,   16.41,   -1.25,  -22.30,   -7.21,   -5.70,   -1.07,    0.12,    2.68
 21,  14,  1, 1,   16.92,   -1.60,  -22.60,    7.26,   13.00,    1.24,    0.11,    2.84
 87,  14,  2, 1,   16.54,   -0.96,  -22.22,  -11.19,   -1.00,   -3.25,    0.17,    5.04
 30,  14,  3, 1,   16.02,   -1.88,  -22.34,  -15.89,    8.00,   -1.76,    0.17,    3.21
  6,  14,  4, 1,   16.03,   -1.96,  -22.39,  -20.37,    7.00,   -3.24,    0.07,    2.31
 52,  14,  5, 1,   16.00,   -1.26,  -22.15,  -17.01,   22.00,   -2.85,    0.13,    2.28
 60,  14,  6, 1,   16.26,   -1.26,  -22.28,  -12.27,   30.00,   -2.03,    0.15,    7.61
 41,  28,  7, 1,   16.24,   -1.45,  -22.30,  -11.96,   -9.00,   -1.98,    0.11,    1.63
 40,  28,  8, 1,   16.19,   -1.57,  -22.29,  -12.07,    2.00,   -1.83,    0.33,    2.62
 76,  28,  9, 1,   16.18,   -1.27,  -22.30,   -8.31,   12.00,   -0.63,    0.21,    2.02
 81,  28, 10, 1,   15.62,   -2.01,  -22.01,  -38.30,   -5.00,   -7.71,    0.20,    2.31
 15,  28, 11, 1,   15.77,   -2.17,  -22.33,  -23.53,   12.00,   -2.69,    0.16,    4.63
 69,  28, 12, 1,   15.96,   -1.52,  -22.16,  -23.29,   24.00,   -4.14,    0.38,    2.04
 68,  56, 13, 1,   16.28,   -1.39,  -22.28,  -14.57,   -6.00,   -2.38,    0.13,    2.11
 44,  56, 14, 1,   16.22,   -1.51,  -22.35,   -9.73,    1.00,   -0.76,    0.17,    1.87
 46,  56, 15, 1,   16.03,   -1.29,  -22.21,  -13.92,    9.00,   -1.63,    0.04,    3.33
 93,  56, 16, 1,   16.31,   -1.09,  -22.21,  -11.35,   15.00,   -2.39,    0.12,    1.91
 58,  56, 17, 1,   15.37,   -2.35,  -21.98,  -42.22,   -4.00,   -7.06,    0.13,    2.97
 29,  56, 18, 1,   15.47,   -1.99,  -22.05,  -33.49,   13.00,   -5.80,    0.26,    2.44
 10,   0, 19, 1,   16.18,   -1.71,  -22.44,  -10.89,   -5.70,   -1.22,    0.03,    2.25
  1,   0, 20, 1,   16.37,   -1.71,  -22.43,  -12.59,   -5.70,   -2.16,    0.23,    2.54
 71,  14,  1, 1,   17.02,   -0.90,  -22.41,   10.38,   13.00,    2.03,    0.26,    2.23
 20,  14,  2, 1,   16.07,   -1.96,  -22.41,  -17.46,   -1.00,   -2.08,    0.10,    2.89
 43,  14,  3, 1,   16.02,   -1.75,  -22.31,  -16.48,    8.00,   -1.69,    0.11,    2.31
 78,  14,  4, 1,   15.82,   -1.63,  -22.15,  -24.36,    7.00,   -3.93,    0.09,    2.37
  5,  14,  5, 1,   15.98,   -1.99,  -22.33,  -22.07,   22.00,   -3.59,    0.34,    3.32
 66,  14,  6, 1,   16.38,   -1.19,  -22.26,  -11.65,   30.00,   -2.49,    0.05,    2.74
 53,  28,  7, 1,   16.06,   -1.22,  -22.16,  -16.12,   -9.00,   -2.84,    0.09,    3.11
 16,  28,  8, 1,   16.11,   -1.81,  -22.41,  -11.16,    2.00,   -0.95,    0.16,    2.06
  7,  28,  9, 1,   16.26,   -1.62,  -22.49,   -9.44,   12.00,   -1.11,    0.21,    2.67
 32,  28, 10, 1,   15.51,   -2.65,  -22.13,  -38.97,   -5.00,   -6.05,    0.25,    2.24
 14,  28, 11, 1,   15.89,   -2.06,  -22.28,  -26.81,   12.00,   -4.69,    0.17,    2.60
 34,  28, 12, 1,   15.93,   -1.77,  -22.29,  -19.97,   24.00,   -2.80,    0.15,    3.89
  2,  56, 13, 1,   16.15,   -1.54,  -22.37,  -11.44,   -6.00,   -0.90,    0.22,    6.95
 22,  56, 14, 1,   16.29,   -2.02,  -22.57,  -10.83,    1.00,   -0.90,    0.42,    2.82
