# VP02   2013-02-28_10-24-57
# Elapsed time of measurement: 281 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 28,  14,  1, 1,   19.49,    4.21,  -23.98,   22.39,   19.00,    0.67,    0.08,    3.19
 30,  14,  2, 1,   18.95,    4.68,  -23.83,   11.19, -152.00,    1.53,    0.45,    3.61
 16,  14,  3, 1,   18.46,    5.57,  -23.55,   -8.12, -167.57,   -0.51,    0.33,    7.10
 50,  14,  4, 1,   17.85,    4.48,  -23.90,  -20.95, -156.43,   -0.30,    0.22,    2.70
  3,  14,  5, 1,   16.88,    4.46,  -23.62,  -40.99, -216.04,   -3.21,    0.83,   15.39
 12,  28,  6, 1,   19.17,    4.94,  -23.83,   10.27,    0.00,    0.82,    0.56,    3.80
  8,  28,  7, 1,   18.98,    4.80,  -23.90,    8.88, -164.00,    1.38,    0.37,    3.76
 55,  28,  8, 1,   18.18,    4.53,  -23.97,  -11.40, -160.57,    0.74,    0.58,    2.93
 79,  28,  9, 1,   18.18,    3.92,  -23.91,  -14.55, -175.43,    0.32,    0.19,    2.94
 72,  28, 10, 1,   18.13,    4.05,  -23.96,  -12.17, -154.04,    1.25,    0.26,    2.03
 20,  56, 11, 1,   18.03,    5.53,  -23.56,  -15.63,  -11.00,   -0.93,    0.06,    2.42
 84,  56, 12, 1,   17.99,    3.73,  -24.05,  -17.60, -188.00,    0.60,    0.25,    2.33
 10,  56, 13, 1,   17.63,    4.44,  -23.82,  -28.61, -180.57,   -1.44,    0.42,    2.63
  4,  56, 14, 1,   19.24,    4.78,  -23.86,   18.85, -140.43,    2.07,    0.27,    2.45
 27,  56, 15, 1,   18.22,    4.72,  -23.84,  -14.10, -140.04,   -0.70,    0.11,    2.95
 76,   0, 16, 1,   18.38,    4.09,  -23.99,   -3.94,   -5.70,    1.10,    0.07,    2.12
  2,   0, 17, 1,   18.15,    4.83,  -23.79,  -12.31,   -5.70,    0.46,    0.11,    2.82
 62,  14,  1, 1,   19.12,    3.78,  -24.02,   21.50,   19.00,    1.35,    0.10,    3.12
 29,  14,  2, 1,   19.05,    4.48,  -23.94,   12.61, -152.00,    1.44,    0.22,    2.42
 26,  14,  3, 1,   18.01,    4.68,  -23.91,  -13.62, -167.57,    0.44,    0.60,    1.99
 73,  14,  4, 1,   17.89,    3.97,  -23.92,  -23.00, -156.43,   -0.24,    0.28,    2.06
 66,  14,  5, 1,   17.88,    4.17,  -23.69,  -33.26, -216.04,   -3.08,    0.51,    5.70
 53,  28,  6, 1,   18.57,    4.42,  -23.96,    1.12,    0.00,    1.36,    0.35,    2.88
 63,  28,  7, 1,   18.72,    3.93,  -23.93,    0.32, -164.00,    0.79,    0.61,    2.56
 44,  28,  8, 1,   18.28,    4.75,  -23.89,   -8.74, -160.57,    0.75,    0.32,    2.48
 36,  28,  9, 1,   17.95,    4.87,  -23.81,  -18.55, -175.43,   -0.43,    0.39,    2.07
 83,  28, 10, 1,   18.34,    3.82,  -24.03,   -2.63, -154.04,    1.59,    0.14,    1.94
 38,  56, 11, 1,   17.87,    4.67,  -23.79,  -20.08,  -11.00,   -0.20,    0.03,    2.28
 82,  56, 12, 1,   17.91,    3.76,  -23.96,  -21.95, -188.00,    0.05,    0.17,    2.27
 23,  56, 13, 1,   17.97,    4.47,  -23.77,  -19.42, -180.57,   -0.68,    0.42,    5.88
 45,  56, 14, 1,   18.99,    4.75,  -23.79,    7.45, -140.43,    0.89,    0.46,    2.94
 21,  56, 15, 1,   18.19,    5.62,  -23.58,  -12.46, -140.04,   -0.81,    0.17,    4.68
 18,   0, 16, 1,   18.34,    5.62,  -23.58,   -9.29,   -5.70,   -0.43,    0.05,    1.58
  9,   0, 17, 1,   18.74,    4.88,  -23.88,    0.29,   -5.70,    0.80,    0.16,    3.52
  1,  14,  1, 1,   19.49,    4.35,  -23.85,   23.46,   19.00,    0.89,    0.24,    3.03
 58,  14,  2, 1,   18.26,    4.24,  -24.11,   -5.98, -152.00,    1.64,    0.38,    2.85
 81,  14,  3, 1,   18.19,    3.93,  -24.08,   -7.46, -167.57,    1.46,    0.40,    2.44
 13,  14,  4, 1,   18.13,    4.99,  -23.63,  -14.33, -156.43,   -0.47,    0.33,    3.68
 47,  14,  5, 1,   17.05,    4.17,  -23.62,  -48.72, -216.04,   -5.61,    1.75,    2.98
 48,  28,  6, 1,   18.88,    4.69,  -23.72,    2.48,    0.00,   -0.21,    0.28,    3.69
 43,  28,  7, 1,   19.02,    4.79,  -23.76,    9.07, -164.00,    0.98,    0.34,    3.78
 19,  28,  8, 1,   18.68,    5.72,  -23.54,   -0.66, -160.57,    0.12,    0.64,    6.71
 46,  28,  9, 1,   18.01,    4.60,  -23.79,  -16.05, -175.43,   -0.08,    0.30,    3.96
 80,  28, 10, 1,   18.43,    4.00,  -23.97,   -3.53, -154.04,    1.18,    0.33,    2.74
 25,  56, 11, 1,   17.93,    4.61,  -23.82,  -20.89,  -11.00,   -0.74,    0.09,    2.43
 65,  56, 12, 1,   17.99,    4.27,  -23.85,  -23.76, -188.00,   -1.19,    0.41,    2.91
