# VP03   2013-02-26_14-01-25
# Elapsed time of measurement: 266 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 83,  14,  1, 1,   19.50,   -2.20,  -19.01,   12.68,   12.00,   -0.20,    0.06,    1.56
 76,  14,  2, 1,   19.29,   -2.22,  -18.94,    3.76,    4.60,   -0.36,    0.07,    3.50
 42,  14,  3, 1,   19.16,   -2.38,  -18.95,    1.55,    2.25,   -0.20,    0.04,    3.33
 19,  14,  4, 1,   19.12,   -2.63,  -18.92,   -6.68,   -5.99,   -1.50,    0.13,    3.52
 34,  14,  5, 1,   18.94,   -2.56,  -18.82,  -15.65,  -15.10,   -1.68,    0.10,    2.55
 10,  28,  6, 1,   19.42,   -2.61,  -19.13,   17.94,   20.00,    0.02,    0.04,    1.81
 53,  28,  7, 1,   18.89,   -2.65,  -18.83,  -12.12,  -11.40,   -0.60,    0.11,    3.07
 12,  28,  8, 1,   19.01,   -2.71,  -18.79,  -18.03,  -18.75,   -2.03,    0.07,    3.52
 70,  28,  9, 1,   18.91,   -2.57,  -18.80,  -12.96,  -12.99,   -0.54,    0.12,    3.63
 73,  28, 10, 1,   19.42,   -2.32,  -19.01,    7.17,    6.90,   -0.53,    0.05,    3.34
 37,  56, 11, 1,   19.10,   -2.34,  -18.89,   -2.16,   -3.00,   -0.58,    0.03,    3.06
 71,  56, 12, 1,   19.13,   -2.48,  -18.92,   -4.58,   -4.40,   -0.61,    0.10,    3.16
 21,  56, 13, 1,   19.25,   -2.40,  -19.02,    6.71,    8.25,   -0.14,    0.06,    4.12
 15,  56, 14, 1,   19.04,   -2.59,  -18.89,   -7.44,   -7.99,   -0.87,    0.05,    3.35
 36,  56, 15, 1,   18.86,   -2.70,  -18.76,  -18.13,  -20.10,   -1.51,    0.11,    3.46
  2,   0, 16, 1,   19.03,   -2.82,  -18.94,   -5.59,   -5.70,   -0.45,    0.07,    2.87
 41,   0, 17, 1,   18.94,   -2.47,  -18.86,   -7.15,   -5.70,   -0.33,    0.09,    2.66
 78,  14,  1, 1,   19.45,   -2.10,  -19.00,   11.48,   12.00,    0.14,    0.04,    3.65
 64,  14,  2, 1,   19.17,   -2.40,  -18.97,    3.37,    4.60,    0.15,    0.10,    3.60
 39,  14,  3, 1,   19.18,   -2.30,  -18.94,    3.48,    2.25,   -0.09,    0.10,    3.07
 35,  14,  4, 1,   19.01,   -2.44,  -18.89,   -5.90,   -5.99,   -0.56,    0.08,    2.79
 48,  14,  5, 1,   18.85,   -2.75,  -18.76,  -17.62,  -15.10,   -1.14,    0.11,    1.63
 69,  28,  6, 1,   19.65,   -2.13,  -19.06,   18.45,   20.00,   -0.10,    0.11,    3.20
 16,  28,  7, 1,   18.99,   -2.70,  -18.88,  -11.86,  -11.40,   -1.24,    0.18,    2.72
 33,  28,  8, 1,   18.90,   -2.61,  -18.75,  -19.12,  -18.75,   -2.06,    0.06,    6.56
 57,  28,  9, 1,   18.83,   -2.69,  -18.76,  -14.58,  -12.99,   -0.64,    0.08,    2.79
 23,  28, 10, 1,   19.31,   -2.27,  -18.97,    6.62,    6.90,   -0.40,    0.06,    3.80
 38,  56, 11, 1,   19.08,   -2.38,  -18.90,   -2.39,   -3.00,   -0.47,    0.06,    1.67
 27,  56, 12, 1,   18.91,   -2.30,  -18.87,   -3.47,   -4.40,    0.43,    0.07,    1.74
 81,  56, 13, 1,   19.43,   -2.24,  -19.00,   10.10,    8.25,   -0.25,    0.07,    3.08
 52,  56, 14, 1,   18.97,   -2.61,  -18.87,   -8.09,   -7.99,   -0.48,    0.13,    3.54
 72,  56, 15, 1,   18.90,   -2.61,  -18.72,  -18.93,  -20.10,   -1.58,    0.07,    3.04
 30,   0, 16, 1,   19.02,   -2.55,  -18.92,   -5.21,   -5.70,   -0.58,    0.08,    3.38
 67,   0, 17, 1,   19.02,   -2.51,  -18.88,   -5.61,   -5.70,   -0.34,    0.05,    3.91
 25,  14,  1, 1,   19.51,   -2.14,  -19.02,   13.44,   12.00,   -0.39,    0.05,    3.39
 51,  14,  2, 1,   19.18,   -2.55,  -18.98,    2.81,    4.60,   -0.19,    0.05,    1.77
 44,  14,  3, 1,   19.20,   -2.41,  -18.95,    1.98,    2.25,   -0.37,    0.03,    1.49
