# VP03   2013-02-21_14-55-35
# Elapsed time of measurement: 229 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 41,  14,  1, 1,   15.88,   -4.37,  -18.74,   14.28,   12.00,    3.29,    0.11,    3.36
 10,  14,  2, 1,   15.94,   -4.62,  -18.77,   10.60,    7.00,    2.34,    0.09,    2.59
 61,  14,  3, 1,   16.08,   -4.29,  -18.75,   13.59,    9.00,    2.02,    0.11,    2.83
 67,  14,  4, 1,   15.94,   -4.53,  -18.70,    1.04,    2.00,    1.10,    0.05,    1.88
 53,  14,  5, 1,   15.88,   -4.59,  -18.65,   -4.32,   -7.00,    0.92,    0.10,    3.10
 52,  28,  6, 1,   16.14,   -4.36,  -18.79,   19.38,   20.00,    2.34,    0.06,    2.69
 27,  28,  7, 1,   15.77,   -4.50,  -18.54,  -11.93,  -18.00,    0.37,    0.08,    2.94
 26,  28,  8, 1,   15.76,   -4.48,  -18.61,   -6.23,  -13.00,    1.41,    0.05,    3.11
 11,  28,  9, 1,   15.86,   -4.60,  -18.71,    1.98,   -5.00,    2.02,    0.11,    2.47
 48,  28, 10, 1,   15.98,   -4.29,  -18.76,   17.58,   16.00,    3.36,    0.09,    2.76
 30,  56, 11, 1,   15.88,   -4.51,  -18.68,    2.06,   -3.00,    1.78,    0.09,    2.76
 17,  56, 12, 1,   15.80,   -4.74,  -18.66,   -4.20,  -10.00,    1.57,    0.06,    1.44
 77,  56, 13, 1,   16.20,   -4.52,  -18.77,   17.25,   13.00,    1.32,    0.11,    2.51
 25,  56, 14, 1,   15.89,   -4.45,  -18.70,    4.60,    1.00,    2.12,    0.04,    2.78
 81,  56, 15, 1,   15.95,   -4.47,  -18.65,   -1.59,   -9.00,    0.75,    0.16,    2.94
 72,   0, 16, 1,   15.96,   -4.54,  -18.66,   -2.37,   -5.70,    0.67,    0.07,    2.35
 37,   0, 17, 1,   15.84,   -4.32,  -18.62,   -1.28,   -5.70,    1.65,    0.05,    4.12
 50,  14,  1, 1,   16.00,   -4.30,  -18.76,   16.48,   12.00,    3.12,    0.10,    2.42
 42,  14,  2, 1,   15.76,   -4.38,  -18.70,    8.23,    7.00,    3.45,    0.08,    2.78
 43,  14,  3, 1,   15.92,   -4.26,  -18.74,   15.40,    9.00,    3.49,    0.08,    2.95
 83,  14,  4, 1,   15.85,   -4.50,  -18.71,    4.81,    2.00,    2.35,    0.05,    2.95
 84,  14,  5, 1,   15.79,   -4.56,  -18.65,   -1.98,   -7.00,    1.78,    0.08,    2.76
 57,  28,  6, 1,   16.16,   -4.41,  -18.80,   22.28,   20.00,    2.13,    0.07,    3.03
 13,  28,  7, 1,   15.88,   -4.72,  -18.64,   -9.79,  -18.00,    0.24,    0.14,    2.86
 64,  28,  8, 1,   15.96,   -4.37,  -18.59,   -8.30,  -13.00,   -0.42,    0.09,    2.79
 76,  28,  9, 1,   16.00,   -4.40,  -18.68,    2.60,   -5.00,    1.06,    0.07,    2.98
 22,  28, 10, 1,   16.00,   -4.58,  -18.78,   14.60,   16.00,    2.36,    0.04,    2.38
 49,  56, 11, 1,   15.79,   -4.31,  -18.65,    3.28,   -3.00,    2.94,    0.16,    2.56
