# VP03   2013-02-26_14-14-32
# Elapsed time of measurement: 272 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
  2,  14,  1, 1,   19.44,   -3.60,  -19.07,   15.97,   19.00,   -0.24,    0.06,    1.53
 35,  14,  2, 1,   19.52,   -3.74,  -19.05,   14.75,    5.87,   -1.25,    0.08,    3.30
  3,  14,  3, 1,   19.43,   -3.57,  -18.88,   -5.74,  -13.95,   -1.52,    0.07,    5.77
 29,  14,  4, 1,   19.29,   -4.06,  -18.81,  -14.85,  -10.20,   -1.54,    0.08,    4.00
 16,  14,  5, 1,   19.43,   -3.89,  -18.72,  -23.11,  -26.75,   -3.17,    0.13,    3.69
  6,  28,  6, 1,   19.55,   -3.46,  -18.99,    2.26,    0.00,   -1.79,    0.12,    1.52
 43,  28,  7, 1,   19.28,   -3.83,  -18.90,   -1.35,   -1.13,   -0.51,    0.09,    3.75
 18,  28,  8, 1,   19.45,   -3.96,  -18.92,   -6.09,   -5.95,   -1.74,    0.11,    2.07
 82,  28,  9, 1,   19.08,   -3.59,  -18.61,  -19.68,  -24.20,   -1.40,    0.14,    3.42
 11,  28, 10, 1,   19.41,   -3.69,  -18.75,  -17.85,  -20.75,   -3.13,    0.17,    3.54
 51,  56, 11, 1,   19.06,   -3.64,  -18.74,  -11.99,  -11.00,   -0.23,    0.10,    3.15
 36,  56, 12, 1,   19.16,   -4.06,  -18.68,  -22.06,  -25.13,   -1.16,    0.04,    4.03
 22,  56, 13, 1,   19.28,   -4.03,  -18.67,  -25.31,  -25.95,   -2.44,    0.07,    2.98
 68,  56, 14, 1,   19.50,   -3.42,  -18.93,    6.36,    7.80,   -0.74,    0.16,    2.84
 17,  56, 15, 1,   19.47,   -3.85,  -18.91,   -6.87,   -5.75,   -1.98,    0.07,    3.59
 65,   0, 16, 1,   19.38,   -3.58,  -18.91,   -1.27,   -5.70,   -1.00,    0.05,    2.27
 12,   0, 17, 1,   19.51,   -3.61,  -18.90,   -5.81,   -5.70,   -2.42,    0.07,    3.55
 60,  14,  1, 1,   19.65,   -3.56,  -19.05,   16.93,   19.00,   -1.18,    0.09,    3.34
 14,  14,  2, 1,   19.58,   -3.66,  -19.06,   12.35,    5.87,   -1.25,    0.05,    1.44
 71,  14,  3, 1,   19.32,   -3.43,  -18.76,  -10.27,  -13.95,   -1.66,    0.09,    3.14
 58,  14,  4, 1,   19.17,   -3.68,  -18.69,  -17.03,  -10.20,   -1.60,    0.02,    3.28
 45,  14,  5, 1,   19.11,   -3.97,  -18.62,  -27.47,  -26.75,   -1.81,    0.05,    3.25
 46,  28,  6, 1,   19.26,   -3.86,  -18.96,    1.92,    0.00,   -0.10,    0.19,    4.93
 37,  28,  7, 1,   19.30,   -3.91,  -18.92,   -1.17,   -1.13,   -0.52,    0.07,    2.90
 49,  28,  8, 1,   19.14,   -3.56,  -18.80,   -8.14,   -5.95,   -0.26,    0.07,    5.12
 34,  28,  9, 1,   19.09,   -3.97,  -18.72,  -19.33,  -24.20,   -0.94,    0.09,    3.05
 80,  28, 10, 1,   19.15,   -3.42,  -18.64,  -16.80,  -20.75,   -1.62,    0.07,    3.42
 64,  56, 11, 1,   19.42,   -3.75,  -18.81,   -8.89,  -11.00,   -1.76,    0.12,    2.41
 25,  56, 12, 1,   19.06,   -4.18,  -18.66,  -25.97,  -25.13,   -1.19,    0.11,    3.95
 26,  56, 13, 1,   19.14,   -4.04,  -18.63,  -25.92,  -25.95,   -1.97,    0.03,    3.04
 32,  56, 14, 1,   19.44,   -3.67,  -19.00,    6.11,    7.80,   -1.16,    0.14,    3.72
 40,  56, 15, 1,   19.26,   -3.83,  -18.84,   -6.39,   -5.75,   -0.57,    0.07,    2.59
 50,   0, 16, 1,   19.21,   -3.53,  -18.81,   -3.93,   -5.70,   -0.29,    0.09,    2.67
  8,   0, 17, 1,   19.60,   -3.45,  -18.89,   -5.26,   -5.70,   -2.76,    0.09,    3.49
  1,  14,  1, 1,   19.49,   -3.56,  -19.06,   16.06,   19.00,   -0.38,    0.13,    3.91
 13,  14,  2, 1,   19.56,   -3.68,  -19.06,   12.10,    5.87,   -1.36,    0.10,    4.34
 66,  14,  3, 1,   19.18,   -3.55,  -18.76,  -10.35,  -13.95,   -0.59,    0.16,    2.38
 67,  14,  4, 1,   19.13,   -3.64,  -18.64,  -17.38,  -10.20,   -1.08,    0.08,    2.72
 59,  14,  5, 1,   19.23,   -3.74,  -18.60,  -25.94,  -26.75,   -3.04,    0.07,    3.10
 19,  28,  6, 1,   19.33,   -3.95,  -18.99,    1.07,    0.00,   -0.57,    0.12,    2.60
 57,  28,  7, 1,   19.51,   -3.42,  -18.92,    4.11,   -1.13,   -1.32,    0.02,    1.39
 69,  28,  8, 1,   19.19,   -3.42,  -18.82,   -3.61,   -5.95,    0.22,    0.19,    2.57
 78,  28,  9, 1,   19.21,   -3.74,  -18.66,  -19.59,  -24.20,   -1.84,    0.12,    1.39
 24,  28, 10, 1,   19.21,   -3.95,  -18.70,  -19.55,  -20.75,   -1.62,    0.12,    2.57
 21,  56, 11, 1,   19.28,   -4.03,  -18.79,  -13.35,  -11.00,   -1.14,    0.24,    2.84
 63,  56, 12, 1,   19.23,   -3.79,  -18.64,  -23.22,  -25.13,   -2.35,    0.05,    3.18
 76,  56, 13, 1,   18.86,   -3.67,  -18.51,  -26.24,  -25.95,   -0.96,    0.10,    3.64
 44,  56, 14, 1,   19.30,   -3.76,  -18.99,    8.62,    7.80,   -0.02,    0.18,    2.98
 72,  56, 15, 1,   19.41,   -3.32,  -18.83,   -4.71,   -5.75,   -1.56,    0.09,    2.77
 83,   0, 16, 1,   19.38,   -3.25,  -18.84,   -1.88,   -5.70,   -0.77,    0.06,    2.64
 33,   0, 17, 1,   19.33,   -3.75,  -18.92,   -3.65,   -5.70,   -0.92,    0.08,    2.56
 30,  14,  1, 1,   19.46,   -3.91,  -19.10,   20.42,   19.00,   -0.91,    0.14,    3.18
 53,  14,  2, 1,   19.49,   -3.23,  -18.96,   13.14,    5.87,    0.11,    0.11,    3.10
 23,  14,  3, 1,   19.36,   -3.90,  -18.82,  -11.36,  -13.95,   -1.91,    0.24,    2.57
 39,  14,  4, 1,   19.02,   -4.04,  -18.71,  -18.28,  -10.20,   -0.04,    0.11,    2.81
 70,  14,  5, 1,   19.10,   -3.58,  -18.57,  -23.87,  -26.75,   -2.28,    0.05,    3.21
 41,  28,  6, 1,   19.31,   -3.76,  -18.94,    1.89,    0.00,   -0.22,    0.07,    3.19
 52,  28,  7, 1,   19.29,   -3.39,  -18.88,    1.42,   -1.13,   -0.11,    0.06,    3.00
 84,  28,  8, 1,   19.32,   -3.27,  -18.79,   -4.96,   -5.95,   -0.85,    0.13,    2.53
 77,  28,  9, 1,   19.18,   -3.69,  -18.61,  -19.87,  -24.20,   -1.91,    0.13,    3.64
  9,  28, 10, 1,   19.34,   -3.70,  -18.70,  -21.23,  -20.75,   -2.82,    0.08,    3.43
 27,  56, 11, 1,   19.35,   -3.75,  -18.85,   -7.73,  -11.00,   -1.73,    0.24,    2.94
  7,  56, 12, 1,   19.44,   -3.57,  -18.72,  -21.48,  -25.13,   -3.62,    0.14,    4.34
 47,  56, 13, 1,   19.19,   -4.02,  -18.65,  -21.71,  -25.95,   -1.26,    0.13,    3.78
 15,  56, 14, 1,   19.50,   -3.75,  -19.03,    9.12,    7.80,   -0.99,    0.07,    3.26
 28,  56, 15, 1,   19.37,   -3.82,  -18.92,   -1.88,   -5.75,   -1.31,    0.11,    3.96
 79,   0, 16, 1,   19.39,   -3.40,  -18.83,   -3.72,   -5.70,   -1.27,    0.02,    3.33
 38,   0, 17, 1,   19.19,   -3.90,  -18.87,   -5.90,   -5.70,   -0.22,    0.07,    2.47
 81,  14,  1, 1,   19.56,   -3.18,  -18.96,   15.32,   19.00,   -0.08,    0.08,    3.70
 74,  14,  2, 1,   19.51,   -3.28,  -19.05,   16.93,    5.87,    0.06,    0.16,    3.90
 20,  14,  3, 1,   19.27,   -4.01,  -18.87,   -9.45,  -13.95,   -0.74,    0.09,    3.01
 62,  14,  4, 1,   19.26,   -3.67,  -18.69,  -17.05,  -10.20,   -1.87,    0.06,    3.12
 42,  14,  5, 1,   19.10,   -4.12,  -18.63,  -25.51,  -26.75,   -1.26,    0.08,    3.36
  5,  28,  6, 1,   19.53,   -3.47,  -18.97,    2.13,    0.00,   -1.76,    0.12,    3.25
 56,  28,  7, 1,   19.47,   -3.36,  -18.91,    3.81,   -1.13,   -1.11,    0.09,    2.71
 75,  28,  8, 1,   19.05,   -3.30,  -18.82,   -0.73,   -5.95,    1.57,    0.11,    3.55
 85,  28,  9, 1,   19.16,   -3.57,  -18.61,  -18.81,  -24.20,   -1.77,    0.12,    3.10
  4,  28, 10, 1,   19.45,   -3.55,  -18.75,  -17.56,  -20.75,   -3.18,    0.10,    3.97
 55,  56, 11, 1,   19.35,   -3.39,  -18.77,   -7.77,  -11.00,   -1.71,    0.21,    2.45
 31,  56, 12, 1,   19.39,   -3.95,  -18.71,  -23.50,  -25.13,   -2.94,    0.12,    3.93
 54,  56, 13, 1,   19.14,   -3.48,  -18.59,  -23.11,  -25.95,   -2.88,    0.08,    3.98
 10,  56, 14, 1,   19.55,   -3.53,  -19.00,    5.21,    7.80,   -1.31,    0.14,    3.91
 48,  56, 15, 1,   19.37,   -3.61,  -18.91,    0.25,   -5.75,   -0.75,    0.11,    3.04
 73,   0, 16, 1,   19.43,   -3.28,  -18.84,   -3.00,   -5.70,   -1.44,    0.05,    2.57
 61,   0, 17, 1,   19.31,   -3.56,  -18.84,   -3.84,   -5.70,   -0.27,    0.07,    3.67
