# VP04   2013-02-22_16-09-41
# Elapsed time of measurement: 174 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 75,  14,  1, 1,   18.25,   -5.20,  -19.97,    6.74,   12.00,   -0.67,    0.29,    1.73
 68,  14,  2, 1,   18.29,   -5.58,  -19.99,    6.91,  -14.31,   -1.33,    0.20,    2.11
 66,  14,  3, 1,   18.22,   -5.41,  -19.91,   -0.62,  -25.80,   -1.23,    0.21,    1.93
 51,  14,  4, 1,   18.17,   -5.56,  -19.90,   -6.93,  -40.96,   -1.78,    0.33,    2.92
 28,  14,  5, 1,   18.04,   -5.59,  -19.66,  -22.56,  -52.66,   -2.73,    0.23,    2.00
 58,  28,  6, 1,   18.09,   -5.62,  -19.99,   11.95,   20.00,   -0.10,    0.23,    2.10
 50,  28,  7, 1,   18.25,   -5.89,  -19.68,  -21.91,  -33.31,   -3.51,    0.05,    2.27
 83,  28,  8, 1,   18.31,   -5.77,  -19.76,  -12.91,  -34.80,   -2.61,    0.29,    2.08
 16,  28,  9, 1,   18.23,   -5.24,  -19.77,  -14.05,  -35.96,   -2.73,    0.16,    1.61
  3,  28, 10, 1,   18.23,   -5.26,  -19.96,    5.70,  -12.66,   -1.36,    0.90,    1.68
 24,  56, 11, 1,   18.24,   -5.30,  -19.85,   -9.63,   -3.00,   -2.01,    0.51,    1.88
  7,  56, 12, 1,   18.17,   -5.56,  -19.87,   -8.66,  -13.31,   -2.03,    0.11,    2.02
 77,  56, 13, 1,   18.24,   -5.36,  -19.96,    4.24,    2.20,   -1.01,    0.21,    2.02
 10,  56, 14, 1,   18.34,   -5.33,  -19.87,   -8.20,  -14.96,   -2.53,    0.21,    1.85
 14,  56, 15, 1,   18.33,   -5.07,  -19.80,  -11.97,  -21.66,   -3.27,    0.62,    4.80
 46,   0, 16, 1,   18.31,   -5.70,  -19.89,   -5.47,   -5.70,   -2.14,    0.08,    1.85
 79,   0, 17, 1,   18.37,   -5.67,  -19.86,   -8.06,   -5.70,   -2.67,    0.19,    2.23
 84,  14,  1, 1,   18.20,   -5.71,  -19.96,    3.49,   12.00,   -1.02,    0.21,    1.85
