# VP04   2013-02-21_16-27-11
# Elapsed time of measurement: 239 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 88,  14,  1, 1,   18.25,    0.70,  -21.72,   15.39,   13.00,   -0.47,    0.05,    2.43
 46,  14,  2, 1,   17.53,    0.14,  -21.78,   -5.68,  -12.71,    0.94,    0.13,    2.36
 23,  14,  3, 1,   17.78,    0.25,  -21.71,   -8.10,   -7.31,   -0.77,    0.10,    2.52
 87,  14,  4, 1,   17.65,    0.28,  -21.73,  -14.44,  -16.70,   -1.18,    0.09,    2.35
 72,  14,  5, 1,   17.65,    0.11,  -21.77,   -8.87,   -5.80,   -0.14,    0.03,    2.24
 58,  14,  6, 1,   17.65,    0.13,  -21.80,   -4.39,   -6.57,    0.43,    0.03,    2.24
  9,  28,  7, 1,   17.69,    0.27,  -21.73,   -8.41,   -9.00,   -0.26,    0.08,    1.96
 99,  28,  8, 1,   17.85,    0.29,  -21.81,   -2.11,   -4.71,   -0.48,    0.08,    2.16
 34,  28,  9, 1,   17.68,    0.24,  -21.77,   -6.40,   -1.31,   -0.09,    0.10,    2.45
  7,  28, 10, 1,   17.47,   -0.35,  -21.62,  -29.20,  -27.70,   -1.38,    0.07,    2.40
 31,  28, 11, 1,   17.54,    0.26,  -21.65,  -13.70,  -16.80,   -0.54,    0.18,    2.63
 95,  28, 12, 1,   17.65,    0.15,  -21.76,  -10.32,  -12.57,   -0.34,    0.15,    2.75
 96,  56, 13, 1,   17.77,    0.18,  -21.78,   -6.89,   -6.00,   -0.57,    0.12,    2.26
 28,  56, 14, 1,   17.75,    0.34,  -21.77,   -7.11,   -6.71,   -0.57,    0.28,    2.49
 47,  56, 15, 1,   17.69,    0.21,  -21.77,   -2.96,   -4.31,    0.39,    0.18,    2.48
  8,  56, 16, 1,   17.74,    0.34,  -21.74,   -7.45,   -6.70,   -0.57,    0.32,    2.15
 35,  56, 17, 1,   17.35,   -0.13,  -21.61,  -29.60,  -30.80,   -2.09,    0.06,    2.45
 67,  56, 18, 1,   17.47,    0.18,  -21.70,  -17.28,  -22.57,   -0.55,    0.16,    2.04
 83,   0, 19, 1,   17.79,    0.34,  -21.78,   -4.79,   -5.70,   -0.57,    0.09,    2.43
 36,   0, 20, 1,   17.73,    0.15,  -21.78,   -7.64,   -5.70,   -0.57,    0.19,    2.32
 97,  14,  1, 1,   18.09,    0.44,  -21.77,   13.24,   13.00,   -0.25,    0.16,    2.45
 76,  14,  2, 1,   17.71,    0.27,  -21.75,   -9.73,  -12.71,   -0.68,    0.05,    2.27
 90,  14,  3, 1,   17.87,    0.50,  -21.76,   -5.87,   -7.31,   -0.95,    0.11,    2.51
 79,  14,  4, 1,   17.63,    0.12,  -21.68,  -17.44,  -16.70,   -1.47,    0.14,    2.64
