# VP05   2013-02-22_10-16-19
# Elapsed time of measurement: 512 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 51,  14,  1, 1,   20.93,   -3.00,  -20.14,   26.78,   12.00,    1.11,    0.45,    5.84
 10,  14,  2, 1,   20.39,   -2.79,  -20.18,    4.13,    9.00,    0.37,    0.21,    5.46
 65,  14,  3, 1,   20.37,   -3.15,  -20.16,   15.71,   15.00,    1.92,    0.16,    4.80
 16,  14,  4, 1,   19.96,   -2.64,  -20.04,  -15.86,    9.00,   -1.45,    0.20,    3.07
 40,  14,  5, 1,   19.57,   -3.23,  -19.99,  -24.57,    4.00,   -1.25,    0.20,    9.39
 69,  28,  6, 1,   20.29,   -3.45,  -20.23,   24.87,   20.00,    1.70,    0.14,    4.81
  8,  28,  7, 1,   19.86,   -2.79,  -20.01,  -16.55,  -15.00,   -1.21,    0.12,    4.33
 11,  28,  8, 1,   19.50,   -3.01,  -19.94,  -27.95,   -9.00,   -1.46,    0.14,    4.99
 33,  28,  9, 1,   19.64,   -2.90,  -19.98,  -22.90,    1.00,   -1.18,    0.21,    7.76
 57,  28, 10, 1,   20.33,   -2.78,  -20.10,    3.87,   25.00,    0.13,    0.23,    4.66
  5,  56, 11, 1,   20.07,   -2.67,  -20.04,   -5.29,   -3.00,    0.20,    0.23,    3.96
 34,  56, 12, 1,   20.11,   -2.57,  -20.00,   -6.38,   -8.00,   -0.39,    0.33,    5.59
 36,  56, 13, 1,   20.57,   -2.84,  -20.14,   13.52,   18.00,    0.85,    0.41,    3.53
 41,  56, 14, 1,   20.13,   -2.83,  -20.12,    4.33,    7.00,    1.55,    0.28,    4.06
 64,  56, 15, 1,   19.71,   -3.30,  -20.01,  -27.88,    0.00,   -2.47,    0.19,    5.67
 70,   0, 16, 1,   19.74,   -3.06,  -20.08,   -1.39,   -5.70,    1.34,    0.19,    5.57
 19,   0, 17, 1,   20.17,   -2.69,  -20.09,   -8.67,   -5.70,   -1.09,    0.08,    5.75
 30,  14,  1, 1,   20.57,   -2.83,  -20.18,   18.79,   12.00,    1.84,    0.37,    4.52
 39,  14,  2, 1,   20.15,   -3.29,  -20.19,    0.90,    9.00,    0.94,    0.18,    7.41
 26,  14,  3, 1,   20.42,   -2.65,  -20.06,    7.97,   15.00,    1.05,    0.19,   10.17
 56,  14,  4, 1,   20.30,   -2.80,  -20.11,    7.67,    9.00,    0.86,    0.16,    5.02
 38,  14,  5, 1,   20.42,   -3.07,  -20.21,   14.20,    4.00,    1.16,    0.17,    8.73
 49,  28,  6, 1,   20.95,   -3.47,  -20.22,   27.68,   20.00,    0.39,    0.38,    4.42
 81,  28,  7, 1,   19.47,   -3.08,  -20.00,  -17.03,  -15.00,   -0.42,    0.24,    3.91
 43,  28,  8, 1,   19.95,   -2.81,  -20.09,   -7.28,   -9.00,   -0.16,    0.38,    6.03
 53,  28,  9, 1,   19.63,   -3.07,  -19.95,  -24.86,    1.00,   -1.34,    0.11,    3.91
 85,  28, 10, 1,   20.25,   -3.31,  -20.22,   12.06,   25.00,    0.96,    0.23,    3.15
 79,  56, 11, 1,   19.71,   -3.22,  -20.05,   -9.00,   -3.00,    0.35,    0.26,    3.87
 20,  56, 12, 1,   19.97,   -2.66,  -19.99,  -16.97,   -8.00,   -1.87,    0.35,   11.79
 73,  56, 13, 1,   20.35,   -2.95,  -20.11,   19.36,   18.00,    1.26,    0.34,    4.67
 76,  56, 14, 1,   19.45,   -2.89,  -19.95,  -14.70,    7.00,    0.01,    0.11,    8.42
  3,  56, 15, 1,   19.70,   -2.93,  -20.00,  -18.58,    0.00,   -0.57,    0.21,    4.09
 46,   0, 16, 1,   20.00,   -2.89,  -20.10,   -3.22,   -5.70,    0.91,    0.16,    6.59
 48,   0, 17, 1,   20.25,   -2.79,  -20.12,    0.52,   -5.70,    0.37,    0.06,    7.57
 78,  14,  1, 1,   19.96,   -3.30,  -20.13,   11.02,   12.00,    2.26,    0.23,    5.09
 31,  14,  2, 1,   20.28,   -2.83,  -20.11,    8.34,    9.00,    1.71,    0.33,    6.98
 60,  14,  3, 1,   20.45,   -2.86,  -20.14,    6.00,   15.00,    0.24,    0.10,    4.31
 15,  14,  4, 1,   20.17,   -2.60,  -20.04,   -7.20,    9.00,   -1.00,    0.20,    4.10
 12,  14,  5, 1,   19.54,   -2.96,  -19.96,  -26.77,    4.00,   -1.64,    0.12,   14.03
  2,  28,  6, 1,   20.71,   -2.97,  -20.18,   23.86,   20.00,    1.73,    0.50,    2.97
 14,  28,  7, 1,   19.81,   -2.91,  -19.96,  -28.80,  -15.00,   -3.41,    0.07,    5.27
 18,  28,  8, 1,   19.86,   -2.69,  -20.00,  -19.01,   -9.00,   -1.99,    0.32,    5.81
 63,  28,  9, 1,   19.84,   -3.40,  -20.04,  -22.50,    1.00,   -1.78,    0.24,    4.61
 62,  28, 10, 1,   20.07,   -3.09,  -20.17,    1.75,   25.00,    1.67,    0.10,   10.26
 23,  56, 11, 1,   20.50,   -2.57,  -20.10,    3.28,   -3.00,   -0.55,    0.07,    3.32
 28,  56, 12, 1,   19.79,   -2.87,  -20.03,  -17.82,   -8.00,   -0.91,    0.13,    5.22
 25,  56, 13, 1,   20.43,   -2.59,  -20.10,    7.38,   18.00,    0.84,    0.29,    4.66
 66,  56, 14, 1,   19.89,   -3.25,  -20.11,  -15.21,    7.00,   -0.31,    0.19,    4.69
 27,  56, 15, 1,   19.67,   -3.01,  -20.08,  -22.35,    0.00,   -0.85,    0.09,    4.78
  6,   0, 16, 1,   19.94,   -2.79,  -20.04,  -11.61,   -5.70,   -0.37,    0.08,    3.70
