# VP08   2013-02-25_13-03-38
# Elapsed time of measurement: 198 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 30,  14,  1, 1,   19.18,   -3.76,  -20.27,    8.99,   19.00,    0.84,    0.26,    2.27
 70,  14,  2, 1,   18.54,   -3.28,  -20.59,    1.26,   13.87,    1.34,    0.22,    1.99
  3,  14,  3, 1,   18.52,   -4.91,  -19.94,  -24.53,   -4.95,   -4.12,    0.33,    3.14
 41,  14,  4, 1,   18.56,   -4.41,  -20.09,   -7.43,   -6.20,    0.50,    0.44,    1.94
 71,  14,  5, 1,   18.30,   -3.29,  -20.29,  -13.80,   -1.75,   -0.65,    0.12,    3.26
 22,  28,  6, 1,   18.94,   -3.99,  -20.17,    2.13,    0.00,    0.29,    0.27,    1.48
 45,  28,  7, 1,   18.67,   -4.25,  -20.06,   -5.75,    1.87,    0.37,    0.52,    1.44
 32,  28,  8, 1,   18.56,   -4.36,  -20.08,  -10.29,    2.05,   -0.68,    0.50,    1.39
 50,  28,  9, 1,   18.11,   -4.70,  -19.85,  -25.71,  -10.20,   -2.02,    0.57,    1.57
 55,  28, 10, 1,   18.11,   -4.67,  -19.75,  -25.45,    0.25,   -1.95,    0.21,    1.84
 13,  56, 11, 1,   18.59,   -4.43,  -20.12,   -6.88,  -11.00,   -0.52,    0.32,    1.77
 79,  56, 12, 1,   18.08,   -3.95,  -20.07,  -23.77,  -22.13,   -1.94,    0.13,    2.30
 14,  56, 13, 1,   18.16,   -4.86,  -19.83,  -29.88,  -14.95,   -4.36,    0.83,    1.41
 53,  56, 14, 1,   18.66,   -4.24,  -20.06,   -6.32,   14.80,    0.23,    0.30,    1.52
 72,  56, 15, 1,   18.65,   -3.01,  -20.39,   -1.84,   17.25,    0.72,    0.28,    2.15
 17,   0, 16, 1,   18.88,   -4.08,  -20.15,   -4.15,   -5.70,   -1.24,    0.19,    2.39
 11,   0, 17, 1,   18.45,   -4.42,  -20.19,   -1.52,   -5.70,    0.75,    0.08,    6.11
 83,  14,  1, 1,   19.08,   -3.19,  -20.54,   17.92,   19.00,    3.09,    0.15,    5.27
 80,  14,  2, 1,   18.86,   -3.37,  -20.42,    0.90,   13.87,    0.53,    0.26,    5.12
 61,  14,  3, 1,   18.40,   -4.43,  -20.00,  -10.02,   -4.95,    0.72,    0.14,    2.50
 23,  14,  4, 1,   18.45,   -4.38,  -20.00,  -15.94,   -6.20,   -2.13,    0.54,    3.41
 36,  14,  5, 1,   18.57,   -4.38,  -19.98,  -13.95,   -1.75,   -1.67,    0.29,    1.99
 84,  28,  6, 1,   18.59,   -3.44,  -20.35,   -1.86,    0.00,    1.23,    0.31,    2.58
 38,  28,  7, 1,   18.68,   -4.10,  -20.03,   -4.91,    1.87,    0.38,    0.22,    1.21
  6,  28,  8, 1,   18.73,   -4.56,  -20.15,   -3.94,    2.05,   -0.08,    0.38,    1.97
 82,  28,  9, 1,   18.12,   -4.41,  -20.09,  -29.24,  -10.20,   -2.42,    0.19,    2.41
 52,  28, 10, 1,   18.26,   -4.60,  -19.92,  -20.39,    0.25,   -1.38,    0.33,    1.88
 39,  56, 11, 1,   18.61,   -4.28,  -20.02,   -8.98,  -11.00,   -0.27,    0.49,    1.71
 66,  56, 12, 1,   18.16,   -4.81,  -19.83,  -23.74,  -22.13,   -1.23,    0.19,    1.39
 64,  56, 13, 1,   18.12,   -4.77,  -19.84,  -22.44,  -14.95,   -0.81,    0.11,    1.31
  4,  56, 14, 1,   18.76,   -4.18,  -20.09,   -1.21,   14.80,   -0.09,    0.47,    4.49
  1,  56, 15, 1,   18.61,   -4.83,  -20.13,  -10.09,   17.25,   -0.41,    0.14,    2.47
 47,   0, 16, 1,   18.65,   -4.25,  -20.05,   -7.29,   -5.70,    0.04,    0.08,    4.20
 43,   0, 17, 1,   18.55,   -4.38,  -20.11,   -5.50,   -5.70,    1.36,    0.15,    1.74
 57,  14,  1, 1,   19.20,   -3.55,  -20.16,    9.50,   19.00,    2.04,    0.23,    5.29
 59,  14,  2, 1,   19.13,   -3.47,  -20.19,   11.33,   13.87,    2.71,    0.14,    2.14
 31,  14,  3, 1,   18.74,   -4.16,  -20.03,   -7.32,   -4.95,   -0.77,    0.56,    1.92
 69,  14,  4, 1,   18.16,   -3.80,  -20.35,  -14.89,   -6.20,   -0.92,    0.38,    2.50
 20,  14,  5, 1,   18.40,   -4.45,  -19.93,  -19.90,   -1.75,   -2.82,    0.25,    2.07
 60,  28,  6, 1,   18.56,   -4.17,  -20.06,   -5.10,    0.00,    0.98,    0.17,    2.22
 76,  28,  7, 1,   18.41,   -3.63,  -20.24,  -10.24,    1.87,   -0.47,    0.28,    1.73
 65,  28,  8, 1,   18.38,   -4.50,  -20.04,  -13.38,    2.05,    0.18,    0.50,    1.73
 12,  28,  9, 1,   18.34,   -4.90,  -19.95,  -31.52,  -10.20,   -5.39,    0.41,    3.03
 74,  28, 10, 1,   18.09,   -3.86,  -20.12,  -22.60,    0.25,   -2.19,    0.15,    6.31
 33,  56, 11, 1,   18.63,   -4.16,  -20.10,   -8.85,  -11.00,   -0.56,    0.06,    1.17
 81,  56, 12, 1,   18.23,   -3.93,  -20.10,  -22.82,  -22.13,   -2.01,    0.41,    2.89
 16,  56, 13, 1,   18.27,   -4.74,  -19.81,  -28.71,  -14.95,   -4.34,    0.38,    1.56
 26,  56, 14, 1,   18.59,   -4.09,  -19.97,  -10.25,   14.80,   -0.98,    0.33,    1.34
 19,  56, 15, 1,   18.89,   -3.89,  -20.23,    1.32,   17.25,    0.37,    0.18,    2.55
 58,   0, 16, 1,   18.53,   -4.08,  -20.00,   -6.41,   -5.70,    0.79,    0.07,    2.00
 54,   0, 17, 1,   18.41,   -4.41,  -19.94,  -13.34,   -5.70,   -0.18,    0.18,    1.87
  7,  14,  1, 1,   19.30,   -4.16,  -20.27,   13.41,   19.00,    0.28,    0.42,    1.90
  9,  14,  2, 1,   19.23,   -4.05,  -20.33,   13.55,   13.87,    1.18,    0.47,    1.45
 29,  14,  3, 1,   18.60,   -4.28,  -20.03,  -11.57,   -4.95,   -1.18,    0.52,    3.09
 18,  14,  4, 1,   18.46,   -4.42,  -19.97,  -19.94,   -6.20,   -2.85,    0.47,    2.53
  5,  14,  5, 1,   18.55,   -4.84,  -20.01,  -18.08,   -1.75,   -2.77,    0.35,    4.15
 34,  28,  6, 1,   18.95,   -4.05,  -20.08,   -2.47,    0.00,   -0.73,    0.61,    1.65
 62,  28,  7, 1,   18.48,   -4.23,  -20.02,   -6.44,    1.87,    1.11,    0.31,    1.46
 15,  28,  8, 1,   18.67,   -4.27,  -20.07,   -9.73,    2.05,   -1.69,    0.88,    1.41
 28,  28,  9, 1,   18.44,   -4.46,  -19.87,  -23.02,  -10.20,   -3.71,    0.29,    1.36
 56,  28, 10, 1,   18.11,   -4.81,  -19.80,  -27.28,    0.25,   -2.22,    0.44,    1.46
  8,  56, 11, 1,   18.69,   -4.57,  -20.05,   -7.08,  -11.00,   -1.00,    0.40,    1.57
 63,  56, 12, 1,   18.13,   -4.78,  -19.83,  -22.47,  -22.13,   -0.64,    0.31,    1.90
 40,  56, 13, 1,   18.27,   -4.79,  -20.02,  -20.76,  -14.95,   -1.08,    0.25,    2.09
 35,  56, 14, 1,   18.81,   -4.13,  -20.17,   -4.09,   14.80,   -0.29,    0.10,    1.23
 67,  56, 15, 1,   18.38,   -4.44,  -20.00,  -12.93,   17.25,    0.15,    0.20,    2.04
 48,   0, 16, 1,   18.64,   -4.15,  -20.08,   -4.89,   -5.70,    0.49,    0.39,    1.94
 73,   0, 17, 1,   18.58,   -2.73,  -20.41,   -0.91,   -5.70,    0.44,    0.35,    4.76
 85,  14,  1, 1,   19.18,   -3.23,  -20.55,   14.24,   19.00,    1.98,    0.31,    2.13
 77,  14,  2, 1,   18.89,   -3.35,  -20.40,    1.16,   13.87,    0.27,    0.18,    1.89
 21,  14,  3, 1,   18.62,   -4.27,  -20.04,   -9.39,   -4.95,   -0.74,    0.09,    1.44
 44,  14,  4, 1,   18.30,   -4.65,  -19.84,  -18.46,   -6.20,   -0.91,    0.43,    2.06
 42,  14,  5, 1,   18.40,   -4.69,  -20.03,  -15.66,   -1.75,   -0.55,    0.12,    1.49
 25,  28,  6, 1,   18.89,   -3.93,  -20.14,   -0.05,    0.00,    0.34,    0.38,    1.53
 37,  28,  7, 1,   18.79,   -4.16,  -20.05,   -3.70,    1.87,    0.09,    0.15,    1.51
 24,  28,  8, 1,   18.64,   -4.07,  -20.10,   -7.92,    2.05,   -0.78,    0.53,    1.80
 27,  28,  9, 1,   18.48,   -4.58,  -19.84,  -23.37,  -10.20,   -3.81,    0.25,    1.53
 75,  28, 10, 1,   18.35,   -3.82,  -20.23,  -19.08,    0.25,   -2.16,    1.13,    1.41
 46,  56, 11, 1,   18.55,   -4.23,  -20.04,   -6.55,  -11.00,    0.62,    0.19,    1.29
 68,  56, 12, 1,   18.05,   -4.50,  -20.37,  -22.96,  -22.13,   -1.21,    0.53,    1.56
 51,  56, 13, 1,   18.19,   -4.86,  -19.85,  -29.71,  -14.95,   -3.06,    0.33,    1.81
 10,  56, 14, 1,   18.63,   -4.27,  -20.02,   -6.64,   14.80,   -0.53,    0.47,    1.47
 78,  56, 15, 1,   18.39,   -3.60,  -20.22,  -11.55,   17.25,   -0.51,    0.21,    1.73
 49,   0, 16, 1,   18.78,   -4.05,  -20.06,   -3.66,   -5.70,    0.23,    0.23,    1.19
  2,   0, 17, 1,   18.84,   -4.40,  -20.14,   -4.44,   -5.70,   -0.95,    0.09,    5.94
