# VP10   2013-03-01_10-32-33
# Elapsed time of measurement: 196 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 49,  14,  1, 1,   18.43,   -7.10,  -21.88,    5.37,   13.00,   -1.47,    0.06,    2.09
 45,  14,  2, 1,   18.53,   -7.24,  -21.78,  -11.46,   -4.00,   -4.50,    0.16,    1.89
 74,  14,  3, 1,   18.44,   -7.33,  -21.83,   -5.21,    2.00,   -3.05,    0.08,    2.06
 27,  14,  4, 1,   18.47,   -7.22,  -21.76,  -12.42,   -4.00,   -4.27,    0.24,    1.97
 79,  14,  5, 1,   18.40,   -7.20,  -21.85,    0.61,    8.00,   -2.01,    0.10,    2.01
 83,  14,  6, 1,   18.41,   -7.29,  -21.83,   -5.15,    9.00,   -2.84,    0.11,    2.03
 86,  28,  7, 1,   18.62,   -7.43,  -21.77,  -13.17,   -9.00,   -4.99,    0.13,    2.12
 60,  28,  8, 1,   18.51,   -7.35,  -21.82,   -8.25,   -1.00,   -3.85,    0.10,    2.06
 44,  28,  9, 1,   18.57,   -7.14,  -21.84,    0.65,    6.00,   -2.94,    0.21,    2.01
 85,  28, 10, 1,   18.73,   -7.38,  -21.74,  -15.52,  -17.00,   -5.95,    0.05,    1.22
 97,  28, 11, 1,   18.53,   -7.49,  -21.84,   -8.34,   -4.00,   -3.80,    0.07,    2.17
 96,  28, 12, 1,   18.55,   -7.47,  -21.84,   -6.68,    4.00,   -3.79,    0.11,    1.92
 65,  56, 13, 1,   18.52,   -7.31,  -21.81,  -12.02,   -6.00,   -4.27,    0.22,    1.94
 77,  56, 14, 1,   18.41,   -7.32,  -21.81,   -6.37,   -2.00,   -3.00,    0.10,    1.99
 71,  56, 15, 1,   18.45,   -7.26,  -21.87,   -0.36,    3.00,   -2.50,    0.18,    2.06
 89,  56, 16, 1,   18.45,   -7.30,  -21.84,   -2.64,    4.00,   -2.77,    0.08,    1.98
 33,  56, 17, 1,   18.67,   -7.32,  -21.69,  -21.01,  -19.00,   -6.72,    0.17,    2.08
 10,  56, 18, 1,   18.18,   -7.03,  -21.71,  -12.68,   -9.00,   -3.41,    0.03,    1.24
 43,   0, 19, 1,   18.57,   -7.25,  -21.79,  -10.56,   -5.70,   -4.47,    0.30,    1.22
 98,   0, 20, 1,   18.56,   -7.49,  -21.81,   -8.26,   -5.70,   -3.98,    0.07,    1.80
 37,  14,  1, 1,   18.62,   -6.90,  -21.89,    7.08,   13.00,   -1.85,    0.11,    2.18
  3,  14,  2, 1,   18.38,   -6.92,  -21.81,   -7.60,   -4.00,   -2.91,    0.07,    1.98
 64,  14,  3, 1,   18.51,   -7.20,  -21.83,   -3.43,    2.00,   -3.23,    0.10,    2.10
 50,  14,  4, 1,   18.61,   -7.26,  -21.78,  -11.24,   -4.00,   -4.75,    0.13,    2.06
 40,  14,  5, 1,   18.55,   -7.07,  -21.82,   -1.46,    8.00,   -3.03,    0.23,    2.14
 25,  14,  6, 1,   18.48,   -7.07,  -21.82,   -4.64,    9.00,   -3.14,    0.06,    1.92
 53,  28,  7, 1,   18.56,   -7.37,  -21.84,  -11.12,   -9.00,   -4.22,    0.17,    1.95
 47,  28,  8, 1,   18.52,   -7.20,  -21.80,   -6.58,   -1.00,   -3.73,    0.06,    2.16
 31,  28,  9, 1,   18.50,   -7.03,  -21.84,   -0.42,    6.00,   -2.55,    0.13,    2.00
 84,  28, 10, 1,   18.75,   -7.42,  -21.72,  -15.71,  -17.00,   -6.07,    0.10,    2.12
 95,  28, 11, 1,   18.55,   -7.51,  -21.82,  -10.02,   -4.00,   -4.08,    0.20,    1.88
 34,  28, 12, 1,   18.64,   -7.15,  -21.78,   -9.80,    4.00,   -4.69,    0.27,    2.00
 56,  56, 13, 1,   18.52,   -7.43,  -21.81,   -9.54,   -6.00,   -4.01,    0.16,    2.05
 66,  56, 14, 1,   18.54,   -7.28,  -21.82,   -7.14,   -2.00,   -3.79,    0.17,    2.01
100,  56, 15, 1,   18.49,   -7.52,  -21.86,   -3.49,    3.00,   -2.95,    0.09,    2.08
 92,  56, 16, 1,   18.48,   -7.41,  -21.86,   -3.94,    4.00,   -3.07,    0.07,    2.12
 75,  56, 17, 1,   18.57,   -7.50,  -21.73,  -17.99,  -19.00,   -5.40,    0.22,    2.00
  9,  56, 18, 1,   18.22,   -7.00,  -21.72,  -12.73,   -9.00,   -3.62,    0.18,    1.96
 35,   0, 19, 1,   18.61,   -7.13,  -21.80,   -9.30,   -5.70,   -4.57,    0.12,    1.25
 57,   0, 20, 1,   18.53,   -7.39,  -21.82,   -9.08,   -5.70,   -4.05,    0.05,    1.25
 81,  14,  1, 1,   18.34,   -7.12,  -21.89,    4.65,   13.00,   -1.27,    0.13,    2.12
 51,  14,  2, 1,   18.57,   -7.24,  -21.84,   -9.61,   -4.00,   -4.39,    0.15,    2.02
 21,  14,  3, 1,   18.38,   -6.98,  -21.80,   -2.68,    2.00,   -2.45,    0.13,    1.70
 70,  14,  4, 1,   18.54,   -7.39,  -21.80,  -11.66,   -4.00,   -4.43,    0.08,    1.96
  2,  14,  5, 1,   18.26,   -6.51,  -21.82,    2.71,    8.00,   -0.45,    0.28,    1.83
 48,  14,  6, 1,   18.51,   -7.16,  -21.84,   -4.58,    9.00,   -3.32,    0.16,    2.00
  4,  28,  7, 1,   18.40,   -6.73,  -21.73,  -13.45,   -9.00,   -3.94,    0.33,    1.91
 22,  28,  8, 1,   18.43,   -7.05,  -21.81,   -5.34,   -1.00,   -3.10,    0.12,    1.93
