# VP11   2013-02-26_17-22-25
# Elapsed time of measurement: 186 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 44,  14,  1, 1,   17.34,   -6.37,  -20.36,    5.42,   12.00,    2.74,    0.38,    3.58
  8,  14,  2, 1,   17.27,   -6.36,  -20.32,    1.98,    9.00,    2.00,    0.35,    1.96
 31,  14,  3, 1,   17.23,   -6.85,  -20.26,   -4.84,   15.00,    0.97,    0.30,    2.62
 38,  14,  4, 1,   17.22,   -6.68,  -20.19,  -13.00,    9.00,   -1.02,    0.15,    2.29
 74,  14,  5, 1,   17.31,   -6.86,  -20.22,  -14.85,    4.00,   -2.31,    0.17,    1.16
 35,  28,  6, 1,   17.24,   -6.32,  -20.33,    3.77,   20.00,    3.11,    0.32,    2.13
 62,  28,  7, 1,   17.22,   -7.09,  -20.23,  -14.66,  -15.00,   -1.19,    0.45,    1.91
 37,  28,  8, 1,   17.22,   -6.80,  -20.19,  -15.56,   -9.00,   -1.44,    0.25,    2.14
  5,  28,  9, 1,   17.40,   -6.66,  -20.25,  -12.48,    1.00,   -1.89,    0.33,    1.85
 81,  28, 10, 1,   17.08,   -6.72,  -20.32,   -4.00,   25.00,    1.63,    0.12,    2.05
 24,  56, 11, 1,   17.49,   -7.01,  -20.41,   -4.70,   -3.00,   -0.65,    0.22,    1.81
  6,  56, 12, 1,   17.37,   -6.67,  -20.23,  -12.14,   -8.00,   -1.86,    0.23,    1.95
 18,  56, 13, 1,   17.46,   -6.74,  -20.42,    2.66,   18.00,    1.42,    0.17,    1.65
 68,  56, 14, 1,   17.29,   -6.93,  -20.26,   -8.57,    7.00,   -0.62,    0.26,    1.93
 43,  56, 15, 1,   17.18,   -6.88,  -20.21,  -14.64,    0.00,   -1.06,    0.08,    2.20
  3,   0, 16, 1,   17.39,   -6.51,  -20.38,   -4.36,   -5.70,   -0.25,    0.11,    1.93
 20,   0, 17, 1,   17.38,   -7.10,  -20.33,   -6.60,   -5.70,   -0.43,    0.04,    2.05
 85,  14,  1, 1,   17.29,   -6.80,  -20.21,  -12.56,   12.00,   -1.72,    0.12,    2.18
 52,  14,  2, 1,   17.11,   -6.59,  -20.35,    0.49,    9.00,    3.14,    0.14,    2.47
 56,  14,  3, 1,   17.02,   -6.58,  -20.29,    3.21,   15.00,    3.97,    0.17,    2.91
 53,  14,  4, 1,   17.09,   -6.79,  -20.24,   -8.89,    9.00,    1.12,    0.05,    2.38
 19,  14,  5, 1,   17.26,   -7.22,  -20.31,   -8.88,    4.00,   -0.09,    0.10,    2.15
 54,  28,  6, 1,   17.28,   -6.10,  -20.31,   14.24,   20.00,    4.56,    0.70,    3.59
 69,  28,  7, 1,   17.17,   -6.96,  -20.19,  -15.58,  -15.00,   -1.43,    0.23,    2.10
