# VP11   2013-02-26_17-33-27
# Elapsed time of measurement: 186 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 79,  14,  1, 1,   17.81,   -7.19,  -20.18,    4.56,   19.00,   -1.05,    0.34,    2.00
  7,  14,  2, 1,   17.73,   -6.18,  -20.31,   -0.36,   20.00,   -0.10,    0.09,    2.18
 82,  14,  3, 1,   17.64,   -7.43,  -20.03,  -11.21,    9.00,   -3.35,    0.16,    2.47
 60,  14,  4, 1,   17.48,   -7.36,  -19.97,  -16.08,   15.00,   -3.73,    0.28,    1.88
 54,  14,  5, 1,   17.43,   -7.45,  -19.89,  -19.04,   18.00,   -3.53,    0.27,    1.96
 19,  28,  6, 1,   17.65,   -6.46,  -20.24,   -1.92,    0.00,   -1.36,    0.27,    2.00
 31,  28,  7, 1,   17.25,   -6.99,  -20.14,   -5.03,   10.00,   -0.18,    0.23,    1.88
 66,  28,  8, 1,   17.89,   -7.26,  -20.06,   -9.05,   18.00,   -4.99,    0.07,    2.16
 67,  28,  9, 1,   18.22,   -7.12,  -19.92,  -19.18,   13.00,   -8.39,    0.14,    2.13
 36,  28, 10, 1,   17.66,   -6.57,  -20.05,  -17.83,   29.00,   -4.40,    0.25,    2.08
 48,  56, 11, 1,   14.61,   -7.20,  -19.24,   -9.45,  -11.00,    7.55,    0.38,    2.48
 12,  56, 12, 1,   17.89,   -6.88,  -20.13,  -17.09,  -13.00,   -5.48,    0.26,    1.95
  8,  56, 13, 1,   17.43,   -6.49,  -20.10,  -10.06,   -1.00,   -1.57,    0.20,    1.94
 64,  56, 14, 1,   17.67,   -7.15,  -20.14,   -3.55,   43.00,   -2.45,    0.23,    2.06
  9,  56, 15, 1,   17.48,   -6.69,  -20.24,   -5.44,   45.00,   -0.41,    0.14,    1.59
 62,   0, 16, 1,   17.52,   -7.25,  -20.13,   -2.17,   -5.70,   -1.79,    0.12,    2.18
 57,   0, 17, 1,   17.33,   -7.50,  -20.07,   -4.94,   -5.70,   -1.06,    0.13,    2.80
 56,  14,  1, 1,   17.29,   -6.94,  -20.12,    7.88,   19.00,    1.24,    0.11,    2.15
 61,  14,  2, 1,   17.53,   -7.07,  -20.16,    7.29,   20.00,    0.11,    0.08,    3.16
 22,  14,  3, 1,   17.45,   -6.94,  -20.11,  -12.24,    9.00,   -2.47,    0.15,    1.70
 80,  14,  4, 1,   17.81,   -7.32,  -20.02,  -10.00,   15.00,   -4.43,    0.35,    2.10
 35,  14,  5, 1,   17.39,   -6.61,  -19.87,  -27.06,   18.00,   -5.18,    0.24,    2.01
 25,  28,  6, 1,   17.64,   -6.82,  -20.28,   -1.58,    0.00,   -1.39,    0.19,    2.01
 24,  28,  7, 1,   17.49,   -6.71,  -20.20,   -3.46,   10.00,   -1.00,    0.12,    2.20
 26,  28,  8, 1,   17.49,   -7.10,  -20.23,   -7.26,   18.00,   -1.75,    0.26,    1.88
 46,  28,  9, 1,   17.85,   -6.85,  -20.00,  -23.46,   13.00,   -7.26,    0.18,    1.72
 74,  28, 10, 1,   18.09,   -7.18,  -20.00,  -18.48,   29.00,   -7.54,    0.27,    1.90
 83,  56, 11, 1,   17.87,   -7.28,  -20.10,   -6.45,  -11.00,   -3.73,    0.20,    3.15
 55,  56, 12, 1,   17.49,   -7.43,  -19.85,  -21.09,  -13.00,   -4.27,    0.10,    1.34
 30,  56, 13, 1,   17.56,   -7.05,  -20.04,  -19.89,   -1.00,   -4.08,    0.59,    1.72
 38,  56, 14, 1,   17.55,   -6.62,  -20.22,    0.67,   43.00,   -0.86,    0.24,    2.77
 15,  56, 15, 1,   17.69,   -6.77,  -20.22,   -6.40,   45.00,   -1.95,    0.22,    1.95
 42,   0, 16, 1,   17.44,   -6.75,  -20.20,   -6.56,   -5.70,   -1.63,    0.31,    2.00
 69,   0, 17, 1,   17.83,   -7.26,  -20.10,   -7.58,   -5.70,   -4.16,    0.13,    2.08
 85,  14,  1, 1,   17.90,   -6.87,  -20.22,   14.52,   19.00,   -0.66,    0.27,    5.08
  5,  14,  2, 1,   17.71,   -6.46,  -20.26,   -3.75,   20.00,   -1.20,    0.22,    2.09
 14,  14,  3, 1,   17.70,   -6.92,  -20.21,   -8.79,    9.00,   -2.42,    0.05,    1.53
 16,  14,  4, 1,   17.23,   -7.06,  -20.05,  -13.61,   15.00,   -1.55,    0.13,    2.09
 63,  14,  5, 1,   17.79,   -7.23,  -20.09,   -7.92,   18.00,   -4.00,    0.09,    3.05
 40,  28,  6, 1,   17.39,   -6.67,  -20.16,   -6.51,    0.00,   -1.54,    0.09,    2.24
 13,  28,  7, 1,   17.80,   -6.87,  -20.24,   -7.88,   10.00,   -3.18,    0.16,    1.98
 23,  28,  8, 1,   17.56,   -6.81,  -20.17,   -7.39,   18.00,   -1.75,    0.27,    1.98
 20,  28,  9, 1,   17.27,   -6.83,  -20.03,  -14.50,   13.00,   -1.52,    0.25,    2.05
 58,  28, 10, 1,   17.43,   -7.52,  -19.86,  -17.60,   29.00,   -3.41,    0.22,    1.93
