# VP12   2013-03-01_12-01-31
# Elapsed time of measurement: 263 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 45,  14,  1, 1,   17.96,   10.94,  -21.70,   24.30,   19.00,    1.77,    0.13,    3.78
 75,  14,  2, 1,   17.98,   11.41,  -22.44,   24.47,   15.00,    1.85,    0.16,    2.21
  6,  14,  3, 1,   17.41,   11.26,  -21.89,   -1.72,    1.00,    0.27,    0.29,    1.82
 26,  14,  4, 1,   17.55,   11.82,  -21.64,    8.78,   -7.00,    1.17,    0.17,    2.82
 23,  14,  5, 1,   17.57,   12.17,  -21.50,  -12.48,   -9.00,   -2.91,    0.22,    2.64
  7,  28,  6, 1,   17.54,   11.01,  -21.90,    5.49,    0.00,    0.63,    0.10,    2.10
 31,  28,  7, 1,   17.82,   11.04,  -21.79,    3.15,    5.00,   -0.06,    0.20,    2.39
 66,  28,  8, 1,   17.71,   11.18,  -22.73,    9.88,    5.00,    1.70,    0.08,    2.20
 11,  28,  9, 1,   17.84,   11.38,  -21.78,    1.23,   -9.00,   -1.95,    0.15,    2.78
  8,  28, 10, 1,   17.58,   10.96,  -21.91,   15.67,   -8.00,    1.16,    0.14,    2.05
 33,  56, 11, 1,   17.83,   11.37,  -21.68,   -2.61,  -11.00,   -1.03,    0.23,    1.98
 83,  56, 12, 1,   18.18,   11.96,  -21.93,  -15.39,  -20.00,   -4.78,    0.21,    2.24
 30,  56, 13, 1,   17.87,   11.39,  -21.72,  -10.91,  -16.00,   -2.54,    0.38,    3.02
 60,  56, 14, 1,   18.35,    9.77,  -23.12,   25.18,   16.00,   -0.98,    0.24,    2.74
 17,  56, 15, 1,   17.91,   11.49,  -21.72,   17.34,    5.00,    0.29,    0.02,    2.34
 14,   0, 16, 1,   17.54,   11.42,  -21.78,   -2.25,   -5.70,   -0.24,    0.09,    1.91
 43,   0, 17, 1,   17.72,   11.33,  -21.70,   -3.65,   -5.70,   -0.73,    0.06,    3.30
 36,  14,  1, 1,   18.26,   10.61,  -21.85,   24.97,   19.00,   -0.23,    0.13,    6.99
 78,  14,  2, 1,   18.19,   11.25,  -22.47,   19.98,   15.00,   -0.11,    0.17,    3.47
 35,  14,  3, 1,   17.79,   11.19,  -21.77,   -0.70,    1.00,   -0.47,    0.21,    2.14
 84,  14,  4, 1,   18.14,   11.56,  -21.98,    8.59,   -7.00,    0.01,    0.14,    3.06
 65,  14,  5, 1,   17.77,   11.46,  -22.72,  -14.32,   -9.00,   -3.31,    0.18,    2.77
 59,  28,  6, 1,   17.98,   10.05,  -23.14,    5.70,    0.00,   -0.49,    0.06,    2.23
 74,  28,  7, 1,   17.79,   11.55,  -22.48,   10.72,    5.00,    1.02,    0.11,    2.25
 70,  28,  8, 1,   17.92,   11.10,  -22.68,   13.69,    5.00,    0.75,    0.13,    2.26
 37,  28,  9, 1,   17.77,   11.23,  -21.73,   -2.79,   -9.00,   -0.70,    0.10,    3.07
 44,  28, 10, 1,   17.85,   10.95,  -21.75,   11.69,   -8.00,    0.74,    0.18,    2.71
 39,  56, 11, 1,   17.70,   11.32,  -21.74,   -3.71,  -11.00,   -0.43,    0.12,    2.23
 49,  56, 12, 1,   17.54,   11.68,  -21.56,  -14.78,  -20.00,   -2.30,    0.20,    8.87
  5,  56, 13, 1,   17.39,   11.30,  -21.89,  -11.52,  -16.00,   -0.73,    0.20,    2.01
 64,  56, 14, 1,   18.18,   10.48,  -22.90,   24.82,   16.00,    0.39,    0.18,    3.75
 54,  56, 15, 1,   20.89,   -0.17,  -21.88,   14.25,    5.00,    0.76,    0.21,    2.17
 22,   0, 16, 1,   17.50,   11.94,  -21.62,   -2.01,   -5.70,   -0.14,    0.22,    2.67
 71,   0, 17, 1,   17.78,   11.40,  -22.61,   -2.72,   -5.70,   -1.02,    0.13,    2.50
 55,  14,  1, 1,   21.02,   -0.31,  -21.87,   26.59,   19.00,    1.40,    0.15,    2.46
 27,  14,  2, 1,   17.84,   11.20,  -21.67,   22.73,   15.00,    0.63,    0.17,    5.02
 13,  14,  3, 1,   17.56,   11.42,  -21.79,   -2.04,    1.00,   -0.20,    0.16,    2.35
 21,  14,  4, 1,   17.54,   11.70,  -21.70,    7.50,   -7.00,    1.09,    0.26,    2.83
 73,  14,  5, 1,   17.85,   11.88,  -22.37,  -16.15,   -9.00,   -4.80,    0.16,    3.04
 58,  28,  6, 1,   17.99,   10.32,  -23.10,    5.42,    0.00,   -0.25,    0.17,    1.98
 19,  28,  7, 1,   17.59,   11.58,  -21.71,    4.46,    5.00,    0.34,    0.20,    2.58
 40,  28,  8, 1,   17.73,   10.86,  -21.79,   10.89,    5.00,    1.20,    0.06,    3.20
 15,  28,  9, 1,   17.59,   11.47,  -21.80,   -1.35,   -9.00,   -0.34,    0.07,    4.12
 38,  28, 10, 1,   17.79,   10.94,  -21.76,    9.96,   -8.00,    0.75,    0.07,    2.20
 28,  56, 11, 1,   17.65,   11.70,  -21.65,   -3.64,  -11.00,   -1.00,    0.33,    2.59
