# VP13   2013-02-25_09-51-08
# Elapsed time of measurement: 268 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
  7,  14,  1, 1,   17.40,   -2.78,  -21.71,    7.37,   12.00,    0.66,    0.19,    3.04
 77,  14,  2, 1,   17.34,   -1.43,  -21.62,   11.31,  -14.31,    2.45,    0.31,    2.12
 47,  14,  3, 1,   17.65,   -2.10,  -21.63,    8.86,  -25.80,   -0.01,    0.17,    7.35
 34,  14,  4, 1,   17.47,   -1.66,  -21.56,    2.33,  -40.96,    0.56,    0.19,    2.82
 27,  14,  5, 1,   17.34,   -1.98,  -21.49,   -9.49,  -52.66,   -0.25,    0.21,    3.96
 17,  28,  6, 1,   17.70,   -1.97,  -21.65,   11.54,   20.00,    0.55,    0.07,    3.22
 56,  28,  7, 1,   17.07,   -2.00,  -21.45,  -19.50,  -33.31,   -0.46,    0.07,    2.95
 15,  28,  8, 1,   17.43,   -1.77,  -21.47,  -13.12,  -34.80,   -1.82,    0.29,    4.00
 42,  28,  9, 1,   17.54,   -1.70,  -21.52,   -5.72,  -35.96,   -1.10,    0.07,    2.25
 60,  28, 10, 1,   17.51,   -1.94,  -21.59,   18.43,  -12.66,    2.19,    0.27,    2.88
 20,  56, 11, 1,   17.43,   -1.89,  -21.55,   -4.07,   -3.00,   -0.11,    0.19,    2.10
 81,  56, 12, 1,   17.12,   -1.51,  -21.48,   -6.76,  -13.31,    0.90,    0.16,    1.83
 58,  56, 13, 1,   17.53,   -1.79,  -21.57,    7.53,    2.20,    0.99,    0.08,    2.71
 24,  56, 14, 1,   17.23,   -1.83,  -21.49,  -11.29,  -14.96,    0.07,    0.08,    3.07
 51,  56, 15, 1,   17.21,   -1.89,  -21.45,  -20.33,  -21.66,   -1.41,    0.15,    2.85
 13,   0, 16, 1,   17.51,   -2.03,  -21.56,   -7.20,   -5.70,   -0.92,    0.16,    2.95
 11,   0, 17, 1,   17.52,   -2.14,  -21.60,   -5.50,   -5.70,   -0.92,    0.06,    2.23
 45,  14,  1, 1,   17.53,   -2.27,  -21.64,   11.21,   12.00,    0.95,    0.11,    3.12
 79,  14,  2, 1,   17.24,   -1.65,  -21.51,    9.93,  -14.31,    2.52,    0.35,    3.40
 83,  14,  3, 1,   17.35,   -1.68,  -21.47,   10.82,  -25.80,    1.99,    0.28,    2.67
 82,  14,  4, 1,   17.35,   -1.60,  -21.47,    4.16,  -40.96,    1.26,    0.17,    2.54
 85,  14,  5, 1,   17.15,   -1.76,  -21.51,   -7.76,  -52.66,    0.57,    0.26,    4.82
 30,  28,  6, 1,   17.56,   -1.76,  -21.60,   12.04,   20.00,    1.35,    0.21,    2.86
 28,  28,  7, 1,   17.23,   -1.80,  -21.47,  -15.32,  -33.31,   -0.73,    0.08,    2.02
 54,  28,  8, 1,   17.15,   -1.94,  -21.43,  -19.05,  -34.80,   -0.63,    0.14,    2.22
 70,  28,  9, 1,   17.09,   -1.33,  -21.38,  -12.42,  -35.96,    0.06,    0.10,    2.07
  6,  28, 10, 1,   17.49,   -2.52,  -21.73,   16.65,  -12.66,    1.38,    0.24,    6.34
 40,  56, 11, 1,   17.54,   -1.72,  -21.54,   -1.75,   -3.00,   -0.50,    0.17,    2.82
 57,  56, 12, 1,   17.44,   -1.83,  -21.54,   -5.79,  -13.31,   -0.31,    0.07,    2.07
 68,  56, 13, 1,   17.51,   -1.70,  -21.56,    3.75,    2.20,    0.50,    0.05,    2.82
 35,  56, 14, 1,   17.18,   -1.93,  -21.52,  -12.27,  -14.96,    0.05,    0.16,    2.76
  9,  56, 15, 1,   17.42,   -2.21,  -21.60,  -12.35,  -21.66,   -1.08,    0.10,    3.93
 33,   0, 16, 1,   17.18,   -1.76,  -21.50,   -8.89,   -5.70,    0.46,    0.10,    1.99
 61,   0, 17, 1,   17.13,   -2.03,  -21.53,   -7.93,   -5.70,    1.35,    0.10,    2.76
  5,  14,  1, 1,   17.82,   -2.65,  -21.72,    7.01,   12.00,   -1.17,    0.25,    3.61
 21,  14,  2, 1,   17.68,   -2.08,  -21.63,    9.35,  -14.31,    0.25,    0.27,    6.43
