# VP13   2013-02-22_09-23-02
# Elapsed time of measurement: 265 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 22,  14,  1, 1,   18.10,   -3.42,  -21.95,    6.02,   12.00,    1.00,    0.05,    2.97
 29,  14,  2, 1,   18.22,   -2.23,  -22.06,   -0.67,    4.60,    0.60,    0.13,    2.98
 74,  14,  3, 1,   18.29,   -2.62,  -22.11,    0.65,    2.25,   -0.42,    0.09,    4.14
 12,  14,  4, 1,   17.79,   -3.34,  -21.94,   -9.65,   -5.99,    0.09,    0.29,    1.82
 16,  14,  5, 1,   17.86,   -3.78,  -21.92,  -17.59,  -15.10,   -1.59,    0.14,    2.82
 61,  28,  6, 1,   18.58,   -2.62,  -22.11,   14.82,   20.00,   -0.88,    0.08,    3.04
 80,  28,  7, 1,   17.93,   -2.66,  -22.02,  -11.80,  -11.40,   -0.19,    0.17,    2.73
 58,  28,  8, 1,   17.89,   -2.79,  -22.03,  -24.17,  -18.75,   -1.86,    0.09,    3.68
 62,  28,  9, 1,   17.96,   -2.74,  -22.03,  -19.68,  -12.99,   -1.13,    0.10,    2.54
 17,  28, 10, 1,   18.21,   -3.57,  -21.97,   -1.87,    6.90,   -0.80,    0.08,    3.03
 47,  56, 11, 1,   17.91,   -2.32,  -22.02,   -7.28,   -3.00,    0.61,    0.07,    2.94
  2,  56, 12, 1,   18.40,   -4.02,  -21.95,   -4.03,   -4.40,   -1.94,    0.07,    2.32
 33,  56, 13, 1,   18.25,   -2.09,  -22.05,    3.40,    8.25,    0.67,    0.17,    2.76
 81,  56, 14, 1,   17.86,   -2.61,  -22.04,  -14.01,   -7.99,   -0.17,    0.11,    2.21
 59,  56, 15, 1,   17.89,   -2.70,  -22.03,  -20.60,  -20.10,   -1.39,    0.08,    2.22
 83,   0, 16, 1,   17.83,   -2.60,  -22.05,  -13.84,   -5.70,    0.25,    0.20,    2.63
 71,   0, 17, 1,   18.27,   -2.51,  -22.08,   -8.16,   -5.70,   -1.76,    0.11,    2.35
 48,  14,  1, 1,   18.01,   -2.24,  -22.06,    5.54,   12.00,    1.96,    0.15,    3.12
 54,  14,  2, 1,   18.10,   -2.30,  -22.06,    1.64,    4.60,    0.67,    0.14,    3.88
 79,  14,  3, 1,   18.16,   -2.42,  -22.05,   -0.11,    2.25,    0.16,    0.11,    2.13
 40,  14,  4, 1,   18.00,   -2.49,  -22.00,  -13.28,   -5.99,   -0.29,    0.10,    4.00
  4,  14,  5, 1,   18.01,   -4.18,  -21.87,  -21.11,  -15.10,   -2.93,    0.40,    3.88
  3,  28,  6, 1,   18.52,   -4.22,  -22.05,   15.33,   20.00,    0.09,    0.15,    2.56
 46,  28,  7, 1,   17.82,   -2.44,  -22.02,  -11.45,  -11.40,    0.49,    0.16,    2.87
 49,  28,  8, 1,   17.71,   -2.69,  -22.00,  -21.10,  -18.75,   -0.34,    0.02,    3.28
 84,  28,  9, 1,   17.85,   -2.61,  -22.02,  -20.86,  -12.99,   -1.09,    0.12,    2.65
 78,  28, 10, 1,   18.12,   -2.44,  -22.08,   -2.64,    6.90,   -0.02,    0.10,    2.81
 66,  56, 11, 1,   18.25,   -2.30,  -22.04,   -6.02,   -3.00,   -1.24,    0.03,    2.18
 65,  56, 12, 1,   18.22,   -2.37,  -22.05,   -8.04,   -4.40,   -1.33,    0.06,    2.37
  9,  56, 13, 1,   18.36,   -3.95,  -21.96,    5.03,    8.25,   -0.50,    0.17,    2.88
  1,  56, 14, 1,   18.22,   -4.06,  -21.92,  -11.08,   -7.99,   -2.09,    0.13,    2.93
 41,  56, 15, 1,   17.85,   -2.42,  -21.92,  -24.19,  -20.10,   -1.88,    0.17,    2.65
 44,   0, 16, 1,   17.91,   -2.49,  -22.02,  -12.03,   -5.70,    0.18,    0.07,    4.07
  8,   0, 17, 1,   17.87,   -4.15,  -21.90,  -12.05,   -5.70,   -0.70,    0.07,    2.73
 76,  14,  1, 1,   18.43,   -2.58,  -22.13,    4.54,   12.00,   -0.73,    0.06,    2.75
 82,  14,  2, 1,   18.11,   -2.37,  -22.07,   -1.78,    4.60,    0.11,    0.10,    3.14
 11,  14,  3, 1,   18.09,   -3.97,  -21.92,   -0.47,    2.25,    0.01,    0.18,    2.88
 36,  14,  4, 1,   17.91,   -2.33,  -21.99,  -11.89,   -5.99,    0.01,    0.09,    2.48
 51,  14,  5, 1,   17.72,   -2.58,  -21.96,  -21.14,  -15.10,   -0.49,    0.16,    2.97
 57,  28,  6, 1,   18.36,   -2.66,  -22.13,   12.62,   20.00,    0.17,    0.05,    3.62
 43,  28,  7, 1,   17.86,   -2.41,  -22.02,  -11.36,  -11.40,    0.55,    0.14,    4.24
 15,  28,  8, 1,   17.63,   -3.91,  -21.88,  -22.23,  -18.75,   -0.88,    0.11,    2.48
 67,  28,  9, 1,   17.88,   -2.58,  -21.99,  -19.53,  -12.99,   -1.03,    0.10,    2.99
 53,  28, 10, 1,   18.21,   -2.19,  -22.06,    3.39,    6.90,    0.37,    0.09,    2.94
 56,  56, 11, 1,   18.21,   -2.80,  -22.13,   -6.73,   -3.00,   -0.84,    0.06,    4.41
 32,  56, 12, 1,   18.15,   -2.35,  -22.02,   -7.60,   -4.40,   -0.61,    0.11,    2.55
 31,  56, 13, 1,   18.35,   -2.16,  -22.06,    4.91,    8.25,    0.35,    0.12,    3.13
 34,  56, 14, 1,   18.02,   -2.22,  -21.98,   -9.43,   -7.99,   -0.16,    0.08,    3.41
 73,  56, 15, 1,   18.04,   -2.50,  -21.97,  -23.64,  -20.10,   -2.78,    0.21,    4.01
 68,   0, 16, 1,   18.17,   -2.41,  -22.04,   -8.06,   -5.70,   -1.16,    0.05,    3.12
 37,   0, 17, 1,   17.95,   -2.21,  -22.00,   -8.65,   -5.70,    0.21,    0.10,    2.32
 50,  14,  1, 1,   18.01,   -2.45,  -22.09,    3.51,   12.00,    1.61,    0.06,    2.44
 85,  14,  2, 1,   18.14,   -2.22,  -22.02,   -2.03,    4.60,   -0.01,    0.11,    3.97
 35,  14,  3, 1,   18.24,   -2.10,  -22.03,   -1.92,    2.25,   -0.22,    0.15,    3.02
  6,  14,  4, 1,   18.04,   -4.12,  -21.90,  -11.95,   -5.99,   -1.47,    0.12,    2.27
 69,  14,  5, 1,   17.93,   -2.64,  -22.01,  -23.68,  -15.10,   -2.34,    0.09,    5.19
 14,  28,  6, 1,   18.30,   -3.71,  -22.05,   14.34,   20.00,    1.01,    0.10,    2.54
 52,  28,  7, 1,   18.10,   -2.29,  -22.01,   -9.08,  -11.40,   -0.85,    0.19,    2.92
 20,  28,  8, 1,   17.72,   -3.83,  -21.87,  -18.66,  -18.75,   -1.00,    0.10,    2.86
 70,  28,  9, 1,   18.23,   -2.60,  -22.05,  -15.75,  -12.99,   -2.18,    0.08,    3.12
 21,  28, 10, 1,   18.03,   -3.49,  -21.92,   -2.70,    6.90,   -0.15,    0.06,    2.61
 55,  56, 11, 1,   17.95,   -2.43,  -22.05,   -7.99,   -3.00,    0.29,    0.07,    3.22
 24,  56, 12, 1,   17.82,   -3.98,  -21.94,   -6.88,   -4.40,    0.17,    0.08,    2.92
 39,  56, 13, 1,   18.40,   -1.97,  -22.00,    0.40,    8.25,   -0.38,    0.09,    2.96
 60,  56, 14, 1,   18.15,   -2.62,  -22.07,   -9.86,   -7.99,   -1.17,    0.17,    3.27
 75,  56, 15, 1,   18.02,   -2.66,  -22.02,  -21.87,  -20.10,   -2.12,    0.13,    5.37
 38,   0, 16, 1,   17.99,   -2.37,  -22.03,  -10.37,   -5.70,   -0.68,    0.18,    2.95
 13,   0, 17, 1,   17.96,   -3.82,  -22.09,  -10.02,   -5.70,   -1.15,    0.33,    2.00
 42,  14,  1, 1,   18.21,   -2.31,  -22.09,    4.53,   12.00,    0.95,    0.04,    4.42
  7,  14,  2, 1,   18.28,   -3.92,  -21.93,   -0.40,    4.60,   -0.95,    0.10,    2.45
 63,  14,  3, 1,   18.29,   -2.51,  -22.11,   -0.73,    2.25,   -0.81,    0.29,    3.54
 77,  14,  4, 1,   17.73,   -2.66,  -22.03,  -15.57,   -5.99,    0.11,    0.10,    3.57
 28,  14,  5, 1,   18.22,   -2.08,  -21.92,  -21.60,  -15.10,   -3.98,    0.35,    6.66
 25,  28,  6, 1,   18.23,   -3.70,  -21.96,   14.23,   20.00,    1.20,    0.11,    2.71
 30,  28,  7, 1,   18.11,   -2.24,  -21.99,  -13.61,  -11.40,   -1.46,    0.07,    3.10
 10,  28,  8, 1,   17.77,   -4.28,  -21.88,  -19.71,  -18.75,   -1.34,    0.11,    2.48
 64,  28,  9, 1,   17.82,   -2.62,  -22.02,  -18.91,  -12.99,   -0.57,    0.14,    3.51
 26,  28, 10, 1,   18.00,   -2.06,  -22.11,   -5.15,    6.90,    0.49,    0.25,    2.87
 27,  56, 11, 1,   18.26,   -2.54,  -22.17,  -13.34,   -3.00,   -0.62,    0.38,    2.09
 45,  56, 12, 1,   17.96,   -2.36,  -22.03,   -7.24,   -4.40,    0.47,    0.05,    3.17
