# VP04   2012-05-07_16-08-09
# Elapsed time of measurement: 997 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 24.06, 13.25, -66.86, -2.75, 0.03


# Localization experiment
# mode: 0 => generic; 3/8/15 => WFS with 3/8/15 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
119,   3,  1, 1,   24.09,   13.10,  -66.88,   -3.92,    0.00,    1.53,    0.13,    4.09
 55,   3,  2, 1,   24.53,   13.20,  -67.01,   -6.39,   -4.76,   -0.16,    0.07,    3.34
121,   3,  3, 1,   23.80,   12.79,  -66.98,  -11.41,   -9.46,    1.83,    0.06,    3.35
 45,   3,  4, 1,   23.84,   12.80,  -66.92,  -19.54,  -14.04,    0.69,    0.18,    1.86
122,   3,  5, 1,   24.13,   12.33,  -67.02,  -23.67,  -18.43,    0.31,    0.10,    3.18
 93,   3,  6, 1,   25.24,   11.88,  -67.33,  -30.43,  -22.62,   -1.58,    0.17,    3.20
 75,   3,  7, 1,   23.76,   11.91,  -66.92,  -38.39,  -26.57,   -0.88,    0.16,    1.82
 89,   3,  8, 1,   23.53,   11.18,  -66.90,  -38.65,  -30.26,    0.47,    0.21,    2.69
 83,   8,  9, 1,   27.08,   13.40,  -66.52,   33.68,   35.00,   -4.02,    0.17,    1.53
 22,   8, 10, 1,   26.54,   14.50,  -66.56,   26.08,   30.24,   -1.32,    0.36,    4.56
 81,   8, 11, 1,   25.80,   13.05,  -66.70,   24.20,   25.54,   -1.51,    0.23,    3.12
128,   8, 12, 1,   25.24,   12.92,  -66.71,   20.10,   20.96,   -1.04,    0.05,    3.28
113,   8, 13, 1,   25.46,   13.51,  -66.67,   13.55,   16.57,   -0.89,    0.27,    2.61
 35,   8, 14, 1,   24.55,   14.87,  -66.65,    7.87,   12.38,    1.77,    0.36,    2.55
 48,   8, 15, 1,   25.28,   13.83,  -66.79,    6.60,    8.43,   -0.63,    0.20,    3.05
 73,   8, 16, 1,   24.70,   13.77,  -66.85,    0.65,    4.74,    0.26,    0.03,    4.33
 43,  15, 17, 1,   25.75,   13.63,  -66.78,   16.11,   17.50,   -1.72,    0.09,    3.16
111,  15, 18, 1,   25.05,   13.54,  -66.79,    9.36,   12.74,    0.08,    0.15,    2.30
 10,  15, 19, 1,   25.13,   14.21,  -66.82,    8.06,    8.04,   -0.50,    0.10,    5.17
 62,  15, 20, 1,   24.20,   13.43,  -66.97,   -0.89,    3.46,    0.86,    0.09,    2.26
118,  15, 21, 1,   24.43,   13.26,  -66.87,   -1.46,   -0.93,    0.88,    0.16,    1.88
 33,  15, 22, 1,   23.86,   14.17,  -66.85,   -5.06,   -5.12,    2.30,    0.29,    2.69
 21,  15, 23, 1,   23.70,   13.44,  -66.95,  -12.57,   -9.07,    1.62,    0.14,    3.30
 60,  15, 24, 1,   23.64,   12.84,  -66.96,  -13.80,  -12.76,    1.54,    0.29,    2.59
  3,   0, 25, 1,   24.07,   12.74,  -67.02,   -5.06,   -5.70,    0.60,    0.18,    4.73
 76,   0, 26, 1,   25.01,   13.64,  -66.93,   -3.80,   -5.70,   -0.89,    0.17,    3.01
 27,   3,  1, 1,   24.43,   14.34,  -66.86,    1.86,    0.00,    1.40,    0.11,    3.39
 32,   3,  2, 1,   23.45,   13.80,  -66.94,   -6.57,   -4.76,    2.92,    0.11,    4.01
 16,   3,  3, 1,   23.90,   13.50,  -66.95,  -11.94,   -9.46,    0.70,    0.19,    4.87
 14,   3,  4, 1,   23.44,   12.71,  -67.02,  -20.42,  -14.04,    1.18,    0.15,    3.16
 80,   3,  5, 1,   23.53,   12.17,  -67.03,  -26.92,  -18.43,    0.91,    0.17,    2.15
105,   3,  6, 1,   23.60,   11.43,  -66.94,  -32.15,  -22.62,    2.08,    0.24,    3.71
 66,   3,  7, 1,   23.30,   11.35,  -66.96,  -38.26,  -26.57,    0.44,    0.29,    3.67
 98,   3,  8, 1,   23.51,   10.08,  -66.93,  -40.69,  -30.26,    2.65,    0.31,    3.05
 82,   8,  9, 1,   27.06,   13.22,  -66.54,   33.69,   35.00,   -4.14,    0.14,    2.75
 97,   8, 10, 1,   25.43,   12.91,  -66.78,   20.69,   30.24,   -1.02,    0.20,    3.16
 95,   8, 11, 1,   25.62,   12.90,  -66.85,   20.94,   25.54,   -1.30,    0.14,    2.03
 78,   8, 12, 1,   25.51,   13.41,  -66.75,   16.37,   20.96,   -1.06,    0.14,    3.59
106,   8, 13, 1,   25.16,   13.28,  -66.85,   15.90,   16.57,   -0.68,    0.33,    3.88
 15,   8, 14, 1,   25.64,   13.90,  -66.85,    9.51,   12.38,   -1.24,    0.06,    4.37
 61,   8, 15, 1,   24.65,   13.51,  -66.87,    1.50,    8.43,    0.20,    0.10,    3.39
 31,   8, 16, 1,   24.62,   14.10,  -66.84,    5.14,    4.74,    1.23,    0.21,    3.60
 49,  15, 17, 1,   25.72,   13.82,  -66.73,   16.35,   17.50,   -1.29,    0.15,    2.92
 40,  15, 18, 1,   25.05,   13.74,  -66.74,   13.80,   12.74,    0.06,    0.18,    3.97
 96,  15, 19, 1,   24.55,   12.67,  -66.95,    7.84,    8.04,    1.25,    0.12,    2.55
 50,  15, 20, 1,   24.29,   14.26,  -66.83,   -0.38,    3.46,    1.01,    0.38,    2.63
117,  15, 21, 1,   24.49,   13.24,  -67.06,   -0.82,   -0.93,    0.71,    0.29,    3.66
  9,  15, 22, 1,   24.26,   13.52,  -66.94,   -5.85,   -5.12,    0.24,    0.23,    3.52
 52,  15, 23, 1,   23.78,   13.37,  -67.00,  -10.70,   -9.07,    1.38,    0.09,    3.15
 87,  15, 24, 1,   23.89,   12.74,  -67.04,  -13.88,  -12.76,    1.46,    0.22,    2.84
  5,   0, 25, 1,   23.37,   13.22,  -66.83,   -9.59,   -5.70,    1.99,    0.08,    3.52
 42,   0, 26, 1,   24.67,   13.56,  -66.98,   -3.77,   -5.70,   -0.18,    0.30,    2.49
 47,   3,  1, 1,   24.64,   13.50,  -66.95,   -0.45,    0.00,    0.20,    0.09,    2.35
108,   3,  2, 1,   23.85,   13.63,  -66.94,   -5.68,   -4.76,    2.32,    0.16,    3.14
 29,   3,  3, 1,   23.75,   13.62,  -66.92,  -13.72,   -9.46,    1.63,    0.25,    3.13
 44,   3,  4, 1,   23.74,   12.71,  -67.03,  -19.80,  -14.04,    0.88,    0.09,    3.28
  6,   3,  5, 1,   23.17,   12.16,  -66.92,  -22.94,  -18.43,    1.33,    0.10,    3.32
 79,   3,  6, 1,   23.43,   11.59,  -66.91,  -34.68,  -22.62,    0.66,    0.24,    2.62
 54,   3,  7, 1,   23.43,   11.60,  -66.84,  -35.94,  -26.57,    0.03,    0.14,    4.00
116,   3,  8, 1,   23.86,   10.46,  -66.95,  -37.53,  -30.26,    1.84,    0.20,    3.17
100,   8,  9, 1,   26.75,   12.91,  -66.59,   37.03,   35.00,   -4.45,    0.14,    3.55
125,   8, 10, 1,   26.40,   13.14,  -66.55,   29.06,   30.24,   -3.27,    0.26,    3.07
 19,   8, 11, 1,   26.81,   14.18,  -66.65,   26.56,   25.54,   -2.02,    0.13,    4.88
 11,   8, 12, 1,   26.09,   13.85,  -66.69,   18.68,   20.96,   -1.87,    0.10,    4.30
123,   8, 13, 1,   25.74,   13.14,  -66.72,   18.24,   16.57,   -2.11,    0.09,    3.30
 53,   8, 14, 1,   25.26,   13.64,  -66.82,    8.77,   12.38,   -0.66,    0.07,    3.38
127,   8, 15, 1,   24.98,   12.35,  -66.95,    3.72,    8.43,   -0.24,    0.15,    3.03
 77,   8, 16, 1,   24.86,   13.87,  -66.95,   -0.87,    4.74,   -0.63,    0.18,    2.27
 36,  15, 17, 1,   25.32,   14.69,  -66.67,   14.90,   17.50,    0.40,    0.05,    3.37
 90,  15, 18, 1,   25.59,   12.53,  -66.89,   13.55,   12.74,   -1.88,    0.22,    2.69
 34,  15, 19, 1,   25.01,   14.54,  -66.72,   11.63,    8.04,    0.95,    0.05,    4.30
 88,  15, 20, 1,   24.70,   13.28,  -66.92,    0.70,    3.46,    0.17,    0.09,    2.26
124,  15, 21, 1,   24.53,   13.16,  -66.94,   -1.29,   -0.93,    0.42,    0.10,    3.09
  1,  15, 22, 1,   23.74,   11.36,  -66.95,   -8.20,   -5.12,    1.86,    0.19,    4.58
130,  15, 23, 1,   23.67,   12.33,  -67.02,   -7.85,   -9.07,    2.73,    0.17,    2.49
 13,  15, 24, 1,   23.74,   12.86,  -66.97,  -16.44,  -12.76,    1.01,    0.25,    3.93
 51,   0, 25, 1,   24.08,   13.81,  -66.90,   -5.66,   -5.70,    1.14,    0.17,    3.19
101,   0, 26, 1,   23.70,   13.43,  -66.94,   -6.93,   -5.70,    2.85,    0.08,    3.38
 69,   3,  1, 1,   24.56,   13.14,  -66.95,    0.04,    0.00,    0.40,    0.19,    3.86
129,   3,  2, 1,   23.83,   12.36,  -67.00,   -3.23,   -4.76,    2.42,    0.12,    3.78
  8,   3,  3, 1,   23.82,   13.58,  -66.97,  -10.35,   -9.46,    0.75,    0.14,    4.51
 41,   3,  4, 1,   23.73,   12.88,  -67.07,  -17.72,  -14.04,    0.74,    0.11,    2.97
 18,   3,  5, 1,   23.51,   12.61,  -66.98,  -23.88,  -18.43,    0.78,    0.10,    4.08
