# VP06   2012-05-08_15-16-02
# Elapsed time of measurement: 295 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 10.02, 3.46, -25.19, 0.06, 0.03


# Localization experiment
# mode: 0 => generic; 3/8/15 => WFS with 3/8/15 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 11,   3,  1, 1,    9.88,    3.40,  -25.11,    6.09,    0.00,    2.44,    0.07,    2.22
 86,   3,  2, 1,    9.99,    3.43,  -25.13,    1.34,   -5.71,    3.01,    0.34,    1.51
 73,   3,  3, 1,    9.91,    3.38,  -25.13,   -0.80,  -11.31,    3.12,    0.19,    2.51
125,   3,  4, 1,   10.56,    2.94,  -25.20,  -14.62,  -16.70,    0.54,    0.24,    2.07
  1,   3,  5, 1,   10.01,    2.29,  -25.15,  -23.22,  -21.80,    2.51,    0.39,    2.95
 79,   3,  6, 1,    9.98,    2.68,  -25.12,  -18.57,  -26.57,    3.71,    0.28,    1.91
115,   3,  7, 1,    9.93,    2.40,  -25.01,  -33.69,  -30.96,    2.07,    0.04,    2.35
 34,   3,  8, 1,   10.61,    2.57,  -25.20,  -24.39,  -34.99,   -0.56,    0.13,    1.91
122,   8,  9, 1,   11.87,    3.94,  -24.77,   45.79,   35.00,   -9.51,    0.10,    2.78
105,   8, 10, 1,   11.25,    4.01,  -24.74,   42.96,   29.29,   -6.72,    0.43,    1.95
 55,   8, 11, 1,   11.23,    4.47,  -24.72,   43.19,   23.69,   -5.05,    0.11,    2.40
  3,   8, 12, 1,    9.62,    4.68,  -24.68,   28.95,   18.30,    4.73,    0.30,    2.00
 78,   8, 13, 1,   10.23,    4.23,  -24.81,   26.97,   13.20,    1.02,    0.19,    1.85
  6,   8, 14, 1,    9.63,    4.38,  -24.92,   17.21,    8.43,    4.47,    0.15,    1.83
 43,   8, 15, 1,   10.00,    4.06,  -24.93,   22.15,    4.04,    1.89,    0.28,    1.75
124,   8, 16, 1,   10.27,    3.84,  -25.05,   11.67,    0.01,    1.29,    0.11,    2.44
 51,  15, 17, 1,   10.21,    4.38,  -24.92,   23.94,   17.50,    0.90,    0.18,    1.59
117,  15, 18, 1,    9.86,    4.17,  -24.95,   13.50,   11.79,    3.48,    0.20,    1.51
 38,  15, 19, 1,    9.98,    4.17,  -24.92,   22.27,    6.19,    1.35,    0.37,    2.60
 69,  15, 20, 1,    9.87,    3.78,  -24.88,   15.51,    0.80,    2.75,    0.40,    2.09
 77,  15, 21, 1,   10.06,    3.40,  -25.15,    1.91,   -4.30,    2.16,    0.30,    1.61
 92,  15, 22, 1,   10.09,    3.91,  -25.11,    7.46,   -9.07,    2.04,    0.11,    2.03
 41,  15, 23, 1,   10.08,    2.91,  -25.13,    0.46,  -13.46,    1.74,    0.09,    2.45
  2,  15, 24, 1,    9.73,    3.33,  -25.16,   -0.51,  -17.49,    3.28,    0.07,    2.33
 39,   0, 25, 1,   10.21,    3.01,  -25.15,    1.89,   -5.70,    0.99,    0.18,    1.78
 88,   0, 26, 1,    9.97,    3.73,  -25.05,    7.06,   -5.70,    2.75,    0.10,    2.38
 31,   3,  1, 1,    9.84,    3.04,  -25.07,    3.58,    0.00,    2.65,    0.20,    1.81
  7,   3,  2, 1,    9.87,    3.02,  -25.18,   -2.11,   -5.71,    2.95,    0.17,    1.59
128,   3,  3, 1,   10.09,    3.14,  -25.20,   -6.56,  -11.31,    2.55,    0.24,    1.57
103,   3,  4, 1,   10.56,    3.04,  -25.25,  -16.39,  -16.70,    0.09,    0.26,    1.68
 20,   3,  5, 1,   10.44,    2.39,  -25.14,  -28.58,  -21.80,    0.27,    0.18,    2.11
 87,   3,  6, 1,   10.22,    2.59,  -25.12,  -25.75,  -26.57,    1.70,    0.12,    2.22
 70,   3,  7, 1,   10.81,    2.43,  -25.17,  -26.03,  -30.96,   -0.70,    0.16,    2.13
 53,   3,  8, 1,   10.34,    2.77,  -25.18,  -22.83,  -34.99,    0.48,    0.13,    2.66
 45,   8,  9, 1,   11.26,    3.88,  -24.80,   42.80,   35.00,   -7.13,    0.08,    2.24
 10,   8, 10, 1,   10.25,    4.38,  -24.64,   38.59,   29.29,   -0.93,    0.43,    2.02
 59,   8, 11, 1,   11.14,    4.26,  -24.74,   42.76,   23.69,   -5.63,    0.16,    2.09
 32,   8, 12, 1,   10.66,    3.87,  -24.74,   37.05,   18.30,   -3.86,    0.26,    2.13
 62,   8, 13, 1,    9.98,    4.46,  -24.82,   26.91,   13.20,    2.47,    0.15,    1.75
 40,   8, 14, 1,    9.88,    3.95,  -24.93,   21.57,    8.43,    2.36,    0.18,    2.00
 13,   8, 15, 1,    9.89,    3.72,  -25.04,   13.40,    4.04,    1.97,    0.14,    2.13
 15,   8, 16, 1,    9.85,    3.57,  -25.12,    7.39,    0.01,    2.42,    0.09,    1.79
 48,  15, 17, 1,   10.09,    4.71,  -24.84,   28.75,   17.50,    1.63,    0.19,    3.00
 26,  15, 18, 1,    9.63,    4.26,  -24.71,   26.76,   11.79,    3.91,    0.11,    2.13
 76,  15, 19, 1,   10.09,    3.74,  -25.04,   13.62,    6.19,    1.70,    0.18,    1.94
 64,  15, 20, 1,    9.83,    4.38,  -24.94,   15.16,    0.80,    3.49,    0.15,    2.34
