# VP09   2012-05-09_15-18-33
# Elapsed time of measurement: 857 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 9.53, 7.88, -30.69, -0.31, 0.13


# Localization experiment
# mode: 0 => generic; 3/8/15 => WFS with 3/8/15 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 66,   3,  1, 1,   10.50,    7.15,  -30.39,   -1.60,    0.00,   -1.42,    0.19,    3.10
 35,   3,  2, 1,   10.64,    6.52,  -30.48,  -10.19,   -5.71,   -2.15,    0.15,    7.09
 55,   3,  3, 1,   11.07,    6.52,  -30.42,  -21.03,  -11.31,   -2.38,    0.11,    4.79
101,   3,  4, 1,   10.58,    6.79,  -30.35,  -28.24,  -16.70,   -2.11,    0.19,    3.44
116,   3,  5, 1,   11.15,    6.74,  -30.32,  -37.51,  -21.80,   -4.83,    0.12,    7.06
106,   3,  6, 1,   11.30,    6.43,  -30.28,  -41.04,  -26.57,   -5.06,    0.15,    3.75
 50,   3,  7, 1,   11.03,    6.21,  -30.30,  -48.20,  -30.96,   -4.44,    0.19,    7.84
 30,   3,  8, 1,   11.45,    6.46,  -30.37,  -38.37,  -34.99,   -6.06,    0.15,    4.88
 20,   8,  9, 1,   10.87,    7.78,  -30.18,   32.00,   35.00,   -4.72,    0.27,   11.07
  1,   8, 10, 1,   10.01,    7.72,  -30.36,   24.81,   29.29,   -2.03,    0.27,    6.75
107,   8, 11, 1,   11.43,    7.57,  -30.22,   24.92,   23.69,   -7.80,    0.29,    4.96
 58,   8, 12, 1,   10.61,    7.61,  -30.27,   16.19,   18.30,   -2.81,    0.55,    3.90
 27,   8, 13, 1,   10.99,    7.22,  -30.32,   12.01,   13.20,   -5.02,    0.16,    5.40
 29,   8, 14, 1,   10.52,    7.29,  -30.31,    4.09,    8.43,   -2.56,    0.54,    7.02
 95,   8, 15, 1,   10.42,    7.26,  -30.32,    1.64,    4.04,   -2.12,    0.23,    3.81
 80,   8, 16, 1,   10.55,    7.39,  -30.33,    0.32,    0.01,   -2.39,    0.24,    3.87
 38,  15, 17, 1,   10.84,    7.33,  -30.28,   15.63,   17.50,   -3.68,    0.37,    6.90
