# with compensation center
# id  system    ir/dB       speech/dB   noise/dB
1   stereo       0.87700    0.77300    0.93300
10  wfs14       -1.28800    0.85200    1.57600
9   wfs28        2.32300    1.47100    0.31200
8   wfs56        2.47200    1.71100    1.07600
7   wfs112       3.42500    2.57000    1.21400
6   wfs224      -0.51300   -0.68200   -0.89200
5   wfs448      -0.38400   -0.23700   -0.32200
4   wfs896      -0.42600   -0.10800    0.05100
3   wfs1792     -0.33900   -0.24800   -0.32600
2   wfs3584     -0.32100   -0.23800   -0.28700
0   ref          0.00000    0.00000    0.00000


# with compensation off-center
# id  system    ir/dB       speech/dB   noise/dB
1   stereo      4.36800     3.45700      2.46600
10  wfs14       2.85800     2.29800      1.28200
9   wfs28       3.24900     2.58700      1.72700
8   wfs56       0.82600     0.83300      0.01600
7   wfs112      2.64600     1.48700      0.19100
6   wfs224      1.27800     0.75900      0.02700
5   wfs448      0.51300     0.14900     -0.50300
4   wfs896      0.69200     0.47500      0.09000
3   wfs1792     0.51800     0.11600     -0.55600
2   wfs3584     0.50200     0.10700     -0.57900
0   ref         0.00000     0.00000      0.00000


# with compensation different listener positions, WFS 56
# system        ir/dB       speech/dB   noise/dB 
 0.00  0.00      1.58400     0.00000     0.00000
-0.25  0.00      2.26200     0.41900     0.86280
-0.50  0.00      0.03400    -1.33000    -1.42550
-0.75  0.00      1.06500    -0.62300    -0.42010
-1.00  0.00     -0.49500    -1.58800    -1.78620
-1.25  0.00      1.56000    -0.30200     0.14260
-0.25 -0.50      2.18200     1.87900     1.10660
-0.50 -0.50      0.76000    -1.34700    -0.73390
-0.75 -0.50      0.76000     0.09000    -0.66630
-1.00 -0.50      1.32900    -0.36900    -0.16300
-1.25 -0.50      0.00000    -0.99200    -1.16970
