m2,m1
-0.458677686,-0.4876033058
-0.4504132231,-0.7396694215
-0.2644628099,-0.8181818182
-0.5950413223,-0.8636363636
0.2851239669,-0.2355371901
0.0785123967,-0.5
0.4173553719,-0.3140495868
0.8016528926,0.0619834711
0.6487603306,0.8016528926
0.8016528926,0.8636363636
-0.673553719,-0.958677686
0.8636363636,0.8553719008
0.4710743802,-0.3884297521
0.3099173554,-0.9421487603
0.8016528926,-0.2107438017
-0.9421487603,-0.2190082645
0.7355371901,-0.0785123967
0.6652892562,0.3884297521
0.6776859504,0.4173553719
0.8429752066,0.9132231405
0.9132231405,0.7066115702
0.7438016529,0.652892562
-0.5247933884,-0.8553719008
0.9090909091,1
-0.479338843,-0.8801652893
-0.4545454545,-0.5082644628
0,0.4049586777
-0.2727272727,0.2438016529
0.5041322314,0.5661157025
0.652892562,0.8223140496
0.7438016529,0.8016528926
0.8760330579,0.9628099174
0.7190082645,0.8760330579
0.1404958678,0.0371900826
-0.8760330579,-0.9173553719
1,1
-1,-0.6363636364
-1,-0.9421487603
-1,-0.9669421488
-0.8099173554,-0.9421487603
0.9214876033,-0.6487603306
0.2396694215,-0.3636363636
-0.0619834711,-0.3801652893
0.6983471074,-0.4752066116
0.458677686,0
-0.7355371901,-0.694214876
-0.8884297521,-1
1,0.8305785124
0.4238683128,-0.4032921811
-0.1728395062,-0.8271604938
0.5925925926,-0.1687242798
0.8477366255,-0.353909465
-0.2757201646,0.3209876543
0.9465020576,0.4320987654
0.8148148148,0.8765432099
0.8724279835,0.8600823045
0.6543209877,0.4691358025
0.4197530864,0.5144032922
-0.8641975309,-1
1,0.9382716049
-0.4834710744,-0.2148760331
-0.1983471074,-0.4421487603
-0.0247933884,0.2355371901
-0.7066115702,0.0165289256
0.3512396694,0.9256198347
0.4958677686,0.4008264463
0.6198347107,0.7727272727
0.7851239669,0.8719008264
0.7603305785,0.3842975207
-0.7231404959,0
-1,-0.5867768595
1,0.7107438017
-1,-1
-1,-0.7809917355
0.8884297521,-0.8760330579
-0.2190082645,-0.8305785124
0.4545454545,-0.6570247934
0.7190082645,0.9090909091
0.9876033058,0.5950413223
0.9834710744,0.6611570248
0.9628099174,0.9876033058
0.2727272727,0.8140495868
0.5619834711,-0.5702479339
1,1
-0.9421487603,-0.2396694215
-0.5909090909,-0.632231405
-0.9462809917,0.3925619835
-0.7024793388,-0.694214876
0.7024793388,0.2685950413
0,0.6404958678
0.7190082645,0.7272727273
0.9421487603,0.8305785124
0.9669421488,0.9297520661
0.2272727273,0.2272727273
-1,-0.9917355372
1,1
-0.826446281,-0.8595041322
-0.5743801653,-0.5495867769
-0.3842975207,-0.7685950413
-0.8842975207,-0.7975206612
0.6652892562,0
0.2685950413,0.347107438
0.6487603306,-0.5454545455
0.652892562,0.5785123967
0.4214876033,0
0,-0.305785124
-1,-1
1,1
-0.5826446281,-1
-0.7561983471,-0.652892562
-0.7148760331,-0.9834710744
-0.6776859504,-0.6074380165
0.2231404959,0.9214876033
0.1487603306,-0.0661157025
-0.632231405,-0.3842975207
-0.7768595041,0.847107438
0.6859504132,0
-0.6157024793,-0.4545454545
-0.6157024793,-1
0.9338842975,0.9504132231
-0.3760330579,-0.1859504132
0.0123966942,-0.2603305785
-0.2148760331,-0.2644628099
-0.132231405,-0.2644628099
-0.2644628099,-0.2809917355
-0.0867768595,-0.020661157
-0.2272727273,0.1115702479
0.7438016529,0.2809917355
0.8140495868,0.4628099174
-0.1900826446,0.0330578512
-0.5743801653,-0.041322314
1,0.7520661157
-0.5,-1
-1,-1
-0.4958677686,-0.8512396694
-0.5454545455,-1
0.020661157,-0.3801652893
0.4504132231,0.3636363636
0.6157024793,0.4008264463
0.826446281,0.6859504132
0.7851239669,0.6900826446
-0.4462809917,-0.6570247934
-1,-1
1,1
-0.3595041322,-0.3842975207
-0.9090909091,-0.7933884298
-0.5743801653,-0.9090909091
-0.7024793388,-0.2272727273
-0.0826446281,0.4338842975
0.4752066116,0
0.5454545455,-0.4958677686
1,1
0.958677686,0.8801652893
0.1818181818,-0.6818181818
-1,-1
0.9173553719,0.9173553719
0.194214876,-0.2727272727
-0.8016528926,-0.1074380165
-0.173553719,-0.367768595
-0.4462809917,-0.5123966942
0.5950413223,0
0.4669421488,0.2644628099
0.6446280992,0.3305785124
0.3016528926,0.4669421488
0.7314049587,0.5371900826
0.0578512397,-0.1694214876
-0.9710743802,-0.847107438
0.9338842975,0.0785123967
-0.3842975207,-0.326446281
-0.2809917355,0.0743801653
-0.2231404959,-0.2066115702
-0.194214876,-0.4132231405
0.2768595041,0.6404958678
-0.0909090909,-0.0867768595
0.0289256198,0.7644628099
0.1900826446,0.9008264463
0.6363636364,0.6446280992
-0.3347107438,0.0247933884
-0.8842975207,-0.6115702479
0.9421487603,0.9214876033
