m2,m1
-0.9132231405,-0.5743801653
-0.5785123967,0.1652892562
0.3140495868,0.4462809917
-0.1818181818,0.3636363636
0.9090909091,0.7231404959
0.9917355372,0.7975206612
0,0.3016528926
0.6776859504,1
0.7107438017,0.9669421488
0.8595041322,0.7603305785
-1,-0.6033057851
0.8801652893,0.9876033058
0,-0.7685950413
-0.5165289256,-0.5165289256
0.3181818182,0.0909090909
0.5909090909,-0.3305785124
1,0.2892561983
0.5785123967,-0.041322314
0.4338842975,0.5661157025
0.8760330579,0.458677686
1,0.7066115702
0.7851239669,0.3801652893
-1,-1
0.9214876033,0.9049586777
-0.3760330579,0.132231405
0.4710743802,0.1280991736
0.9338842975,0.9338842975
0.9173553719,0.958677686
0.673553719,0.9504132231
0.7768595041,0.9710743802
0.9710743802,0.8925619835
0.9380165289,0.9462809917
0.9297520661,0.9545454545
0.9545454545,0.8925619835
-1,-1
1,0.9545454545
-0.4132231405,0.0661157025
-0.9752066116,-0.7024793388
-0.2024793388,0.9049586777
0.2314049587,0.7479338843
0.3760330579,0.8181818182
-0.2933884298,0.9669421488
-0.4710743802,-0.0330578512
0.8925619835,0.9090909091
0.2603305785,0.7603305785
0,0.3140495868
-1,-0.8099173554
0.4917355372,0.9834710744
-0.8140495868,0.4256198347
0.3347107438,0.194214876
0.4710743802,0.673553719
0.9958677686,0.6611570248
1,1
0.4752066116,0.4256198347
0.6198347107,0.1694214876
0.8553719008,1
1,1
0.3636363636,-0.479338843
-0.9917355372,-1
1,0.4256198347
-0.2975206612,-0.5247933884
-0.2644628099,-0.5330578512
-0.3016528926,-0.0826446281
-0.4462809917,0.2438016529
0.5247933884,0.6239669421
0.673553719,0.2479338843
0.5495867769,0.152892562
0.9958677686,0.9958677686
0.8016528926,1
0.4876033058,0.2892561983
-1,-1
0.5619834711,0.3099173554
-0.652892562,-0.8595041322
-0.2314049587,-0.326446281
-0.1776859504,0.3512396694
-0.0537190083,-0.4752066116
0.367768595,0.9710743802
0.9628099174,0.0537190083
0.867768595,0.5743801653
1,1
0.8305785124,0.694214876
0.1446280992,-0.1694214876
-1,-0.9958677686
0.9214876033,1
-0.5619834711,-0.7438016529
-0.3140495868,-0.2190082645
-0.1446280992,0.8801652893
0.020661157,0.5413223141
0.4256198347,0.6983471074
0.7438016529,-0.0702479339
0.8719008264,0.1033057851
0.9628099174,0.7479338843
0.6074380165,0.4834710744
0.3842975207,0.2272727273
-0.9049586777,-0.9545454545
1,1
-0.1033057851,-0.173553719
0.0330578512,-0.2975206612
0.1363636364,0.2107438017
0.3884297521,0
0.2975206612,0.673553719
0.2603305785,0.6983471074
0.2438016529,0.8595041322
0.7066115702,0.8801652893
0.5082644628,0.7479338843
0.4338842975,0.5
-1,-0.9462809917
0.6115702479,0.9628099174
