# links vs. rechts
# ref
# 0.3m R1
# 0.75m R1
# 1.8m R1
# 4m R1
# 0.3m R4
# 0.75m R4
# 1.8m R4
# 10m R4
# mean      std         ILD 30°     ILD 60°     Lindem. max     Lindem. centroid
0.16346     0.23731     -0.3        -0.3        0.045           0.037


-0.77671    0.20751     8.2         11.4        -0.315          -0.196
-0.64258    0.22984     5.4         10.5        -0.295          -0.178
-0.49500    0.31147     4.3         11.5        -0.18           -0.114
-0.33354    0.30969     -0.1        8.6         -0.025          0.006


-0.19621    0.22597     3.7         3.4         -0.095          -0.063
-0.14567    0.21857     3.2         2.2         -0.07           -0.051
-0.077250   0.19803     4.1         -0.1        -0.025          -0.009
-0.047417   0.21044     3.3         2.7         0.05            0.02
