
# Curve 0 of 12, 100 points
# Curve title: "'lookup_itd.txt' u 1:(column(n)*1000):(1.0)"
# x y type
-89  0.851719  i
-87.202  0.849828  i
-85.404  0.84718  i
-83.6061  0.844143  i
-81.8081  0.839754  i
-80.0101  0.835196  i
-78.2121  0.830531  i
-76.4141  0.824781  i
-74.6162  0.818038  i
-72.8182  0.810749  i
-71.0202  0.802538  i
-69.2222  0.793714  i
-67.4242  0.784121  i
-65.6263  0.77365  i
-63.8283  0.762073  i
-62.0303  0.750054  i
-60.2323  0.737357  i
-58.4343  0.723815  i
-56.6364  0.710208  i
-54.8384  0.696015  i
-53.0404  0.680495  i
-51.2424  0.664253  i
-49.4444  0.647458  i
-47.6465  0.63001  i
-45.8485  0.612272  i
-44.0505  0.593791  i
-42.2525  0.574713  i
-40.4545  0.554845  i
-38.6566  0.534038  i
-36.8586  0.512901  i
-35.0606  0.491171  i
-33.2626  0.469149  i
-31.4646  0.446619  i
-29.6667  0.42376  i
-27.8687  0.400073  i
-26.0707  0.376201  i
-24.2727  0.352269  i
-22.4747  0.327649  i
-20.6768  0.302222  i
-18.8788  0.27707  i
-17.0808  0.251401  i
-15.2828  0.225593  i
-13.4848  0.198936  i
-11.6869  0.172241  i
-9.88889  0.145623  i
-8.09091  0.118313  i
-6.29293  0.0914685  i
-4.49495  0.0643965  i
-2.69697  0.0374394  i
-0.89899  0.0105485  i
 0.89899 -0.0162545  i
 2.69697 -0.0433707  i
 4.49495 -0.0705638  i
 6.29293 -0.097633  i
 8.09091 -0.124482  i
 9.88889 -0.151582  i
 11.6869 -0.17881  i
 13.4848 -0.20594  i
 15.2828 -0.232215  i
 17.0808 -0.258282  i
 18.8788 -0.284271  i
 20.6768 -0.30955  i
 22.4747 -0.334972  i
 24.2727 -0.35991  i
 26.0707 -0.384012  i
 27.8687 -0.407871  i
 29.6667 -0.431606  i
 31.4646 -0.454752  i
 33.2626 -0.477087  i
 35.0606 -0.499272  i
 36.8586 -0.520682  i
 38.6566 -0.54191  i
 40.4545 -0.562868  i
 42.2525 -0.582716  i
 44.0505 -0.601695  i
 45.8485 -0.620672  i
 47.6465 -0.638767  i
 49.4444 -0.656262  i
 51.2424 -0.672606  i
 53.0404 -0.687677  i
 54.8384 -0.702805  i
 56.6364 -0.717746  i
 58.4343 -0.732323  i
 60.2323 -0.745536  i
 62.0303 -0.758068  i
 63.8283 -0.770184  i
 65.6263 -0.781087  i
 67.4242 -0.791041  i
 69.2222 -0.800941  i
 71.0202 -0.810332  i
 72.8182 -0.818412  i
 74.6162 -0.825517  i
 76.4141 -0.832255  i
 78.2121 -0.83822  i
 80.0101 -0.843324  i
 81.8081 -0.847383  i
 83.6061 -0.850773  i
 85.404 -0.853462  i
 87.202 -0.855454  i
 89 -0.857624  i


# Curve 1 of 12, 100 points
# Curve title: "'lookup_itd.txt' u 1:(column(n)*1000):(1.0)"
# x y type
-89  0.850718  i
-87.202  0.848276  i
-85.404  0.845454  i
-83.6061  0.842167  i
-81.8081  0.837914  i
-80.0101  0.832823  i
-78.2121  0.827366  i
-76.4141  0.820748  i
-74.6162  0.813418  i
-72.8182  0.805631  i
-71.0202  0.796828  i
-69.2222  0.787101  i
-67.4242  0.776605  i
-65.6263  0.765485  i
-63.8283  0.753239  i
-62.0303  0.740677  i
-60.2323  0.727288  i
-58.4343  0.71312  i
-56.6364  0.698038  i
-54.8384  0.682653  i
-53.0404  0.66693  i
-51.2424  0.650049  i
-49.4444  0.632138  i
-47.6465  0.613735  i
-45.8485  0.595114  i
-44.0505  0.575434  i
-42.2525  0.555856  i
-40.4545  0.536028  i
-38.6566  0.515353  i
-36.8586  0.494014  i
-35.0606  0.471811  i
